編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPTQMLMLPHPFFCC09CC,五堵段五堵北小段,.00,都市：住,全筆移轉
RPVPMLMLPHPFFCC56CC,大武崙段內寮小段,.00,都市：住,全筆移轉
RPWOMLLLPHPFFBC98CC,東信段一小段,33.51,都市：其他,全筆移轉
RPWOMLLLPHPFFBC98CC,東信段一小段,1.45,都市：其他,全筆移轉
RPOQMLMLPHPFFCC58CC,源遠段,.00,都市：住,全筆移轉
RPOQMLMLPHPFFCC58CC,源遠段,.00,都市：住,全筆移轉
RPPPMLMLPHPFFCC58CC,武嶺段,.00,都市：住,全筆移轉
RPPPMLMLPHPFFCC58CC,武嶺段,.00,都市：住,全筆移轉
RPOOMLMLPHPFFBC28CC,深澳段,.00,都市：住,全筆移轉
RPPOMLMLPHPFFBC38CC,長潭段,.00,都市：住,全筆移轉
RPSQMLMLPHPFFCC98CC,源遠段,.00,都市：住,全筆移轉
RPOPMLLLPHPFFBC28CC,港濱段,.00,都市：住,全筆移轉
RPXPMLMLPHPFFBC66CC,長潭段,.00,都市：住,全筆移轉
RPQOMLMLPHPFFBC48CC,福祿段,.00,都市：住,全筆移轉
RPVOMLLLPHPFFCC98CC,武嶺段,31.98,都市：住,全筆移轉
RPRQMLMLPHPFFCC88CC,西定段,.00,都市：住,全筆移轉
RPPQMLMLPHPFFBC58CC,忠義段五小段,.00,都市：住,全筆移轉
RPPQMLMLPHPFFBC58CC,忠義段五小段,.00,都市：住,全筆移轉
RPPQMLMLPHPFFBC58CC,忠義段五小段,.00,都市：住,全筆移轉
RPPQMLMLPHPFFBC58CC,忠義段五小段,.00,都市：住,全筆移轉
RPPQMLMLPHPFFBC58CC,忠義段五小段,.00,都市：住,全筆移轉
RPRQMLMLPHPFFBC78CC,新店段二小段,.00,都市：住,全筆移轉
RPQQMLMLPHPFFBC68CC,長潭段,.00,都市：住,全筆移轉
RPVQMLMLPHPFFBC56CC,和平段,.00,都市：住,全筆移轉
RPXQMLMLPHPFFBC76CC,祥豐段,.00,都市：住,全筆移轉
RPORMLMLPHPFFBC58CC,港濱段,.00,都市：住,全筆移轉
RPWQMLMLPHPFFBC66CC,祥豐段,.00,都市：住,全筆移轉
RPTQMLMLPHPFFBC98CC,深澳段,.00,都市：住,全筆移轉
RPXNMLOLPHPFFBC76DC,中正段二小段,42.30,都市：住,全筆移轉
RPVNMLOLPHPFFBC09CC,深美段,.00,都市：住,全筆移轉
RPPRMLMLPHPFFBC68CC,田寮段,.00,都市：商,全筆移轉
RPSOMLTLPHPFFBC76CC,深澳段,.00,都市：住,全筆移轉
RPQOMLKMPHPFFBC38CC,德厚段,.00,都市：商,全筆移轉
