鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
北區,房地(土地+建物),公園南路331~360號,8.55,其他,,,1090719,土地2建物1車位0,九層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0971219,76.97,2,2,1,有,有,5380000,69897,,0.0,0,,RPXNMLTLPHPFFAD07DA,48.12,0.0,8.05,有
中西區,房地(土地+建物),西門路二段307巷1~30號,6.84,其他,,,1090723,土地2建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810421,46.61,1,1,1,有,無,1400000,30036,,0.0,0,,RPUNMLKKQHPFFAD48DA,29.56,0.0,0.0,有
中西區,房地(土地+建物),永福路二段158巷1~30號,50.27,其他,,,1090719,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0580400,81.42,3,1,2,有,無,4780000,58708,,0.0,0,,RPRNMLNKQHPFFAD48DA,81.42,0.0,0.0,無
北區,房地(土地+建物),臨安路二段143巷27弄31~60號,73.98,其他,,,1090726,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0870507,215.2,4,2,3,有,無,11050000,51348,,0.0,0,頂樓加蓋;,RPVQMLNKQHPFFAD56DA,190.27,7.73,17.2,無
安平區,房地(土地+建物),育平路361~390號,97.76,其他,,,1090725,土地2建物1車位0,全,五層,透天厝,住家用,見其他登記事項,1080225,256.08,5,2,5,有,無,19100000,74586,,0.0,0,,RPRNMLRKQHPFFAD88DA,232.73,0.0,23.14,有
中西區,建物,建業街31~60號,0.0,,,,1090711,土地0建物1車位0,四層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820408,147.1,4,2,2,有,無,5600000,38069,,0.0,0,土地所有權人為仁愛之家,RPPPMLRKQHPFFAD88DA,78.79,0.0,10.2,有
中西區,房地(土地+建物),成功路331~360號,24.14,其他,,,1090703,土地5建物1車位0,十層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800205,177.76,6,0,6,有,有,6400000,36004,,0.0,0,,RPUPMLSKQHPFFAD86DA,122.97,4.54,2.66,有
安平區,房地(土地+建物)+車位,永華路二段481~510號,25.1,其他,,,1090616,土地1建物1車位2,七層,二十三層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1070202,273.56,0,0,0,無,有,15990000,63382,坡道平面,55.36,2160000,毛胚屋;,RPPNMLTKQHPFFAD88DA,122.34,6.57,13.29,有
安平區,房地(土地+建物)+車位,永華路二段481~510號,21.84,其他,,,1090601,土地1建物1車位1,二十二層,二十三層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1070202,226.43,0,0,0,無,有,15500000,74412,坡道平面,31.57,1000000,毛胚屋;,RPQNMLTKQHPFFAD98DA,112.76,4.23,9.97,有
北區,房地(土地+建物),長北街74巷1~30號,51.84,其他,,,1090624,土地2建物1車位0,全,二層,透天厝,住家用,磚造,0490000,69.12,2,2,2,有,無,5600000,81019,,0.0,0,,RPXNMLTKQHPFFAD07DA,69.12,0.0,0.0,無
安平區,房地(土地+建物),慶平路181~210號,3.18,其他,,,1090807,土地1建物1車位0,十層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841024,37.089999999999996,1,1,1,有,有,1550000,41790,,0.0,0,,RPPOMLTKQHPFFAD98DA,24.79,0.0,4.11,有
北區,房地(土地+建物),北門路三段27巷1~30號,32.04,其他,,,1090728,土地1建物1車位0,八層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0911227,143.07999999999998,3,2,2,有,有,5000000,34945,,0.0,0,,RPQOMLTKQHPFFAD09DA,86.63,0.0,11.09,有
安平區,房地(土地+建物),永華八街193巷1~30號,9.83,其他,,,1090802,土地1建物1車位0,六層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0811222,41.28,1,0,1,有,有,1550000,37548,,0.0,0,,RPSOMLTKQHPFFAD66DA,28.88,0.0,0.0,有
安南區,房地(土地+建物),城西街二段181巷50弄91~120號,95.12,住,,,1090711,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1081209,182.13,4,2,4,有,無,7320000,40191,,0.0,0,,RPWNMLRKQHPFFBD86DA,167.32,0.0,14.81,無
安南區,土地,國安段781~810地號,203.35,其他,,,1090811,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2309800,11359,,0.0,0,1.本件標的為道路用地。,RPWOMLRKQHPFFBD96DA,0.0,0.0,0.0,無
安南區,土地,學東段1021~1050地號,174.04,住,,,1090716,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6400000,36773,,0.0,0,,RPVNMLSKQHPFFBD86DA,0.0,0.0,0.0,無
安南區,土地,學東段1~30地號,151.12,住,,,1090709,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5700000,37718,,0.0,0,,RPQOMLSKQHPFFBD09DA,0.0,0.0,0.0,無
安南區,土地,安東段541~570地號,26.58,住,,,1090807,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,804000,30248,,0.0,0,,RPPNMLTKQHPFFBD98DA,0.0,0.0,0.0,無
安南區,房地(土地+建物),淵西二街30巷1~30號,84.71,住,,,1090726,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1081220,165.24,4,2,4,有,無,9550000,57795,,0.0,0,,RPSNMLTKQHPFFBD66DA,156.1,0.0,9.14,無
安南區,房地(土地+建物),安昌街174巷132弄1~30號,90.83,住,,,1090723,土地5建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0821006,173.16,3,2,2,有,無,6200000,35805,,0.0,0,,RPOOMLTKQHPFFBD98DA,165.04,0.0,8.12,無
安南區,房地(土地+建物),北安路二段123巷61~90號,66.04,住,,,1090625,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土造,0780621,100.38,3,2,2,有,無,5700000,56784,,0.0,0,,RPSNMLLLQHPFFBD58DA,95.9,0.0,4.48,無
東區,房地(土地+建物),崇善一街3巷6弄1~30號,141.0,,,,1090528,土地1建物1車位0,全,五層,透天厝,見其他登記事項,見其他登記事項,1090109,406.53,4,3,6,有,無,36200000,89046,,0.0,0,地政士服務費;,RPTNMLPKPHPFFCD98DA,371.87,0.0,34.66,有
東區,房地(土地+建物),崇德二街6巷1~30號,12.24,其他,,,1090719,土地1建物1車位0,一層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830117,64.78,2,1,1,有,有,3070000,47391,,0.0,0,,RPVPMLTLPHPFFCD27DA,46.37,4.63,0.0,有
東區,房地(土地+建物)+車位,仁東街1~30號,19.34,其他,,,1090715,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871218,130.23000000000002,3,2,2,有,有,5600000,43001,坡道機械,9.82,0,,RPVOMLKKQHPFFCD88DA,87.29,0.0,10.33,有
南區,房地(土地+建物),大同路二段186巷1~30號,99.66,其他,,,1090327,土地1建物1車位0,一層,十三層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0881021,284.83,0,0,0,無,有,16190000,56841,,0.0,0,,RPSNMLRKQHPFFCD56DA,241.6,33.55,0.0,有
東區,房地(土地+建物),崇德十五街61~90號,22.21,其他,,,1090806,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1051114,89.0,2,2,1,有,有,6300000,70787,,0.0,0,,RPRPMLRKQHPFFCD66DA,57.62,3.06,3.42,有
東區,房地(土地+建物),府東街181~210號,6.03,其他,,,1090719,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830304,35.23,1,1,1,有,無,1400000,39739,,0.0,0,,RPUNMLSKQHPFFCD86DA,20.48,0.0,5.76,有
南區,房地(土地+建物)+車位,新建路49巷1~30號,30.79,其他,,,1090713,土地1建物1車位1,四層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0850629,195.47,3,2,2,有,有,5800000,29672,坡道平面,0.0,0,,RPVNMLSKQHPFFCD96DA,116.81,0.0,14.25,有
東區,房地(土地+建物),裕信路361~390號,156.19,其他,,,1080910,土地1建物1車位0,全,四層,透天厝,住家用,見其他登記事項,1090429,327.18,4,2,5,有,無,39800000,121646,,0.0,0,預售屋、或土地及建物分次登記案件;,RPXPMLSKQHPFFCD37DA,301.94,0.0,25.24,有
東區,房地(土地+建物),裕信路361~390號,153.01,其他,,,1080517,土地1建物1車位0,全,四層,透天厝,住家用,見其他登記事項,1090429,323.61,4,2,5,有,無,39700000,122679,,0.0,0,預售屋、或土地及建物分次登記案件;,RPOQMLSKQHPFFCD56DA,298.11,0.0,25.5,有
東區,房地(土地+建物),中華東路二段133巷17弄31~60號,29.62,其他,,,1090701,土地2建物1車位0,四層，電梯樓梯間,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700304,98.32,3,2,2,有,無,2880000,29292,,0.0,0,包含公共設施保留地用地;,RPSNMLTKQHPFFCD76DA,90.39,0.0,0.0,無
東區,房地(土地+建物)+車位,裕農路61~90號,19.17,其他,,,1090728,土地1建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830418,171.32,3,2,2,有,有,7420000,43311,坡道平面,0.0,0,,RPTOMLTKQHPFFCD96DA,86.64,0.0,14.05,有
東區,房地(土地+建物)+車位,大同路二段601~630號,8.18,其他,,,1090716,土地2建物1車位1,十三層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840107,129.36,4,2,2,有,有,5150000,39811,坡道機械,0.0,0,,RPUOMLTKQHPFFCD07DA,88.88,0.0,8.01,有
南區,房地(土地+建物),大成路二段177巷61~90號,28.81,其他,,,1090719,土地2建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700604,95.11,3,2,2,有,無,4150000,43634,,0.0,0,包含公共設施保留地用地;,RPTNMLKLQHPFFCD68DA,85.96,0.0,0.0,無
新營區,房地(土地+建物),信義街1~30號,21.59,其他,,,1090804,土地3建物1車位0,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0790823,69.84,2,2,1,有,無,850000,12171,,0.0,0,陽台外推;,RPUNMLSKQHPFFDD96DA,52.52,0.0,2.09,有
後壁區,土地,新港東段新港東小段901~930地號,1595.0,,特定農業區,農牧用地,1090730,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1276000,800,,0.0,0,本案係三七五租約承租人向出租人購買,RPPNMLKKQHPFFED38DA,0.0,0.0,0.0,無
後壁區,土地,長短樹段3091~3120地號,3500.0,,特定農業區,農牧用地,1090730,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4200000,1200,,0.0,0,,RPQNMLKKQHPFFED48DA,0.0,0.0,0.0,無
後壁區,土地,長短樹段3091~3120地號,1900.0,,特定農業區,農牧用地,1090730,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2280000,1200,,0.0,0,,RPRNMLKKQHPFFED58DA,0.0,0.0,0.0,無
後壁區,土地,新港東段新港東小段871~900地號,3200.0,,特定農業區,農牧用地,1090730,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2560000,800,,0.0,0,本案係三七五租約承租人向出租人購買,RPSNMLKKQHPFFED68DA,0.0,0.0,0.0,無
後壁區,土地,長短樹段4531~4560地號,760.0,,特定農業區,農牧用地,1090730,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,608000,800,,0.0,0,375租約之佃農承購。親友、員工、共有人或其他特殊關係間之交易;,RPQNMLTLPHPFFED76DA,0.0,0.0,0.0,無
東山區,土地,東河段601~630地號,39.94,,鄉村區,乙種建築用地,1090809,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,181228,4538,,0.0,0,原因：親屬間買賣。,RPTNMLRKQHPFFED86DA,0.0,0.0,0.0,無
官田區,土地,隆興段511~540地號,37.56,其他,,,1090813,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,800000,21299,,0.0,0,未登記建物;,RPRNMLRKQHPFFFD76DA,0.0,0.0,0.0,無
官田區,土地,官田段1~30地號,172.5,其他,,,1090623,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,84600,490,,0.0,0,,RPVNMLSKQHPFFFD27DA,0.0,0.0,0.0,無
官田區,土地,官中段721~750地號,95.0,,特定農業區,水利用地,1090623,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,78000,821,,0.0,0,,SPVNMLSKQHPFFFD37DA,0.0,0.0,0.0,無
麻豆區,房地(土地+建物),東角里國中街1~30號,137.3,其他,,,1090730,土地1建物1車位0,全,四層,透天厝,見其他登記事項,見其他登記事項,1040521,349.53,4,4,5,有,無,19000000,54359,,0.0,0,未登記建物;,RPQNMLTKQHPFFFD86DA,335.15,0.0,14.38,有
西港區,土地,東埔段661~690地號,2000.0,,一般農業區,農牧用地,1090805,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8000000,4000,,0.0,0,土地增值稅買賣雙方各負擔1/2即438214元。親友、員工、共有人或其他特殊關係間之交易;,RPXNMLNKQHPFFGD07DA,0.0,0.0,0.0,無
佳里區,土地,子龍段361~390地號,129.36,,鄉村區,乙種建築用地,1090731,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,698570,5400,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPUNMLOKQHPFFGD86DA,0.0,0.0,0.0,無
學甲區,土地,興太段361~390地號,1181.16,其他,,,1090806,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,19650000,16636,,0.0,0,,RPPNMLLLQHPFFGD78DA,0.0,0.0,0.0,無
西港區,房地(土地+建物),慶安里中州1~30號,113.37,,特定農業區,甲種建築用地,1090803,土地3建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土造,0850501,113.93,2,2,2,有,無,4000000,35109,,0.0,0,包含公共設施保留地用地;,RPUNMLSKQHPFFGD27DA,106.88,0.0,7.05,無
西港區,土地,南海段751~780地號,196.79,其他,,,1090610,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3150000,16007,,0.0,0,,RPQNMLTKQHPFFGD96DA,0.0,0.0,0.0,無
佳里區,土地,佳里段301~330地號,133.0,住,,,1090601,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3800000,28571,,0.0,0,,RPSNMLTKQHPFFGD17DA,0.0,0.0,0.0,無
