編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPUNMLKKQHPFFAD48DA,28,29.56,住家用,鋼筋混凝土造,81年4月21日,七層,六層
RPUNMLKKQHPFFAD48DA,28,17.05,共有部分,鋼筋混凝土造,81年4月21日,七層,
RPXNMLTKQHPFFAD07DA,,69.12,住家用,磚造,49年0月0日,二層,一層 二層
RPUPMLSKQHPFFAD86DA,29,130.17,住家用,鋼筋混凝土造,80年2月5日,十層,十層
RPUPMLSKQHPFFAD86DA,29,47.59,共有部分,鋼筋混凝土造,80年2月5日,十層,
RPRNMLNKQHPFFAD48DA,,81.42,住家用,加強磚造,58年4月0日,二層,一層 二層
RPPNMLTKQHPFFAD88DA,2,142.20,見其他登記事項,見其他登記事項,107年2月2日,二十三層,七層
RPPNMLTKQHPFFAD88DA,2,131.36,見其他登記事項,見其他登記事項,107年2月2日,二十三層,
RPPPMLRKQHPFFAD88DA,27,8.63,共有部分,鋼筋混凝土造,82年4月8日,六層,
RPPPMLRKQHPFFAD88DA,27,88.99,住家用,鋼筋混凝土造,82年4月8日,六層,四層
RPPPMLRKQHPFFAD88DA,27,11.06,共有部分,鋼筋混凝土造,82年4月8日,六層,
RPPPMLRKQHPFFAD88DA,27,38.42,共有部分,鋼筋混凝土造,82年4月8日,六層,
RPVQMLNKQHPFFAD56DA,22,107.60,見其他登記事項,鋼筋混凝土造,87年5月7日,四層,一層 二層 三層 四層 屋頂突出物 騎樓
RPVQMLNKQHPFFAD56DA,22,107.60,見其他登記事項,鋼筋混凝土造,87年5月7日,四層,一層 二層 三層 四層 屋頂突出物 騎樓
RPXNMLTLPHPFFAD07DA,12,56.17,見其他登記事項,鋼筋混凝土造,97年12月19日,十四層,九層
RPXNMLTLPHPFFAD07DA,12,10.43,共有部分,鋼筋混凝土造,97年12月19日,十四層,
RPXNMLTLPHPFFAD07DA,12,10.37,共有部分,鋼筋混凝土造,97年12月19日,十四層,
RPRNMLRKQHPFFAD88DA,1,255.87,住家用,見其他登記事項,108年2月25日,五層,一層 二層 三層 四層 五層
RPRNMLRKQHPFFAD88DA,1,.21,見其他登記事項,見其他登記事項,108年2月25日,五層,
RPQNMLTKQHPFFAD98DA,2,126.96,見其他登記事項,見其他登記事項,107年2月2日,二十三層,二十二層
RPQNMLTKQHPFFAD98DA,2,99.47,見其他登記事項,見其他登記事項,107年2月2日,二十三層,
RPPOMLTKQHPFFAD98DA,25,28.90,住家用,鋼筋混凝土造,84年10月24日,十三層,十層
RPPOMLTKQHPFFAD98DA,25,8.19,共有部分,鋼筋混凝土造,84年10月24日,十三層,
RPSOMLTKQHPFFAD66DA,28,5.55,共有部分,鋼筋混凝土造,81年12月22日,六層,
RPSOMLTKQHPFFAD66DA,28,6.85,共有部分,鋼筋混凝土造,81年12月22日,六層,
RPSOMLTKQHPFFAD66DA,28,28.88,住家用,鋼筋混凝土造,81年12月22日,六層,六層
RPQOMLTKQHPFFAD09DA,18,97.72,見其他登記事項,鋼筋混凝土造,91年12月27日,十三層,八層
RPQOMLTKQHPFFAD09DA,18,45.36,共有部分,鋼筋混凝土造,91年12月27日,十三層,
RPWNMLRKQHPFFBD86DA,1,182.13,住家用,鋼筋混凝土造,108年12月9日,三層,一層 二層 三層 屋頂突出物
RPOOMLTKQHPFFBD98DA,27,173.16,住家用,鋼筋混凝土造,82年10月6日,三層,一層 二層 三層 屋頂突出物
RPVPMLTLPHPFFCD27DA,,13.78,共有部分,鋼筋混凝土造,83年1月17日,七層,
RPVPMLTLPHPFFCD27DA,,51.00,住家用,鋼筋混凝土造,83年1月17日,七層,一層
RPSNMLLLQHPFFBD58DA,31,100.38,住商用,鋼筋混凝土造,78年6月21日,二層,一層 二層 屋頂突出物
RPSNMLTKQHPFFBD66DA,1,165.24,見其他登記事項,鋼筋混凝土造,108年12月20日,四層,一層 二層 三層 四層
RPTNMLPKPHPFFCD98DA,,406.53,見其他登記事項,見其他登記事項,109年1月9日,五層,一層 二層 三層 四層 五層
RPSNMLRKQHPFFCD56DA,20,275.15,商業用,鋼筋混凝土造,88年10月21日,十三層,一層
RPSNMLRKQHPFFCD56DA,20,3.31,共有部分,鋼筋混凝土造,88年10月21日,十三層,
RPSNMLRKQHPFFCD56DA,20,6.36,共有部分,鋼筋混凝土造,88年10月21日,十三層,
RPVOMLKKQHPFFCD88DA,,97.62,住家用,鋼筋混凝土造,87年12月18日,十四層,十一層
RPVOMLKKQHPFFCD88DA,,19.83,共有部分,鋼筋混凝土造,87年12月18日,十四層,
RPVOMLKKQHPFFCD88DA,,2.11,共有部分,鋼筋混凝土造,87年12月18日,十四層,
RPVOMLKKQHPFFCD88DA,,10.68,共有部分,鋼筋混凝土造,87年12月18日,十四層,
RPRPMLRKQHPFFCD66DA,4,64.10,見其他登記事項,鋼筋混凝土造,105年11月14日,七層,四層
RPRPMLRKQHPFFCD66DA,4,15.56,見其他登記事項,鋼筋混凝土造,105年11月14日,七層,
RPRPMLRKQHPFFCD66DA,4,9.34,見其他登記事項,鋼筋混凝土造,105年11月14日,七層,
RPUNMLSKQHPFFCD86DA,26,26.24,住家用,鋼筋混凝土造,83年3月4日,七層,七層
RPUNMLSKQHPFFCD86DA,26,8.99,共有部分,鋼筋混凝土造,83年3月4日,七層,
RPVNMLSKQHPFFCD96DA,,42.93,共有部分,鋼筋混凝土造,85年6月29日,十二層,
RPVNMLSKQHPFFCD96DA,,21.49,共有部分,鋼筋混凝土造,85年6月29日,十二層,
RPVNMLSKQHPFFCD96DA,,131.06,見其他登記事項,鋼筋混凝土造,85年6月29日,十二層,四層
RPOQMLSKQHPFFCD56DA,,323.61,住家用,見其他登記事項,109年4月29日,四層,一層 二層 三層 四層 屋頂突出物
