鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中西區,建物,臺南市中西區府前路一段301~330號,0.0,商,,,1090717,土地0建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0650228,205.97,4,1,3,有,無,無,25000,121,,0.0,0,,RPSOMLLLPHPFFAD58CC
中西區,建物,臺南市中西區西門路317巷1~30號,0.0,商,,,1090714,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0741017,71.98,3,2,2,有,無,無,12000,167,,0.0,0,,RPTOMLLLPHPFFAD68CC
北區,建物,臺南市北區北園街31~60號,0.0,商,,,1090716,土地0建物1車位0,一層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0870420,52.69,1,1,1,有,有,無,13000,247,,0.0,0,,RPWOMLLLPHPFFAD98CC
東區,建物,臺南市東區大同路二段61巷61~90號,0.0,住,,,1090715,土地0建物0車位0,全,2,透天厝,住家用,加強磚造,0570601,18.97,1,0,1,有,無,有,6500,343,,0.0,0,承租部分,RPUNMLLLPHPFFCD88CC
東區,土地,東光段781~810地號,351.0,住,,,1090702,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,120000,342,,0.0,0,含未保存登記建物做營業使用。,RPWOMLLLPHPFFCD56CC
南區,建物,臺南市南區明興路61~90號,0.0,住,,,1090623,土地0建物1車位0,全,2,透天厝,住商用,鋼筋混凝土造,0780601,33.05,0,0,0,無,無,無,3500,106,,0.0,0,外牆作為廣告使用。;1.合約書無填具土地租賃面積2.由所有權人提供出租資訊3.本租賃為部分租賃,RPPPMLLLPHPFFCD58CC
東區,建物,臺南市東區青年路301~330號,0.0,住,,,1090714,土地0建物0車位0,全,5,透天厝,見其他登記事項,鋼筋混凝土造,0960427,33.06,1,0,1,有,無,有,6500,197,,0.0,0,1.合約書無填具土地租賃面積2.由所有權人提供出租資訊3.本租賃為部分租賃,RPTPMLLLPHPFFCD98CC
安南區,建物,臺南市安南區長和路一段541~570號,0.0,住,,,1090717,土地0建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,1011204,49.59,1,1,2,有,無,有,10000,202,,0.0,0,,RPUOMLLLPHPFFBD88CC
安南區,建物,臺南市安南區安中路一段705巷3弄1~30號,0.0,住,,,1090716,土地0建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0800314,276.04,4,2,4,有,無,有,26000,94,,0.0,0,,RPWOMLLLPHPFFBD09CC
