編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPUNMLLLPHPFFCD88CC,52,18.97,住家用,加強磚造,57年6月1日,二層,
RPSOMLLLPHPFFAD58CC,44,205.97,住商用,鋼筋混凝土造,65年2月28日,四層,
RPTOMLLLPHPFFAD68CC,35,63.20,住家用,鋼筋混凝土造,74年10月17日,五層,
RPTOMLLLPHPFFAD68CC,35,8.78,共有部分,鋼筋混凝土造,74年10月17日,五層,
RPWOMLLLPHPFFAD98CC,22,43.96,見其他登記事項,鋼筋混凝土造,87年4月20日,十四層,
RPWOMLLLPHPFFAD98CC,22,8.73,共有部分,鋼筋混凝土造,87年4月20日,十四層,
RPWOMLLLPHPFFBD09CC,29,276.04,住家用,鋼筋混凝土造,80年3月14日,四層,
RPTPMLLLPHPFFCD98CC,13,33.06,見其他登記事項,鋼筋混凝土造,96年4月27日,五層,
RPTOMLLLPHPFFHD76CC,27,218.01,住商用,鋼筋混凝土造,82年3月1日,四層,
RPPPMLLLPHPFFCD58CC,31,33.05,住商用,鋼筋混凝土造,78年6月1日,二層,
RPUOMLLLPHPFFBD88CC,8,49.59,見其他登記事項,鋼筋混凝土造,101年12月4日,四層,
RPVOMLLLPHPFFHD96CC,46,57.81,住家用,見其他登記事項,64年1月1日,一層,
RPOPMLLLPHPFFHD98CC,15,228.99,見其他登記事項,鋼筋混凝土造,94年9月5日,三層,
RPWOMLMLPHPFFKD47CC,32,171.72,見其他登記事項,鋼筋混凝土造,77年11月8日,四層,
RPXOMLLLPHPFFHD17CC,26,206.25,住家用,鋼筋混凝土造,83年12月28日,三層,
RPPQMLMLPHPFFCD78CC,45,19.83,住商用,加強磚造,64年2月1日,三層,
RPWPMLMLPHPFFCD76CC,45,16.53,住商用,加強磚造,64年2月4日,三層,
RPVNMLMLPHPFFAD88CC,17,143.77,見其他登記事項,見其他登記事項,92年11月3日,一層,
RPPOMLMLPHPFFCD58CC,41,85.28,住商用,鋼筋混凝土造,68年10月15日,四層,
RPTPMLMLPHPFFCD09CC,49,37.40,住家用,鋼筋混凝土造,60年12月12日,四層,
RPTPMLMLPHPFFCD09CC,49,1.75,共有部分,鋼筋混凝土造,60年12月12日,四層,
RPXPMLMLPHPFFCD86CC,39,91.65,住家用,鋼筋混凝土造,70年3月25日,五層,
RPXPMLMLPHPFFCD86CC,39,8.27,共有部分,鋼筋混凝土造,70年3月25日,五層,
RPSNMLNLPHPFFCD88CC,3,78.62,見其他登記事項,鋼筋混凝土造,106年11月1日,十四層,
RPSNMLNLPHPFFCD88CC,3,61.00,見其他登記事項,鋼筋混凝土造,106年11月1日,十四層,
RPSOMLNLPHPFFCD98CC,19,99.03,見其他登記事項,鋼筋混凝土造,91年1月2日,九層,
RPSOMLNLPHPFFCD98CC,19,40.83,共有部分,鋼筋混凝土造,91年1月2日,九層,
RPSOMLNLPHPFFCD98CC,19,21.89,共有部分,鋼筋混凝土造,91年1月2日,九層,
RPVOMLOLPHPFFID37CC,26,149.92,住家用,鋼筋混凝土造,83年4月22日,三層,
RPWNMLOLPHPFFBD76DC,16,172.98,住家用,鋼筋混凝土造,93年12月21日,三層,
RPVNMLNLPHPFFKD57EC,32,39.24,見其他登記事項,鋼筋混凝土造,77年8月11日,四層,
RPWOMLOLPHPFFID47CC,14,163.65,住家用,鋼筋混凝土造,95年9月29日,三層,
RPWNMLOLPHPFFKD57CC,25,63.25,國民住宅,鋼筋混凝土造,84年10月9日,十五層,
RPWNMLOLPHPFFKD57CC,25,19.90,共有部分,鋼筋混凝土造,84年10月9日,十五層,
RPOOMLOLPHPFFKD86CC,27,86.28,住家用,鋼筋混凝土造,82年12月29日,十三層,
RPOOMLOLPHPFFKD86CC,,20.97,共有部分,鋼筋混凝土造,,十三層,
RPTPMLOLPHPFFKD47CC,5,312.90,見其他登記事項,見其他登記事項,104年7月20日,一層,
RPPOMLOLPHPFFKD96CC,20,48.56,住家用,鋼筋混凝土造,90年1月10日,十一層,
RPPOMLOLPHPFFKD96CC,20,11.00,共有部分,鋼筋混凝土造,90年1月10日,十一層,
RPPOMLOLPHPFFKD96CC,20,7.16,共有部分,鋼筋混凝土造,90年1月10日,十一層,
RPPNMLOLPHPFFAD48CC,24,21.88,住家用,鋼筋混凝土造,85年3月1日,十二層,
RPPNMLOLPHPFFAD48CC,24,7.72,共有部分,鋼筋混凝土造,85年3月1日,十二層,
RPUNMLOLPHPFFAD98CC,29,109.12,住家用,鋼筋混凝土造,80年1月28日,五層,
RPUNMLOLPHPFFAD98CC,29,17.46,共有部分,鋼筋混凝土造,80年1月28日,五層,
RPQPMLOLPHPFFBD88CC,37,118.77,住商用,加強磚造,72年2月16日,二層,
RPSNMLOLPHPFFCD98CC,49,79.83,住家用,加強磚造,60年5月6日,二層,
RPSOMLOLPHPFFAD88CC,20,25.66,見其他登記事項,鋼筋混凝土造,89年11月20日,十四層,
RPSOMLOLPHPFFAD88CC,20,7.45,共有部分,鋼筋混凝土造,89年11月20日,十四層,
RPQRMLOLPHPFFAD98CC,27,69.98,住家用,鋼筋混凝土造,82年1月8日,八層,
RPQRMLOLPHPFFAD98CC,27,14.46,共有部分,鋼筋混凝土造,82年1月8日,八層,
RPPOMLOLPHPFFAD58CC,27,118.06,住家用,鋼筋混凝土造,82年4月28日,七層,
RPPOMLOLPHPFFAD58CC,27,9.65,共有部分,鋼筋混凝土造,82年4月28日,七層,
RPPOMLOLPHPFFAD58CC,27,35.90,共有部分,鋼筋混凝土造,82年4月28日,七層,
RPPNMLQLPHPFFBD78CC,29,221.71,住商用,鋼筋混凝土造,80年6月28日,四層,
RPPPMLRLPHPFFGD96CC,14,171.45,見其他登記事項,鋼筋混凝土造,95年5月26日,三層,
RPVNMLRLPHPFFAD76CC,35,135.57,住家用,鋼筋混凝土造,74年12月19日,五層,
RPVNMLRLPHPFFAD76CC,35,23.07,共有部分,鋼筋混凝土造,74年12月26日,五層,
