編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPUNMLLLPHPFFCD88CC,路東段,.00,都市：住,全筆移轉
RPSOMLLLPHPFFAD58CC,南門段,.00,都市：商,全筆移轉
RPWOMLLLPHPFFCD56CC,東光段,276.00,都市：住,全筆移轉
RPWOMLLLPHPFFCD56CC,東光段,15.00,都市：住,全筆移轉
RPWOMLLLPHPFFCD56CC,東光段,58.00,都市：住,全筆移轉
RPWOMLLLPHPFFCD56CC,東光段,2.00,都市：住,全筆移轉
RPTOMLLLPHPFFAD68CC,五條港段,.00,都市：商,全筆移轉
RPWOMLLLPHPFFAD98CC,開元段,.00,都市：住,全筆移轉
RPWOMLLLPHPFFAD98CC,開元段,.00,都市：商,全筆移轉
RPWOMLLLPHPFFBD09CC,安中段,.00,都市：住,全筆移轉
RPTPMLLLPHPFFCD98CC,育樂段,.00,都市：住,全筆移轉
RPTOMLLLPHPFFHD76CC,善文段,68.60,都市：商,全筆移轉
RPPPMLLLPHPFFCD58CC,鹽埕段,.00,都市：住,全筆移轉
RPUOMLLLPHPFFBD88CC,和館段,.00,都市：住,全筆移轉
RPVOMLLLPHPFFHD96CC,德興段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPOPMLLLPHPFFHD98CC,新吉段,.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,全筆移轉
RPWOMLMLPHPFFKD47CC,成功段,85.55,都市：住,全筆移轉
RPXOMLLLPHPFFHD17CC,什美段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPPQMLMLPHPFFCD78CC,育樂段,.00,都市：商,全筆移轉
RPWPMLMLPHPFFCD76CC,育樂段,.00,都市：商,全筆移轉
RPVNMLMLPHPFFAD88CC,新南段,118.43,都市：住,全筆移轉
RPVNMLMLPHPFFAD88CC,新南段,119.57,都市：住,全筆移轉
RPQNMLNLPHPFFCD68CC,竹篙厝段,535.00,都市：住,全筆移轉
RPPOMLMLPHPFFCD58CC,鹽埕段,9.00,都市：住,全筆移轉
RPPOMLMLPHPFFCD58CC,鹽埕段,111.00,都市：住,全筆移轉
RPTPMLMLPHPFFCD09CC,育樂段,.00,都市：商,全筆移轉
