編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPXQMLNKPHPFFAE76DA,龍中段,9.54,都市：其他,持分移轉
RPUNMLTKQHPFFAE86DA,文東段,3.54,都市：其他,持分移轉
RPOOMLSKQHPFFAE88DA,青海段,31.80,都市：其他,持分移轉
RPWNMLTKQHPFFAE07DA,龍中段,17.15,都市：其他,持分移轉
RPSNMLRKQHPFFAE09DA,東金段,4.68,都市：其他,持分移轉
RPSOMLRKPHPFFBE56DA,意誠段,16.19,都市：其他,持分移轉
RPSOMLRKPHPFFBE56DA,意誠段,5.21,都市：其他,持分移轉
RPTRMLRKQHPFFAE96DA,博孝段,8.39,都市：其他,持分移轉
RPQNMLSKQHPFFAE98DA,鼓中段五小段,36.65,都市：其他,持分移轉
RPQNMLSKQHPFFAE98DA,鼓中段五小段,.05,非都市： ; 非都市編定：,持分移轉
RPROMLQJQHPFFAE88DA,鼓中段五小段,7.77,都市：其他,持分移轉
RPROMLQJQHPFFAE88DA,鼓中段五小段,7.77,都市：其他,持分移轉
RPROMLQJQHPFFAE88DA,鼓中段五小段,2.36,都市：其他,持分移轉
RPROMLQJQHPFFAE88DA,鼓中段五小段,2.36,都市：其他,持分移轉
RPVOMLLKQHPFFAE88DA,龍華段八小段,11.26,都市：其他,持分移轉
RPROMLRKQHPFFBE56DA,新興段二小段,.25,都市：其他,持分移轉
RPRPMLOJQHPFFBE88DA,林德官段二小段,31.00,都市：其他,持分移轉
RPROMLOKQHPFFBE88DA,過田子段,59.00,都市：其他,全筆移轉
RPROMLOKQHPFFBE88DA,過田子段,13.00,非都市： ; 非都市編定：,全筆移轉
RPPPMLRKQHPFFBE09DA,意誠段,2.02,都市：其他,持分移轉
RPPPMLRKQHPFFBE09DA,意誠段,.92,都市：其他,持分移轉
RPQNMLSKQHPFFBE09DA,過田子段,71.00,都市：其他,全筆移轉
RPQNMLSKQHPFFBE09DA,過田子段,20.00,非都市： ; 非都市編定：,全筆移轉
RPTPMLRKQHPFFBE86DA,新興段四小段,3.79,都市：其他,持分移轉
RPQOMLNKQHPFFBE68DA,林德官段,7.75,都市：其他,持分移轉
RPQOMLNKQHPFFBE68DA,林德官段,3.70,都市：其他,持分移轉
RPUPMLSKQHPFFBE07DA,苓洲段,26.67,都市：其他,持分移轉
RPUNMLRKQHPFFBE76DA,新興段一小段,109.00,都市：其他,全筆移轉
RPUNMLRKQHPFFBE76DA,新興段一小段,52.00,都市：其他,全筆移轉
RPUNMLRKQHPFFBE76DA,新興段一小段,51.00,都市：其他,全筆移轉
RPUNMLRKQHPFFBE76DA,新興段一小段,26.00,都市：其他,全筆移轉
RPUNMLRKQHPFFBE76DA,新興段一小段,26.00,都市：其他,全筆移轉
RPWOMLSKQHPFFBE17DA,五塊厝段,26.24,都市：其他,持分移轉
RPWOMLSKQHPFFBE17DA,五塊厝段,11.21,都市：其他,持分移轉
