編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPWOMLLLPHPFFEE86CC,23,156.40,住家用,鋼筋混凝土造,86年7月19日,十四層,
RPTPMLLLPHPFFAE88CC,14,96.35,住家用,鋼筋混凝土造,95年11月1日,十五層,
RPTOMLLLPHPFFEE56CC,10,107.96,商業用,見其它登記事項,99年5月17日,一層,
RPUOMLLLPHPFFAE88CC,2,329.47,見其它登記事項,見其它登記事項,107年11月8日,二層,
RPOPMLLLPHPFFEE78CC,1,61.47,見其它登記事項,見其它登記事項,108年8月6日,十五層,
RPOPMLLLPHPFFEE78CC,1,32.66,見其它登記事項,見其它登記事項,108年8月6日,十五層,
RPVPMLLLPHPFFAE09CC,25,26.29,住家用,鋼筋混凝土造,84年8月11日,十二層,
RPVPMLLLPHPFFAE09CC,25,8.20,見使用執照,鋼筋混凝土造,84年8月11日,十二層,
RPQPMLLLPHPFFDE88CC,22,308.74,住商用,鋼筋混凝土造,87年11月13日,十四層,
RPQOMLLLPHPFFCE68CC,11,104.22,住家用,鋼筋混凝土造,98年12月24日,十九層,
RPQNMLLLPHPFFAE38CC,63,282.05,,加強磚造,46年7月1日,三層,
RPQOMLLLPHPFFLE07DC,45,80.00,住家用,加強磚造,64年5月3日,二層,
RPVOMLLLPHPFFDE66CC,55,60.69,住家用,鋼筋混凝土造,54年5月13日,四層,
RPOQMLLLPHPFFGE09CC,16,156.19,見其它登記事項,見其它登記事項,93年12月31日,一層,
RPUQMLMLPHPFFIE37CC,,119.06,見其它登記事項,見其它登記事項,109年3月26日,一層,
RPUQMLMLPHPFFIE37CC,,119.06,見其它登記事項,見其它登記事項,109年3月26日,一層,
RPSOMLMLPHPFFFE66CC,2,19.92,見其它登記事項,鋼筋混凝土造,107年8月20日,七層,
RPSOMLMLPHPFFFE66CC,2,9.70,見其它登記事項,鋼筋混凝土造,107年8月20日,七層,
RPRQMLMLPHPFFDE56CC,16,147.83,住商用,鋼筋混凝土造,93年7月30日,五層,
RPOPMLMLPHPFFEE88CC,26,118.14,住家用,鋼筋混凝土造,83年7月5日,八層,
RPOPMLMLPHPFFEE88CC,26,43.26,見使用執照,鋼筋混凝土造,83年7月5日,八層,
RPSPMLMLPHPFFEE66CC,1,108.42,見其它登記事項,見其它登記事項,108年8月2日,四層,
RPSRMLMLPHPFFEE86CC,14,194.05,住商用,鋼筋混凝土造,95年4月13日,四層,
RPROMLMLPHPFFDE98CC,33,77.61,,鋼筋混凝土造,76年5月8日,五層,
RPXQMLMLPHPFFCE07CC,14,247.07,住家用,鋼筋混凝土造,95年3月13日,二層,
RPTPMLMLPHPFFFE86CC,32,283.35,住商用,鋼筋混凝土造,77年1月15日,四層,
RPRSMLMLPHPFFEE86CC,22,49.21,住家用,鋼筋混凝土造,87年11月30日,十四層,
RPRSMLMLPHPFFEE86CC,22,85.34,見使用執照,鋼筋混凝土造,87年11月30日,十四層,
RPRSMLMLPHPFFEE86CC,22,116.89,住家用,鋼筋混凝土造,87年11月30日,十四層,
RPORMLMLPHPFFCE88CC,3,47.73,見其它登記事項,鋼筋混凝土造,106年2月16日,九層,
RPORMLMLPHPFFCE88CC,3,27.80,見其它登記事項,鋼筋混凝土造,106年2月16日,九層,
RPQOMLMLPHPFFAE58CC,39,23.08,,鋼筋混凝土造,70年12月12日,十層,
RPSQMLMLPHPFFAE98CC,36,87.03,,鋼筋混凝土造,73年1月11日,五層,
RPSQMLMLPHPFFAE98CC,36,8.96,,鋼筋混凝土造,73年1月11日,五層,
RPPOMLMLPHPFFBE58CC,23,98.30,住家用,鋼筋混凝土造,86年4月21日,三十五層,
RPPOMLMLPHPFFBE58CC,23,31.29,見使用執照,鋼筋混凝土造,86年4月21日,三十五層,
RPSPMLMLPHPFFCE09CC,2,64.04,見其它登記事項,見其它登記事項,107年6月20日,十六層,
RPSPMLMLPHPFFCE09CC,2,18.09,見其它登記事項,見其它登記事項,107年6月20日,十六層,
RPSPMLMLPHPFFCE09CC,2,15.81,見其它登記事項,見其它登記事項,107年6月20日,十六層,
RPTOMLMLPHPFFBE98CC,12,114.94,住家用,鋼筋混凝土造,97年10月31日,十五層,
RPTOMLMLPHPFFBE98CC,12,79.74,共有部分,鋼筋混凝土造,97年10月31日,十五層,
RPUPMLMLPHPFFBE56CC,41,70.59,,鋼筋混凝土造,68年10月11日,七層,
RPPNMLNLPHPFFBE58CC,44,85.68,,鋼筋混凝土造,65年11月24日,十層,
RPPPMLMLPHPFFBE68CC,45,40.74,,鋼筋混凝土造,64年10月15日,四層,
RPRNMLNLPHPFFBE78CC,44,103.30,,鋼筋混凝土造,65年11月24日,十層,
RPQNMLNLPHPFFBE68CC,44,75.04,,鋼筋混凝土造,65年11月24日,十層,
RPXNMLNLPHPFFAE66CC,14,80.02,住家用,鋼筋混凝土造,95年4月7日,十三層,
RPXNMLNLPHPFFAE66CC,14,35.55,共有部分,鋼筋混凝土造,95年4月7日,十三層,
RPUOMLNLPHPFFEE86CC,1,258.97,見其它登記事項,見其它登記事項,108年8月2日,四層,
RPSNMLNLPHPFFCE98CC,2,54.26,見其它登記事項,見其它登記事項,107年6月20日,十六層,
RPSNMLNLPHPFFCE98CC,2,15.31,見其它登記事項,見其它登記事項,107年6月20日,十六層,
RPSNMLNLPHPFFCE98CC,2,38.41,見其它登記事項,見其它登記事項,107年6月20日,十六層,
RPOQMLNLPHPFFDE98CC,4,54.44,見其它登記事項,鋼筋混凝土造,105年6月6日,十二層,
RPOQMLNLPHPFFDE98CC,4,50.66,見其它登記事項,鋼筋混凝土造,105年6月6日,十二層,
RPSNMLNLPHPFFDE09CC,29,241.21,,鋼筋混凝土造,80年9月18日,十二層,
RPSNMLNLPHPFFDE09CC,29,83.39,,鋼筋混凝土造,80年9月18日,十二層,
RPPQMLOLPHPFFFE76CC,11,164.99,見其它登記事項,見其它登記事項,98年11月24日,一層,
RPTNMLNLPHPFFIE07CC,,108.89,見其它登記事項,見其它登記事項,109年3月5日,十五層,
RPTNMLNLPHPFFIE07CC,,35.21,見其它登記事項,見其它登記事項,109年3月5日,十五層,
RPPQMLNLPHPFFDE09CC,21,99.60,住家用,鋼筋混凝土造,88年10月28日,十三層,
RPPQMLNLPHPFFDE09CC,21,52.86,見使用執照,鋼筋混凝土造,88年10月28日,十三層,
RPPPMLNLPHPFFDE98CC,17,17.15,見其它登記事項,鋼筋混凝土造,92年4月18日,五層,
RPOPMLOLPHPFFDE98CC,26,25.76,住家用,鋼筋混凝土造,83年6月29日,十二層,
RPOPMLOLPHPFFDE98CC,26,9.35,見使用執照,鋼筋混凝土造,83年6月29日,十二層,
RPOOMLOLPHPFFDE88CC,30,273.16,,鋼筋混凝土造,79年8月14日,二十四層,
RPQOMLNLPHPFFIE86CC,3,87.85,見其它登記事項,見其它登記事項,106年12月11日,四層,
RPOQMLOLPHPFFFE66CC,52,126.55,住家用,磚造,57年12月30日,一層,
RPRQMLOLPHPFFDE76CC,49,47.04,住家用,加強磚造,60年10月15日,二層,
RPRSMLOLPHPFFDE96CC,52,66.38,,加強磚造,57年11月10日,二層,
RPRQMLOLPHPFFEE86CC,14,237.44,住商用,鋼筋混凝土造,95年6月30日,五層,
RPWNMLOLPHPFFBE76CC,4,94.21,住家用,鋼筋混凝土造,105年6月17日,十五層,
RPWNMLOLPHPFFBE76CC,4,90.98,共有部分,鋼筋混凝土造,105年6月17日,十五層,
RPSQMLOLPHPFFEE96CC,15,514.10,見使用執照,見使用執照,94年11月1日,二層,
RPRNMLOLPHPFFCE98CC,2,64.04,見其它登記事項,見其它登記事項,107年6月20日,十六層,
RPRNMLOLPHPFFCE98CC,2,18.09,見其它登記事項,見其它登記事項,107年6月20日,十六層,
RPRNMLOLPHPFFCE98CC,2,15.81,見其它登記事項,見其它登記事項,107年6月20日,十六層,
RPVNMLOLPHPFFCE76CC,3,66.23,見其它登記事項,鋼筋混凝土造,106年6月8日,十八層,
RPVNMLOLPHPFFCE76CC,3,42.96,見其它登記事項,鋼筋混凝土造,106年6月8日,十八層,
RPORMLOLPHPFFEE66CC,29,588.79,住商用,鋼筋混凝土造,80年5月2日,十二層,
RPVNMLOLPHPFFAE56CC,11,272.50,商業用,鋼筋混凝土造,98年8月18日,十三層,
RPQNMLOLPHPFFBE78CC,40,67.32,,鋼筋混凝土造,69年4月21日,五層,
RPOOMLOLPHPFFBE68CC,38,99.80,,鋼筋混凝土造,71年8月11日,七層,
RPOOMLOLPHPFFBE68CC,38,24.31,,鋼筋混凝土造,71年8月11日,七層,
RPPOMLOLPHPFFGE66CC,25,115.15,住家用,鋼筋混凝土造,84年5月12日,十六層,
RPPOMLOLPHPFFGE66CC,25,40.95,共有部分,鋼筋混凝土造,84年5月12日,十六層,
RPUNMLPLPHPFFEE96CC,24,92.25,住家用,鋼筋混凝土造,85年10月14日,十二層,
RPUNMLPLPHPFFEE96CC,24,31.74,見使用執照,鋼筋混凝土造,85年10月14日,十二層,
RPUOMLRLPHPFFDE17CC,24,38.26,住家用,鋼筋混凝土造,85年4月17日,十四層,
RPUOMLRLPHPFFDE17CC,24,9.61,見使用執照,鋼筋混凝土造,85年4月17日,十四層,
RPXNMLRLPHPFFFE57CC,14,116.14,見其它登記事項,鋼筋混凝土造,95年3月6日,十四層,
RPXOMLRLPHPFFEE57CC,15,107.93,住家用,鋼筋混凝土造,94年11月25日,十四層,
RPXOMLRLPHPFFEE57CC,15,62.01,見使用執照,鋼筋混凝土造,94年11月25日,十四層,
RPWNMLRLPHPFFFE47CC,2,20.35,見其它登記事項,鋼筋混凝土造,107年8月20日,七層,
RPWNMLRLPHPFFFE47CC,2,9.91,見其它登記事項,鋼筋混凝土造,107年8月20日,七層,
RPTRMLRLPHPFFEE47CC,25,95.37,住家用,鋼筋混凝土造,84年5月23日,十二層,
RPTRMLRLPHPFFEE47CC,25,40.59,見使用執照,鋼筋混凝土造,84年5月23日,十二層,
RPPTMLRLPHPFFDE17CC,36,161.58,,鋼筋混凝土造,73年12月28日,五層,
RPPTMLRLPHPFFDE17CC,36,161.76,,鋼筋混凝土造,73年12月28日,五層,
RPWRMLRLPHPFFEE77CC,2,64.23,見其它登記事項,見其它登記事項,107年5月2日,二十三層,
RPWRMLRLPHPFFEE77CC,2,35.51,見其它登記事項,見其它登記事項,107年5月2日,二十三層,
RPPRMLRLPHPFFDE96CC,36,85.59,,鋼筋混凝土造,73年8月10日,五層,
RPSNMLRLPHPFFBE66CC,28,190.63,商業用,鋼筋混凝土造,81年9月15日,二十五層,
RPSNMLRLPHPFFBE66CC,28,69.48,見使用執照,鋼筋混凝土造,81年9月15日,二十五層,
RPTNMLRLPHPFFBE76CC,1,51.66,見其它登記事項,見其它登記事項,108年10月14日,十五層,
RPTNMLRLPHPFFBE76CC,1,26.11,共有部分,見其它登記事項,108年10月14日,十五層,
RPWNMLRLPHPFFBE07CC,40,80.88,,鋼筋混凝土造,69年3月20日,十二層,
RPWNMLRLPHPFFBE07CC,40,9.61,,鋼筋混凝土造,69年3月20日,十二層,
RPOOMLRLPHPFFBE98CC,23,138.60,住家用,鋼筋混凝土造,86年4月21日,三十五層,
RPOOMLRLPHPFFBE98CC,23,81.24,見使用執照,鋼筋混凝土造,86年4月21日,三十五層,
RPQOMLRLPHPFFBE56CC,39,80.99,,鋼筋混凝土造,70年1月19日,七層,
RPVOMLRLPHPFFBE07CC,1,125.02,見其它登記事項,鋼筋混凝土造,108年2月1日,十五層,
RPVOMLRLPHPFFBE07CC,1,95.74,共有部分,鋼筋混凝土造,108年2月1日,十五層,
RPROMLRLPHPFFBE66CC,5,53.36,住家用,鋼筋混凝土造,104年3月6日,十四層,
RPROMLRLPHPFFBE66CC,5,27.10,共有部分,鋼筋混凝土造,104年3月6日,十四層,
RPUOMLRLPHPFFBE96CC,35,114.39,,鋼筋混凝土造,74年7月31日,五層,
RPXOMLRLPHPFFBE27CC,52,330.04,,鋼筋混凝土造,57年7月19日,四層,
RPSOMLRLPHPFFBE76CC,23,39.22,住家用,鋼筋混凝土造,86年7月9日,十四層,
RPTNMLRLPHPFFAE66CC,26,327.66,住商用,鋼筋混凝土造,84年1月11日,十三層,
RPQOMLRLPHPFFAE09CC,13,89.54,住家用,鋼筋混凝土造,96年4月3日,十五層,
RPQOMLRLPHPFFAE09CC,13,36.29,見其它登記事項,鋼筋混凝土造,96年4月3日,十五層,
RPRNMLRLPHPFFAE09CC,7,49.50,住家用,鋼筋混凝土造,102年5月27日,十五層,
