編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPWOMLLLPHPFFEE86CC,新庄段十三小段,13.88,都市：商,全筆移轉
RPTPMLLLPHPFFAE88CC,青海段,.00,非都市： ; 非都市編定：,全筆移轉
RPTOMLLLPHPFFEE56CC,和平段五小段,79.00,都市：住,全筆移轉
RPTOMLLLPHPFFEE56CC,和平段五小段,79.00,都市：住,全筆移轉
RPUOMLLLPHPFFAE88CC,龍華段八小段,262.00,都市：商,全筆移轉
RPOPMLLLPHPFFEE78CC,福山段,.00,都市：住,全筆移轉
RPVPMLLLPHPFFAE09CC,東金段,.00,都市：商,全筆移轉
RPQPMLLLPHPFFDE88CC,三塊厝段二小段,62.32,都市：商,全筆移轉
RPQOMLLLPHPFFCE68CC,愛群段,7.43,都市：商,全筆移轉
RPQNMLLLPHPFFAE38CC,東金段,132.00,都市：商,全筆移轉
RPXPMLLLPHPFFDE96CC,中華段一小段,83.00,都市：商,全筆移轉
RPSPMLLLPHPFFIE96CC,仁義段,264.46,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPTQMLMLPHPFFIE27CC,澄德段,1197.95,都市：商,全筆移轉
RPQOMLLLPHPFFLE07DC,林子邊段,85.00,都市：商,全筆移轉
RPVOMLLLPHPFFDE66CC,三塊厝段二小段,.00,都市：商,全筆移轉
RPVOMLLLPHPFFDE66CC,三塊厝段二小段,.00,都市：商,全筆移轉
RPOQMLLLPHPFFGE09CC,牛潮埔段,247.00,都市：工,全筆移轉
RPUQMLMLPHPFFIE37CC,仁雄段,.00,都市：住,全筆移轉
RPUQMLMLPHPFFIE37CC,仁雄段,.00,都市：住,全筆移轉
RPSOMLMLPHPFFFE66CC,興龍段,.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,全筆移轉
RPRQMLMLPHPFFDE56CC,大港段三小段,.00,都市：住,全筆移轉
RPRQMLMLPHPFFDE56CC,大港段三小段,.00,都市：其他,全筆移轉
RPOPMLMLPHPFFEE88CC,和平段五小段,.00,都市：住,全筆移轉
RPSPMLMLPHPFFEE66CC,和平段五小段,159.00,都市：住,全筆移轉
