鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
土城區,房地(土地+建物),青福街61~90號,20.54,其他,,,1090715,土地1建物1車位0,三層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090504,94.22,2,2,1,有,無,10870000,115368,,0.0,0,,RPRUMLKLPHPFFAF09DA,48.41,5.85,3.37,有
土城區,房地(土地+建物),青福街61~90號,20.53,其他,,,1090715,土地1建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090504,94.22,2,2,1,有,無,10870000,115368,,0.0,0,,RPSUMLKLPHPFFAF56DA,48.41,5.85,3.37,有
板橋區,房地(土地+建物),四維路103巷9弄1~30號,14.4,其他,,,1090722,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,55.38,3,2,1,有,無,2500000,45143,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPOPMLLLPHPFFAF38DA,48.03,0.0,7.35,無
土城區,土地,大巒段391~420地號,312.99,其他,,,1090717,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10782606,34450,,0.0,0,,RPPPMLPJQHPFFAF78DA,0.0,0.0,0.0,無
板橋區,土地,新興段481~510地號,11.3,其他,,,1090805,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1600000,141593,,0.0,0,,RPPQMLPJQHPFFAF88DA,0.0,0.0,0.0,無
土城區,房地(土地+建物),清水路181~210號,7.92,其他,,,1090718,土地1建物1車位0,十二層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820726,95.38999999999999,2,2,2,有,有,8100000,84915,,0.0,0,其他增建;,RPRUMLQJQHPFFAF96DA,60.27,1.19,5.64,有
板橋區,房地(土地+建物)+車位,華東街271~300號,12.98,其他,,,1090613,土地2建物1車位1,五層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050205,150.1,3,2,2,有,有,22180000,158217,坡道平面,22.87,2050000,,RPVPMLNKQHPFFAF66DA,73.04,0.0,16.41,有
板橋區,房地(土地+建物),文化路一段270巷3弄31~60號,22.8,其他,,,1090718,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680511,79.38,3,2,1,有,無,9580000,120685,,0.0,0,陽台外推;,RPWVMLOKQHPFFAF47DA,66.7,0.0,12.68,無
板橋區,房地(土地+建物),懷仁街77巷1~30號,91.0,其他,,,1090721,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0650323,102.0,4,2,3,有,無,22000000,215686,,0.0,0,,RPQWMLOKQHPFFAF96DA,102.0,0.0,0.0,無
板橋區,房地(土地+建物),五權街30巷37弄1~30號,9.47,其他,,,1090726,土地1建物1車位0,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970125,67.74000000000001,2,1,1,有,有,8650000,127694,,0.0,0,,RPWOMLRKQHPFFAF07DA,42.67,1.82,3.0,有
板橋區,土地,江翠段121~150地號,377.62,其他,,,1090717,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,185600000,491499,,0.0,0,,RPPQMLRKQHPFFAF56DA,0.0,0.0,0.0,無
板橋區,土地,江翠段121~150地號,212.4,其他,,,1090717,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,104400000,491525,,0.0,0,,RPQQMLRKQHPFFAF66DA,0.0,0.0,0.0,無
土城區,房地(土地+建物)+車位,中州路30巷31~60號,24.35,其他,,,1090719,土地5建物1車位1,十三層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020503,175.93,4,2,2,有,有,13000000,73893,坡道平面,32.35,0,,RPUOMLSKQHPFFAF96DA,87.01,2.28,12.72,有
板橋區,車位,光環路二段31~60號,0.05,其他,,,1090722,土地1建物1車位1,一層,二十層,其他,見其他登記事項,鋼骨鋼筋混凝土造,1071213,27.27,0,0,0,有,有,2050000,,坡道平面,28.14,2050000,僅車位交易;,RPPPMLSKQHPFFAF56DA,0.0,0.0,0.0,有
板橋區,房地(土地+建物),縣民大道三段93巷1~30號,30.38,其他,,,1090616,土地1建物1車位0,一層，騎樓,五層,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,,97.27,1,2,1,有,無,13650000,140331,,0.0,0,其他增建;,RPPUMLSKQHPFFAF07DA,95.18,2.09,0.0,無
板橋區,房地(土地+建物),雙十路二段61~90號,13.33,其他,,,1090710,土地1建物1車位0,六層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871111,129.3,2,2,2,有,有,22800000,176334,,0.0,0,陽台外推;,RPTTMLTKQHPFFAF47DA,102.34,0.63,12.19,有
板橋區,房地(土地+建物),縣民大道三段205巷1~30號,25.8,其他,,,1090704,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,74.25,3,2,1,有,無,8100000,109091,,0.0,0,,RPOUMLTKQHPFFAF07DA,65.91,0.0,8.34,無
板橋區,房地(土地+建物),文化路二段361~390號,4.29,其他,,,1090731,土地4建物1車位0,十七層,十七層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0960611,41.36,1,1,1,有,有,7000000,169246,,0.0,0,產權移轉所產生之土地增值稅、契稅、印花稅等全部稅費，概由買方負擔。親友、員工、共有人或其他特殊關係間之交易;,RPRUMLTKQHPFFAF37DA,28.58,0.0,0.0,有
土城區,土地,大巒段511~540地號,75.37,其他,,,1090811,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3133885,41580,,0.0,0,,RPPWMLTKQHPFFAF37DA,0.0,0.0,0.0,無
土城區,房地(土地+建物)+車位,裕華街1~30號,18.94,其他,,,1090713,土地1建物1車位1,九層,十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080625,110.44,0,0,0,無,有,9900000,113147,坡道平面,36.2,1500000,,RPPOMLKLQHPFFAF38DA,45.19,0.87,3.3,有
土城區,房地(土地+建物)+車位,裕華街1~30號,22.89,其他,,,1090718,土地1建物1車位1,十四層,十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080625,126.0,0,0,0,無,有,13420000,125094,坡道平面,33.11,1800000,,RPSOMLKLQHPFFAF68DA,53.92,2.08,6.5,有
土城區,房地(土地+建物)+車位,裕華街1~30號,32.56,其他,,,1090718,土地1建物1車位1,十四層,十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080625,167.54000000000002,0,0,0,無,有,18460000,123931,坡道平面,33.11,1800000,,RPQPMLKLQHPFFAF58DA,78.41,3.99,8.39,有
板橋區,房地(土地+建物),大觀路二段265巷1~30號,33.9,其他,,,1090805,土地2建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,87.34,3,2,1,有,無,7300000,83581,,0.0,0,其他增建;,RPTPMLKLQHPFFAF88DA,87.34,0.0,0.0,無
五股區,土地,水碓段水碓小段1~30地號,264.64,其他,,,1090729,土地22建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6404352,24200,,0.0,0,為多筆零碎持分土地交易,RPVQMLLMPHPFFBF76DA,0.0,0.0,0.0,無
五股區,房地(土地+建物)+車位,成泰路三段331~360號,13.54,其他,,,1090727,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080726,85.63999999999999,1,2,1,有,無,6850000,86695,坡道平面,29.12,1950000,,RPVOMLNJQHPFFBF56DA,31.42,1.72,4.27,有
五股區,房地(土地+建物)+車位,成泰路三段331~360號,28.73,其他,,,1090725,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080726,154.4,3,2,2,有,無,12600000,85010,坡道平面,29.12,1950000,,RPOQMLNJQHPFFBF68DA,69.6,5.21,8.14,有
林口區,土地,建林段1261~1290地號,287.23,其他,,,1090804,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,37795800,131587,,0.0,0,,RPVRMLOJQHPFFBF96DA,0.0,0.0,0.0,無
新莊區,房地(土地+建物)+車位,福德二街1~30號,30.51,其他,,,1090801,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1030128,223.53,4,2,2,有,有,25900000,135803,坡道平面,47.54,2000000,親友、員工、共有人或其他特殊關係間之交易;,RPORMLQJQHPFFBF09DA,109.85,2.05,9.66,有
新莊區,房地(土地+建物),中原路181~210號,7.88,其他,,,1090719,土地1建物1車位0,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970527,85.8,2,2,1,有,有,10680000,124476,,0.0,0,陽台外推;,RPROMLKKQHPFFBF58DA,48.71,0.0,12.78,有
泰山區,土地,新泰段1~30地號,1246.86,其他,,,1090804,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,113154000,90751,,0.0,0,具重建或重劃、都更等效益;,RPXQMLKKQHPFFBF76DA,0.0,0.0,0.0,無
林口區,房地(土地+建物)+車位,忠孝路271~300號,12.58,其他,,,1050914,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090312,120.56,2,2,1,有,有,12180000,115814,坡道平面,27.48,1400000,,RPTNMLMKQHPFFBF88DA,56.58,0.0,8.41,有
新莊區,車位,民安西路370至392391~420號,0.13,其他,,,1090811,土地1建物1車位1,地下三層,二十一層,其他,見其他登記事項,鋼筋混凝土造,0850311,31.3,0,0,0,有,有,1075000,,坡道平面,31.3,1075000,僅車位交易;,RPSOMLMKQHPFFBF88DA,0.0,0.0,0.0,有
林口區,房地(土地+建物)+車位,忠孝三路31~60號,15.29,其他,,,1090709,土地1建物1車位1,二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950530,117.1,3,2,1,有,有,10100000,86251,坡道平面,15.35,0,陽台外推;,RPTSMLOKQHPFFBF96DA,58.61,0.94,10.27,有
林口區,房地(土地+建物),自強八街1~30號,35.5,其他,,,1090721,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730116,94.95,3,2,1,有,無,8500000,89521,,0.0,0,,RPSQMLNKQHPFFBF56DA,87.22,7.73,0.0,無
林口區,房地(土地+建物)+車位,文化三路一段571~600號,13.27,其他,,,1090711,土地1建物1車位1,四層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060603,107.88,2,2,1,有,有,8440000,78235,升降機械,0.0,0,,RPVTMLNKQHPFFBF17DA,56.79,4.39,3.45,有
新莊區,房地(土地+建物),四維路151巷1~30號,23.83,其他,,,1090720,土地1建物1車位0,四層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670201,72.93,3,1,1,有,無,4400000,60332,,0.0,0,陽台外推;,RPWRMLSKQHPFFBF57DA,72.93,0.0,0.0,無
新莊區,房地(土地+建物)+車位,昌平街31巷1~30號,17.47,其他,,,1090703,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850318,145.81,3,2,2,有,有,12530000,85934,坡道平面,0.0,0,陽台外推;,RPTVMLSKQHPFFBF67DA,58.23,0.6,9.38,有
林口區,房地(土地+建物)+車位,四維路121~150號,27.7,其他,,,1090721,土地1建物1車位1,十二層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051123,128.16,2,2,1,有,有,10500000,81929,坡道平面,29.89,0,其他增建;,RPWVMLSKQHPFFBF97DA,56.95,4.63,4.73,有
新莊區,房地(土地+建物)+車位,福美街172巷61~90號,16.43,其他,,,1090717,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080426,123.82,2,2,1,有,有,13450000,108625,坡道平面,38.09,0,,RPWNMLTKQHPFFBF27DA,47.77,4.57,4.66,有
新莊區,房地(土地+建物),民安西路88巷5弄31~60號,15.93,其他,,,1090804,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820830,69.35000000000001,2,1,1,有,有,6850000,98774,,0.0,0,,RPPOMLTKQHPFFBF66DA,56.91,0.0,7.74,有
新莊區,房地(土地+建物),民安西路261巷1~30號,13.64,其他,,,1090731,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820413,73.1,2,2,1,有,有,6500000,88919,,0.0,0,,RPRPMLTKQHPFFBF96DA,55.33,1.19,6.38,有
新莊區,房地(土地+建物),雙鳳路77巷1~30號,16.02,其他,,,1090516,土地1建物1車位0,二十一層,二十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050914,130.74,3,2,2,有,有,15000000,114732,,0.0,0,,RPSNMLTKQHPFFBF86DA,75.58,6.91,3.86,有
林口區,房地(土地+建物)+車位,文化三路一段571~600號,20.33,其他,,,1090718,土地1建物1車位1,八層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060603,161.38,3,2,2,有,有,12900000,79936,升降機械,0.0,0,,RPQSMLTKQHPFFBF17DA,84.4,10.62,8.33,有
新莊區,車位,明中街1~30號,0.0,,,,1090817,土地0建物1車位1,防空避難室，停車場,五層,其他,見其他登記事項,鋼筋混凝土造,0800518,37.63,0,0,0,有,無,1450000,,坡道平面,37.63,1450000,僅車位交易;,RPOUMLTKQHPFFBF17DA,0.0,0.0,0.0,無
新莊區,車位,明中街1~30號,0.0,,,,1090817,土地0建物1車位1,防空避難室，停車場,五層,其他,見其他登記事項,鋼筋混凝土造,0800518,37.63,0,0,0,有,無,1450000,,坡道平面,37.63,1450000,僅車位交易;,RPUVMLTKQHPFFBF87DA,0.0,0.0,0.0,無
泰山區,土地,大窠段751~780地號,80.59,其他,,,1090630,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,390056,4840,,0.0,0,地清或未辦繼承標售;,RPONNLTKQHPFFBF56DA,0.0,0.0,0.0,無
林口區,房地(土地+建物)+車位,文化三路二段271~300號,20.4,其他,,,1090619,土地1建物1車位1,五層,三十六層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,1070628,248.79000000000002,3,2,3,有,有,23500000,90298,坡道平面,15.12,2400000,,RPTNNLTKQHPFFBF07DA,143.95,4.93,12.92,有
林口區,房地(土地+建物)+車位,文化三路二段271~300號,24.29,其他,,,1090610,土地1建物1車位2,三十一層,三十六層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,1070628,304.99,3,2,3,有,有,30000000,91816,坡道平面,28.35,4600000,,RPUNNLTKQHPFFBF17DA,167.36,5.89,19.77,有
林口區,土地,建林段961~990地號,455.44,其他,,,1090810,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,77151200,169399,,0.0,0,,RPSNMLKLQHPFFBF68DA,0.0,0.0,0.0,無
新莊區,車位,中和街155巷24弄61~90號,1.08,其他,,,1090807,土地1建物0車位1,,,其他,,,,0.0,0,0,0,有,有,2000000,,坡道平面,49.26,2000000,僅車位交易;,RPOPMLKLQHPFFBF48DA,0.0,0.0,0.0,有
新店區,房地(土地+建物)+車位,北新路一段61~90號,6.56,其他,,,1090712,土地1建物1車位1,二十一層,三十層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1081112,118.2,2,2,1,有,有,20300000,189218,坡道平面,25.45,2750000,,RPVPMLKMPHPFFCF66DA,53.29,5.69,3.15,有
新店區,房地(土地+建物),太平路1~30號,10.07,其他,,,1090705,土地2建物1車位0,七層,十層,華廈(10層含以下有電梯),見其他登記事項,見其他登記事項,1041231,49.76,1,1,1,有,有,7000000,140675,,0.0,0,,RPUOMLMKQHPFFCF56DA,29.86,0.0,4.04,有
新店區,房地(土地+建物),北新路一段61~90號,5.31,其他,,,1090705,土地1建物1車位0,七層,三十層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1081112,80.17,2,2,1,有,有,15500000,193339,,0.0,0,含裝潢費;,RPOOMLOKQHPFFCF78DA,44.07,0.0,9.63,有
新店區,房地(土地+建物)+車位,玫瑰路49巷1~30號,32.62,其他,,,1090712,土地5建物1車位1,六層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0740717,182.34,3,2,2,有,有,10200000,55939,坡道平面,0.0,0,,RPSUMLRKQHPFFCF47DA,134.33,0.0,15.04,有
新店區,房地(土地+建物)+車位,黎明路57巷1~30號,82.68,其他,,,1090719,土地13建物1車位1,一層，二層，地下一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0790427,194.34,4,2,3,有,無,10560000,54338,坡道平面,0.0,0,其他增建;,RPTNMLSKQHPFFCF96DA,180.5,7.33,6.51,無
新店區,車位,中興路二段211~240號,0.07,其他,,,1090810,土地1建物1車位1,,,其他,,,,27.61,0,0,0,有,有,2130000,,坡道平面,27.61,2130000,僅車位交易;,RPWOMLSKQHPFFCF37DA,0.0,0.0,0.0,有
新店區,房地(土地+建物),北新路二段151~180號,14.56,其他,,,1090703,土地1建物1車位0,十二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0810131,189.07,8,0,8,有,有,25410000,134395,,0.0,0,,RPSOMLTKQHPFFCF07DA,155.18,0.78,24.39,有
烏來區,土地,環山段901~930地號,2100.0,其他,,,1090812,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,952,,0.0,0,,RPWOMLTKQHPFFCF47DA,0.0,0.0,0.0,無
新店區,房地(土地+建物),安康路二段142巷1弄1~30號,26.55,其他,,,1090630,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740509,86.57,3,2,1,有,無,7500000,86635,,0.0,0,,RPQOMLRKQHPFFCF66DA,78.26,0.0,8.31,無
