編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPRUMLQJQHPFFAF96DA,27,33.55,住家用,鋼筋混凝土造,82年7月26日,二十層,十二層
RPRUMLQJQHPFFAF96DA,27,33.55,住家用,鋼筋混凝土造,82年7月26日,二十層,十二層
RPRUMLQJQHPFFAF96DA,27,4.96,共有部份,鋼筋混凝土造,82年7月26日,二十層,
RPSUMLKLPHPFFAF56DA,,57.63,見其他登記事項,鋼筋混凝土造,109年5月4日,十二層,七層
RPRUMLQJQHPFFAF96DA,27,4.96,共有部份,鋼筋混凝土造,82年7月26日,二十層,
RPSUMLKLPHPFFAF56DA,,36.59,見其他登記事項,鋼筋混凝土造,109年5月4日,十二層,
RPRUMLQJQHPFFAF96DA,27,9.18,共有部份,鋼筋混凝土造,82年7月26日,二十二層,
RPRUMLQJQHPFFAF96DA,27,9.18,共有部份,鋼筋混凝土造,82年7月26日,二十二層,
RPRUMLKLPHPFFAF09DA,,57.63,見其他登記事項,鋼筋混凝土造,109年5月4日,十二層,三層
RPRUMLKLPHPFFAF09DA,,36.59,見其他登記事項,鋼筋混凝土造,109年5月4日,十二層,
RPWOMLRKQHPFFAF07DA,13,47.49,住家用,鋼筋混凝土造,97年1月25日,十五層,五層
RPWOMLRKQHPFFAF07DA,13,8.78,共有部份,鋼筋混凝土造,97年1月25日,十五層,
RPWOMLRKQHPFFAF07DA,13,11.47,共有部份,鋼筋混凝土造,97年1月25日,十五層,
RPVPMLNKQHPFFAF66DA,4,89.45,見其他登記事項,鋼筋混凝土造,105年2月5日,二十四層,五層
RPVPMLNKQHPFFAF66DA,4,24.95,見其他登記事項,鋼筋混凝土造,105年2月5日,二十四層,
RPVPMLNKQHPFFAF66DA,4,35.70,見其他登記事項,鋼筋混凝土造,105年2月5日,二十四層,
RPOPMLLLPHPFFAF38DA,,55.38,住家用,鋼筋混凝土造,,五層,三層
RPWVMLOKQHPFFAF47DA,41,79.38,住家用,鋼筋混凝土造,68年5月11日,五層,四層
RPQWMLOKQHPFFAF96DA,44,102.00,住家用,加強磚造,65年3月23日,二層,一層 二層
RPPUMLSKQHPFFAF07DA,,97.27,住商用,鋼筋混凝土造,,五層,一層 騎樓
RPUOMLSKQHPFFAF96DA,7,102.01,住家用,鋼筋混凝土造,102年5月3日,十九層,十三層
RPUOMLSKQHPFFAF96DA,7,73.92,見其他登記事項,鋼筋混凝土造,102年5月3日,十九層,
RPTTMLTKQHPFFAF47DA,22,115.16,住家用,鋼筋混凝土造,87年11月11日,二十三層,六層
RPTTMLTKQHPFFAF47DA,22,14.14,共有部份,鋼筋混凝土造,87年11月11日,二十三層,
RPOUMLTKQHPFFAF07DA,,74.25,住家用,鋼筋混凝土造,,五層,三層
RPPOMLKLQHPFFAF38DA,1,49.36,見其他登記事項,鋼筋混凝土造,108年6月25日,十九層,九層
RPPOMLKLQHPFFAF38DA,1,61.08,見其他登記事項,鋼筋混凝土造,108年6月25日,十九層,
RPPPMLSKQHPFFAF56DA,2,.02,見其他登記事項,鋼骨鋼筋混凝土造,107年12月13日,二十層,一層
RPPPMLSKQHPFFAF56DA,2,27.25,見其他登記事項,鋼骨鋼筋混凝土造,107年12月13日,二十層,
RPSOMLKLQHPFFAF68DA,1,62.50,見其他登記事項,鋼筋混凝土造,108年6月25日,十九層,十四層
RPSOMLKLQHPFFAF68DA,1,63.50,見其他登記事項,鋼筋混凝土造,108年6月25日,十九層,
RPQPMLKLQHPFFAF58DA,1,90.79,見其他登記事項,鋼筋混凝土造,108年6月25日,十九層,十四層
RPQPMLKLQHPFFAF58DA,1,76.75,見其他登記事項,鋼筋混凝土造,108年6月25日,十九層,
RPRUMLTKQHPFFAF37DA,13,28.58,見其他登記事項,鋼筋混凝土造,96年6月11日,十七層,十七層
RPRUMLTKQHPFFAF37DA,13,7.18,共有部份,鋼筋混凝土造,96年6月11日,十七層,
RPRUMLTKQHPFFAF37DA,13,5.60,共有部份,鋼筋混凝土造,96年6月11日,十七層,
RPTPMLKLQHPFFAF88DA,,87.34,住家用,鋼筋混凝土造,,四層,二層
RPVOMLNJQHPFFBF56DA,1,37.41,見其他登記事項,鋼筋混凝土造,108年7月26日,十五層,三層
RPVOMLNJQHPFFBF56DA,1,48.23,見其他登記事項,鋼筋混凝土造,108年7月26日,十五層,
RPORMLQJQHPFFBF09DA,7,121.56,見其他登記事項,鋼筋混凝土造,103年1月28日,十五層,三層
RPORMLQJQHPFFBF09DA,7,34.91,見其他登記事項,鋼筋混凝土造,103年1月28日,十五層,
RPORMLQJQHPFFBF09DA,7,19.51,見其他登記事項,鋼筋混凝土造,103年1月28日,十五層,
RPORMLQJQHPFFBF09DA,7,47.54,見其他登記事項,鋼筋混凝土造,103年1月28日,十五層,
RPOQMLNJQHPFFBF68DA,1,41.48,見其他登記事項,鋼筋混凝土造,108年7月26日,十五層,三層
RPOQMLNJQHPFFBF68DA,1,41.48,見其他登記事項,鋼筋混凝土造,108年7月26日,十五層,三層
RPOQMLNJQHPFFBF68DA,1,35.73,見其他登記事項,鋼筋混凝土造,108年7月26日,十五層,
RPOQMLNJQHPFFBF68DA,1,35.73,見其他登記事項,鋼筋混凝土造,108年7月26日,十五層,
RPROMLKKQHPFFBF58DA,,61.49,住家用,鋼筋混凝土造,97年5月27日,十三層,六層
RPROMLKKQHPFFBF58DA,,15.07,共有部份,鋼筋混凝土造,97年5月27日,十三層,
RPROMLKKQHPFFBF58DA,,9.24,共有部份,鋼筋混凝土造,97年5月27日,十三層,
RPSOMLMKQHPFFBF88DA,24,31.30,見其他登記事項,鋼筋混凝土造,85年3月11日,二十一層,地下三層
RPTNMLMKQHPFFBF88DA,,64.99,見其他登記事項,鋼筋混凝土造,109年3月12日,十五層,十一層
RPTNMLMKQHPFFBF88DA,,55.57,見其他登記事項,鋼筋混凝土造,109年3月12日,十五層,
RPTSMLOKQHPFFBF96DA,14,69.82,住家用,鋼筋混凝土造,95年5月30日,十二層,二層
RPTSMLOKQHPFFBF96DA,14,47.28,共有部份,鋼筋混凝土造,95年5月30日,十三層,
RPSQMLNKQHPFFBF56DA,37,94.95,住家用,鋼筋混凝土造,73年1月16日,四層,一層
RPWRMLSKQHPFFBF57DA,42,72.93,住家用,鋼筋混凝土造,67年2月1日,四層,四層 陽台
RPTVMLSKQHPFFBF67DA,24,34.10,住家用,鋼筋混凝土造,85年3月18日,十五層,九層
RPTVMLSKQHPFFBF67DA,24,34.10,住家用,鋼筋混凝土造,85年3月18日,十五層,九層
RPTVMLSKQHPFFBF67DA,24,8.15,共有部份,鋼筋混凝土造,85年3月18日,十五層,
RPTVMLSKQHPFFBF67DA,24,8.15,共有部份,鋼筋混凝土造,85年3月18日,十五層,
RPTVMLSKQHPFFBF67DA,24,7.87,共有部份,鋼筋混凝土造,85年3月18日,十六層,
RPTVMLSKQHPFFBF67DA,24,7.87,共有部份,鋼筋混凝土造,85年3月18日,十六層,
RPTVMLSKQHPFFBF67DA,24,22.79,共有部份,鋼筋混凝土造,85年3月18日,十六層,
RPTVMLSKQHPFFBF67DA,24,22.79,共有部份,鋼筋混凝土造,85年3月18日,十六層,
RPPOMLTKQHPFFBF66DA,27,64.65,住家用,鋼筋混凝土造,82年8月30日,七層,三層
RPPOMLTKQHPFFBF66DA,27,4.70,共有部份,鋼筋混凝土造,82年8月30日,七層,
RPWVMLSKQHPFFBF97DA,4,66.31,見其他登記事項,鋼筋混凝土造,105年11月23日,十三層,十二層
RPWVMLSKQHPFFBF97DA,4,20.44,見其他登記事項,鋼筋混凝土造,105年11月23日,十三層,
RPWVMLSKQHPFFBF97DA,4,41.41,見其他登記事項,鋼筋混凝土造,105年11月23日,十三層,
RPOUMLTKQHPFFBF17DA,29,37.63,見其他登記事項,鋼筋混凝土造,80年5月18日,五層,防空避難室 停車場
RPRPMLTKQHPFFBF96DA,27,62.90,住家用,鋼筋混凝土造,82年4月13日,七層,五層
RPRPMLTKQHPFFBF96DA,27,7.20,共有部份,鋼筋混凝土造,82年4月13日,七層,
RPRPMLTKQHPFFBF96DA,27,3.00,共有部份,鋼筋混凝土造,82年4月13日,七層,
RPWNMLTKQHPFFBF27DA,1,57.00,見其他登記事項,鋼筋混凝土造,108年4月26日,十五層,五層
RPWNMLTKQHPFFBF27DA,1,66.82,見其他登記事項,鋼筋混凝土造,108年4月26日,十五層,
RPVTMLNKQHPFFBF17DA,3,64.63,見其他登記事項,鋼筋混凝土造,106年6月3日,十三層,四層
