編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPPQMLPJQHPFFAF88DA,新興段,3.83,都市：其他,持分移轉
RPPQMLPJQHPFFAF88DA,新興段,2.30,非都市： ; 非都市編定：,持分移轉
RPPQMLPJQHPFFAF88DA,新興段,4.50,都市：其他,持分移轉
RPPQMLPJQHPFFAF88DA,新興段,.67,都市：其他,持分移轉
RPPPMLPJQHPFFAF78DA,大巒段,72.11,都市：其他,全筆移轉
RPPPMLPJQHPFFAF78DA,大巒段,240.88,都市：其他,全筆移轉
RPRUMLQJQHPFFAF96DA,清水段,3.96,都市：其他,持分移轉
RPRUMLQJQHPFFAF96DA,清水段,3.96,都市：其他,持分移轉
RPSUMLKLPHPFFAF56DA,明德段,20.53,都市：其他,持分移轉
RPRUMLKLPHPFFAF09DA,明德段,20.54,都市：其他,持分移轉
RPWOMLRKQHPFFAF07DA,和平段,9.47,都市：其他,持分移轉
RPVPMLNKQHPFFAF66DA,新雅段,11.67,都市：其他,持分移轉
RPVPMLNKQHPFFAF66DA,力行段,1.30,都市：其他,持分移轉
RPOPMLLLPHPFFAF38DA,公館段,14.40,都市：其他,持分移轉
RPWVMLOKQHPFFAF47DA,文化段,22.80,都市：其他,持分移轉
RPQWMLOKQHPFFAF96DA,光仁段,91.00,都市：其他,全筆移轉
RPQQMLRKQHPFFAF66DA,江翠段,212.40,都市：其他,持分移轉
RPPQMLRKQHPFFAF56DA,江翠段,377.62,都市：其他,持分移轉
RPPWMLTKQHPFFAF37DA,大巒段,36.79,都市：其他,全筆移轉
RPPWMLTKQHPFFAF37DA,大巒段,38.58,都市：其他,全筆移轉
RPPUMLSKQHPFFAF07DA,文化段,30.38,都市：其他,持分移轉
RPUOMLSKQHPFFAF96DA,頂福段,23.99,都市：其他,持分移轉
RPUOMLSKQHPFFAF96DA,頂福段,.02,都市：其他,持分移轉
RPUOMLSKQHPFFAF96DA,沛陂段,.00,都市：其他,持分移轉
RPUOMLSKQHPFFAF96DA,沛陂段,.21,都市：其他,持分移轉
RPUOMLSKQHPFFAF96DA,沛陂段,.12,都市：其他,持分移轉
RPTTMLTKQHPFFAF47DA,江子翠段第二崁小段,13.33,都市：其他,持分移轉
RPOUMLTKQHPFFAF07DA,港子嘴段,25.80,都市：其他,持分移轉
RPPOMLKLQHPFFAF38DA,中華段,18.94,都市：其他,持分移轉
RPPPMLSKQHPFFAF56DA,光環段,.05,都市：其他,持分移轉
RPSOMLKLQHPFFAF68DA,中華段,22.89,都市：其他,持分移轉
RPQPMLKLQHPFFAF58DA,中華段,32.56,都市：其他,持分移轉
RPRUMLTKQHPFFAF37DA,江子翠段第三崁小段,.04,都市：其他,持分移轉
RPRUMLTKQHPFFAF37DA,江子翠段第三崁小段,.01,都市：其他,持分移轉
RPRUMLTKQHPFFAF37DA,江子翠段第三崁小段,4.07,都市：其他,持分移轉
RPRUMLTKQHPFFAF37DA,江子翠段第三崁小段,.16,都市：其他,持分移轉
RPVQMLLMPHPFFBF76DA,水碓段塭底小段,23.70,非都市：一般農業區 ; 非都市編定：農牧用地,持分移轉
RPVQMLLMPHPFFBF76DA,水碓段塭底小段,1.52,都市：其他,持分移轉
RPVQMLLMPHPFFBF76DA,水碓段塭底小段,29.77,非都市：一般農業區 ; 非都市編定：農牧用地,持分移轉
RPVQMLLMPHPFFBF76DA,水碓段塭底小段,.30,都市：其他,持分移轉
RPVQMLLMPHPFFBF76DA,水碓段水碓小段,.53,都市：其他,持分移轉
RPVQMLLMPHPFFBF76DA,水碓段塭底小段,50.79,都市：其他,持分移轉
RPVQMLLMPHPFFBF76DA,水碓段水碓小段,.12,都市：其他,持分移轉
RPVQMLLMPHPFFBF76DA,水碓段水碓小段,30.28,非都市：一般農業區 ; 非都市編定：農牧用地,持分移轉
RPVQMLLMPHPFFBF76DA,水碓段塭底小段,25.92,都市：其他,持分移轉
