鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中和區,房地(土地+建物)+車位,南山段541~570地號,23.66,住,,,1070315,土地1建物1車位1,三層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,211.79,4,2,2,有,無,28180000,145298,坡道平面,35.05,2500000,,RPPPMLLLPHPFFHF56CB
中和區,房地(土地+建物)+車位,南山段541~570地號,25.52,住,,,1070501,土地1建物1車位2,四層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,249.05,4,2,2,有,無,30500000,143057,坡道平面,70.1,4900000,,RPQPMLLLPHPFFHF66CB
中和區,房地(土地+建物)+車位,南山段541~570地號,24.17,住,,,1070310,土地1建物1車位1,五層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,215.93,4,2,2,有,無,28880000,146395,坡道平面,35.05,2400000,,RPRPMLLLPHPFFHF76CB
中和區,房地(土地+建物)+車位,南山段541~570地號,24.17,住,,,1070117,土地1建物1車位1,六層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,215.93,4,2,2,有,無,28000000,142083,坡道平面,35.05,2300000,,RPSPMLLLPHPFFHF86CB
中和區,房地(土地+建物)+車位,南山段541~570地號,25.77,住,,,1070210,土地1建物1車位2,七層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,250.98,4,2,2,有,無,31000000,144295,坡道平面,70.1,4900000,,RPTPMLLLPHPFFHF96CB
中和區,房地(土地+建物)+車位,南山段541~570地號,24.17,住,,,1070210,土地1建物1車位1,九層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,215.93,4,2,2,有,無,29880000,151371,坡道平面,35.05,2500000,,RPUPMLLLPHPFFHF07CB
中和區,房地(土地+建物)+車位,南山段541~570地號,24.17,住,,,1070303,土地1建物1車位1,十層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,215.93,4,2,2,有,無,29580000,149160,坡道平面,35.05,2600000,,RPVPMLLLPHPFFHF17CB
中和區,房地(土地+建物)+車位,南山段541~570地號,24.17,住,,,1070210,土地1建物1車位1,十一層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,215.93,4,2,2,有,無,29180000,148607,坡道平面,35.05,2300000,,RPWPMLLLPHPFFHF27CB
中和區,房地(土地+建物)+車位,南山段541~570地號,24.17,住,,,1070117,土地1建物1車位1,十二層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,215.93,4,2,2,有,無,29280000,149160,坡道平面,35.05,2300000,,RPXPMLLLPHPFFHF37CB
中和區,房地(土地+建物)+車位,南山段541~570地號,24.17,住,,,1070124,土地1建物1車位1,十三層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,215.93,4,2,2,有,無,29110000,149326,坡道平面,35.05,2100000,,RPOQMLLLPHPFFHF56CB
中和區,房地(土地+建物)+車位,南山段541~570地號,24.17,住,,,1070301,土地1建物1車位1,十四層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,215.93,4,2,2,有,無,29880000,152477,坡道平面,35.05,2300000,,RPPQMLLLPHPFFHF66CB
中和區,房地(土地+建物)+車位,南山段541~570地號,24.17,住,,,1070117,土地1建物1車位1,十六層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,215.93,4,2,2,有,無,29680000,152477,坡道平面,35.05,2100000,,RPQQMLLLPHPFFHF76CB
中和區,房地(土地+建物)+車位,南山段541~570地號,24.24,住,,,1070210,土地1建物1車位1,二十一層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,216.44,4,2,2,有,無,30080000,153151,坡道平面,35.05,2300000,,RPRQMLLLPHPFFHF86CB
中和區,房地(土地+建物)+車位,南山段541~570地號,23.66,住,,,1070421,土地1建物1車位1,二層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,211.79,4,2,2,有,無,28280000,145864,坡道平面,35.05,2500000,,RPTQMLLLPHPFFHF07CB
中和區,房地(土地+建物)+車位,南山段541~570地號,17.74,住,,,1070401,土地1建物1車位1,二層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,164.27,3,2,2,有,無,20850000,145101,坡道平面,35.05,2100000,,RPUQMLLLPHPFFHF17CB
中和區,房地(土地+建物),南山段541~570地號,16.14,住,,,1070117,土地1建物1車位0,三層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,129.22,3,2,2,有,無,18680000,144560,,0.0,0,,RPWQMLLLPHPFFHF37CB
中和區,房地(土地+建物)+車位,南山段541~570地號,17.99,住,,,1070202,土地1建物1車位1,四層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,166.44,3,2,2,有,無,21000000,143847,坡道平面,35.05,2100000,,RPPRMLLLPHPFFHF76CB
中和區,房地(土地+建物)+車位,南山段541~570地號,18.22,住,,,1070127,土地1建物1車位1,五層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,168.37,3,2,2,有,無,21560000,146715,坡道平面,35.05,2000000,,RPQRMLLLPHPFFHF86CB
中和區,房地(土地+建物)+車位,南山段541~570地號,18.22,住,,,1070311,土地1建物1車位1,十層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,168.37,3,2,2,有,無,22400000,151515,坡道平面,35.05,2200000,,RPRRMLLLPHPFFHF96CB
中和區,房地(土地+建物)+車位,南山段541~570地號,18.22,住,,,1070128,土地1建物1車位1,十一層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,168.37,3,2,2,有,無,22280000,151365,坡道平面,35.05,2100000,,RPSRMLLLPHPFFHF07CB
中和區,房地(土地+建物)+車位,南山段541~570地號,18.22,住,,,1070121,土地1建物1車位1,十二層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,168.37,3,2,2,有,無,21980000,147615,坡道平面,35.05,2300000,,RPTRMLLLPHPFFHF17CB
中和區,房地(土地+建物)+車位,南山段541~570地號,18.22,住,,,1070117,土地1建物1車位1,十三層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,168.37,3,2,2,有,無,22180000,150615,坡道平面,35.05,2100000,,RPURMLLLPHPFFHF27CB
中和區,房地(土地+建物),南山段541~570地號,16.62,住,,,1070117,土地1建物1車位0,十五層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,133.32,3,2,2,有,無,20490000,153690,,0.0,0,,RPWRMLLLPHPFFHF47CB
中和區,房地(土地+建物)+車位,南山段541~570地號,18.22,住,,,1070228,土地1建物1車位1,十六層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,168.37,3,2,2,有,無,22770000,152040,坡道平面,35.05,2500000,,RPXRMLLLPHPFFHF57CB
中和區,房地(土地+建物)+車位,南山段541~570地號,18.22,住,,,1070322,土地1建物1車位1,十八層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,168.37,3,2,2,有,無,23300000,156766,坡道平面,35.05,2400000,,RPOSMLLLPHPFFHF76CB
中和區,房地(土地+建物)+車位,南山段541~570地號,18.31,住,,,1070323,土地1建物1車位1,十九層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,169.33,3,2,2,有,無,23620000,157283,坡道平面,35.05,2500000,,RPPSMLLLPHPFFHF86CB
中和區,房地(土地+建物)+車位,南山段541~570地號,18.31,住,,,1070404,土地1建物1車位1,二十一層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,169.11,3,2,2,有,無,23450000,156273,坡道平面,35.05,2500000,,RPRSMLLLPHPFFHF07CB
中和區,房地(土地+建物)+車位,南山段541~570地號,23.95,住,,,1070430,土地1建物1車位1,二層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,214.28,4,2,2,有,無,27900000,141159,坡道平面,35.05,2600000,,RPSSMLLLPHPFFHF17CB
中和區,房地(土地+建物)+車位,南山段541~570地號,23.95,住,,,1070410,土地1建物1車位1,三層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,214.28,4,2,2,有,無,28180000,143280,坡道平面,35.05,2500000,,RPTSMLLLPHPFFHF27CB
中和區,房地(土地+建物)+車位,南山段541~570地號,24.36,住,,,1070423,土地1建物1車位1,四層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,217.41,4,2,2,有,無,28500000,142575,坡道平面,35.05,2500000,,RPUSMLLLPHPFFHF37CB
中和區,房地(土地+建物)+車位,南山段541~570地號,24.59,住,,,1070323,土地1建物1車位1,五層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,219.58,4,2,2,有,無,29250000,144963,坡道平面,35.05,2500000,,RPWSMLLLPHPFFHF57CB
中和區,房地(土地+建物)+車位,南山段541~570地號,24.59,住,,,1070304,土地1建物1車位1,六層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,219.58,4,2,2,有,無,29570000,146697,坡道平面,35.05,2500000,,RPXSMLLLPHPFFHF67CB
中和區,房地(土地+建物)+車位,南山段541~570地號,24.59,住,,,1070117,土地1建物1車位1,七層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,219.58,4,2,2,有,無,29800000,147943,坡道平面,35.05,2500000,,RPOTMLLLPHPFFHF86CB
中和區,房地(土地+建物)+車位,南山段541~570地號,24.59,住,,,1070117,土地1建物1車位1,八層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,219.58,4,2,2,有,無,30420000,151303,坡道平面,35.05,2500000,,RPPTMLLLPHPFFHF96CB
中和區,房地(土地+建物)+車位,南山段541~570地號,24.59,住,,,1070124,土地1建物1車位1,十四層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,219.58,4,2,2,有,無,30780000,153254,坡道平面,35.05,2500000,,RPQTMLLLPHPFFHF07CB
中和區,房地(土地+建物)+車位,南山段541~570地號,13.89,住,,,1070117,土地1建物1車位1,二層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,133.7,2,2,1,有,無,15660000,135428,坡道平面,35.05,2300000,,RPRTMLLLPHPFFHF17CB
中和區,房地(土地+建物),南山段541~570地號,12.36,住,,,1070117,土地1建物1車位0,三層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,99.11,2,2,1,有,無,13750000,138735,,0.0,0,,RPSTMLLLPHPFFHF27CB
中和區,房地(土地+建物)+車位,南山段541~570地號,14.53,住,,,1070117,土地1建物1車位1,五層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,138.67,2,2,1,有,無,17050000,142347,坡道平面,35.05,2300000,,RPTTMLLLPHPFFHF37CB
中和區,房地(土地+建物)+車位,南山段541~570地號,12.93,住,,,1070311,土地1建物1車位1,六層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,138.67,2,2,1,有,無,17320000,146883,坡道平面,35.05,2100000,,RPUTMLLLPHPFFHF47CB
中和區,房地(土地+建物)+車位,南山段541~570地號,14.53,住,,,1070120,土地1建物1車位1,十一層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,138.67,2,2,1,有,無,17480000,146497,坡道平面,35.05,2300000,,RPVTMLLLPHPFFHF57CB
中和區,房地(土地+建物),南山段541~570地號,12.93,住,,,1070117,土地1建物1車位0,十二層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,103.62,2,2,1,有,無,15550000,150068,,0.0,0,,RPWTMLLLPHPFFHF67CB
中和區,房地(土地+建物)+車位,南山段541~570地號,14.53,住,,,1070117,土地1建物1車位1,十三層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,138.67,2,2,1,有,無,17910000,150647,坡道平面,35.05,2300000,,RPXTMLLLPHPFFHF77CB
中和區,房地(土地+建物)+車位,南山段541~570地號,14.53,住,,,1070121,土地1建物1車位1,十四層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,138.67,2,2,1,有,無,17820000,149778,坡道平面,35.05,2300000,,RPOUMLLLPHPFFHF96CB
中和區,房地(土地+建物),南山段541~570地號,12.93,住,,,1070117,土地1建物1車位0,十五層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,103.62,2,2,1,有,無,15980000,154217,,0.0,0,,RPPUMLLLPHPFFHF07CB
