編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPSPMLLLPHPFFHF86CB,南山段,24.17,都市：住,持分移轉
RPRPMLLLPHPFFHF76CB,南山段,24.17,都市：住,持分移轉
RPTPMLLLPHPFFHF96CB,南山段,25.77,都市：住,持分移轉
RPXPMLLLPHPFFHF37CB,南山段,24.17,都市：住,持分移轉
RPWPMLLLPHPFFHF27CB,南山段,24.17,都市：住,持分移轉
RPVPMLLLPHPFFHF17CB,南山段,24.17,都市：住,持分移轉
RPPPMLLLPHPFFHF56CB,南山段,23.66,都市：住,持分移轉
RPOQMLLLPHPFFHF56CB,南山段,24.17,都市：住,持分移轉
RPUPMLLLPHPFFHF07CB,南山段,24.17,都市：住,持分移轉
RPQPMLLLPHPFFHF66CB,南山段,25.52,都市：住,持分移轉
RPQQMLLLPHPFFHF76CB,南山段,24.17,都市：住,持分移轉
RPTQMLLLPHPFFHF07CB,南山段,23.66,都市：住,持分移轉
RPPQMLLLPHPFFHF66CB,南山段,24.17,都市：住,持分移轉
RPRQMLLLPHPFFHF86CB,南山段,24.24,都市：住,持分移轉
RPWQMLLLPHPFFHF37CB,南山段,16.14,都市：住,持分移轉
RPPRMLLLPHPFFHF76CB,南山段,17.99,都市：住,持分移轉
RPUQMLLLPHPFFHF17CB,南山段,17.74,都市：住,持分移轉
RPQRMLLLPHPFFHF86CB,南山段,18.22,都市：住,持分移轉
RPRRMLLLPHPFFHF96CB,南山段,18.22,都市：住,持分移轉
RPSRMLLLPHPFFHF07CB,南山段,18.22,都市：住,持分移轉
RPTRMLLLPHPFFHF17CB,南山段,18.22,都市：住,持分移轉
RPPSMLLLPHPFFHF86CB,南山段,18.31,都市：住,持分移轉
RPWRMLLLPHPFFHF47CB,南山段,16.62,都市：住,持分移轉
RPRSMLLLPHPFFHF07CB,南山段,18.31,都市：住,持分移轉
RPOSMLLLPHPFFHF76CB,南山段,18.22,都市：住,持分移轉
RPSSMLLLPHPFFHF17CB,南山段,23.95,都市：住,持分移轉
RPUSMLLLPHPFFHF37CB,南山段,24.36,都市：住,持分移轉
RPXRMLLLPHPFFHF57CB,南山段,18.22,都市：住,持分移轉
RPURMLLLPHPFFHF27CB,南山段,18.22,都市：住,持分移轉
RPTSMLLLPHPFFHF27CB,南山段,23.95,都市：住,持分移轉
RPWSMLLLPHPFFHF57CB,南山段,24.59,都市：住,持分移轉
RPOTMLLLPHPFFHF86CB,南山段,24.59,都市：住,持分移轉
RPXSMLLLPHPFFHF67CB,南山段,24.59,都市：住,持分移轉
RPPTMLLLPHPFFHF96CB,南山段,24.59,都市：住,持分移轉
RPQTMLLLPHPFFHF07CB,南山段,24.59,都市：住,持分移轉
RPTTMLLLPHPFFHF37CB,南山段,14.53,都市：住,持分移轉
RPRTMLLLPHPFFHF17CB,南山段,13.89,都市：住,持分移轉
RPVTMLLLPHPFFHF57CB,南山段,14.53,都市：住,持分移轉
RPUTMLLLPHPFFHF47CB,南山段,12.93,都市：住,持分移轉
RPSTMLLLPHPFFHF27CB,南山段,12.36,都市：住,持分移轉
RPWTMLLLPHPFFHF67CB,南山段,12.93,都市：住,持分移轉
RPOUMLLLPHPFFHF96CB,南山段,14.53,都市：住,持分移轉
RPPUMLLLPHPFFHF07CB,南山段,12.93,都市：住,持分移轉
RPQUMLLLPHPFFHF17CB,南山段,12.93,都市：住,持分移轉
RPRUMLLLPHPFFHF27CB,南山段,14.53,都市：住,持分移轉
RPXTMLLLPHPFFHF77CB,南山段,14.53,都市：住,持分移轉
RPXUMLLLPHPFFHF87CB,南山段,18.31,都市：住,持分移轉
RPWUMLLLPHPFFHF77CB,南山段,16.71,都市：住,持分移轉
RPOVMLLLPHPFFHF07CB,南山段,18.31,都市：住,持分移轉
RPUUMLLLPHPFFHF57CB,南山段,18.06,都市：住,持分移轉
RPPVMLLLPHPFFHF17CB,南山段,18.31,都市：住,持分移轉
RPQVMLLLPHPFFHF27CB,南山段,18.31,都市：住,持分移轉
RPSVMLLLPHPFFHF47CB,南山段,18.31,都市：住,持分移轉
RPTVMLLLPHPFFHF57CB,南山段,18.31,都市：住,持分移轉
RPXVMLLLPHPFFHF97CB,南山段,18.31,都市：住,持分移轉
RPUVMLLLPHPFFHF67CB,南山段,19.91,都市：住,持分移轉
RPOWMLLLPHPFFHF17CB,南山段,18.41,都市：住,持分移轉
RPQWMLLLPHPFFHF37CB,南山段,18.41,都市：住,持分移轉
RPRWMLLLPHPFFHF47CB,南山段,17.86,都市：住,持分移轉
RPWVMLLLPHPFFHF87CB,南山段,18.31,都市：住,持分移轉
RPPWMLLLPHPFFHF27CB,南山段,18.41,都市：住,持分移轉
RPUWMLLLPHPFFHF77CB,南山段,17.99,都市：住,持分移轉
RPSWMLLLPHPFFHF57CB,南山段,17.70,都市：住,持分移轉
RPVWMLLLPHPFFHF87CB,南山段,16.65,都市：住,持分移轉
RPWWMLLLPHPFFHF97CB,南山段,18.25,都市：住,持分移轉
RPXWMLLLPHPFFHF08CB,南山段,18.25,都市：住,持分移轉
RPVNNLLLPHPFFHF07CB,南山段,16.65,都市：住,持分移轉
RPUNNLLLPHPFFHF96CB,南山段,18.25,都市：住,持分移轉
RPPNNLLLPHPFFHF09CB,南山段,18.25,都市：住,持分移轉
RPOONLLLPHPFFHF09CB,南山段,18.25,都市：住,持分移轉
RPPONLLLPHPFFHF56CB,南山段,18.25,都市：住,持分移轉
RPQNNLLLPHPFFHF56CB,南山段,18.25,都市：住,持分移轉
RPXNNLLLPHPFFHF27CB,南山段,18.25,都市：住,持分移轉
RPWNNLLLPHPFFHF17CB,南山段,18.25,都市：住,持分移轉
RPQONLLLPHPFFHF66CB,南山段,18.34,都市：住,持分移轉
RPRONLLLPHPFFHF76CB,南山段,18.34,都市：住,持分移轉
RPWONLLLPHPFFHF27CB,南山段,11.17,都市：住,持分移轉
RPVONLLLPHPFFHF17CB,南山段,11.17,都市：住,持分移轉
RPQPNLLLPHPFFHF76CB,南山段,11.17,都市：住,持分移轉
RPTPNLLLPHPFFHF07CB,南山段,11.17,都市：住,持分移轉
RPSPNLLLPHPFFHF96CB,南山段,11.17,都市：住,持分移轉
RPUPNLLLPHPFFHF17CB,南山段,11.17,都市：住,持分移轉
RPRPNLLLPHPFFHF86CB,南山段,11.17,都市：住,持分移轉
RPVPNLLLPHPFFHF27CB,南山段,11.17,都市：住,持分移轉
RPWPNLLLPHPFFHF37CB,南山段,11.17,都市：住,持分移轉
RPPPNLLLPHPFFHF66CB,南山段,11.17,都市：住,持分移轉
RPXPNLLLPHPFFHF47CB,南山段,11.17,都市：住,持分移轉
RPOQNLLLPHPFFHF66CB,南山段,18.41,都市：住,持分移轉
RPPQNLLLPHPFFHF76CB,南山段,18.57,都市：住,持分移轉
RPQQNLLLPHPFFHF86CB,南山段,17.22,都市：住,持分移轉
RPRQNLLLPHPFFHF96CB,南山段,17.22,都市：住,持分移轉
RPUQNLLLPHPFFHF27CB,南山段,18.82,都市：住,持分移轉
RPSQNLLLPHPFFHF07CB,南山段,18.82,都市：住,持分移轉
RPVQNLLLPHPFFHF37CB,南山段,17.22,都市：住,持分移轉
RPTQNLLLPHPFFHF17CB,南山段,18.82,都市：住,持分移轉
RPQRNLLLPHPFFHF96CB,南山段,18.86,都市：住,持分移轉
RPPRNLLLPHPFFHF86CB,南山段,18.82,都市：住,持分移轉
RPWQNLLLPHPFFHF47CB,南山段,18.82,都市：住,持分移轉
RPSRNLLLPHPFFHF17CB,南山段,18.86,都市：住,持分移轉
RPTRNLLLPHPFFHF27CB,南山段,18.86,都市：住,持分移轉
RPURNLLLPHPFFHF37CB,南山段,14.12,都市：住,持分移轉
RPVRNLLLPHPFFHF47CB,南山段,12.42,都市：住,持分移轉
RPWRNLLLPHPFFHF57CB,南山段,12.74,都市：住,持分移轉
RPXRNLLLPHPFFHF67CB,南山段,13.00,都市：住,持分移轉
RPOSNLLLPHPFFHF86CB,南山段,13.00,都市：住,持分移轉
RPPSNLLLPHPFFHF96CB,南山段,14.60,都市：住,持分移轉
RPTSNLLLPHPFFHF37CB,南山段,14.60,都市：住,持分移轉
RPRSNLLLPHPFFHF17CB,南山段,14.60,都市：住,持分移轉
RPQSNLLLPHPFFHF07CB,南山段,14.60,都市：住,持分移轉
RPUSNLLLPHPFFHF47CB,南山段,14.60,都市：住,持分移轉
RPWSNLLLPHPFFHF67CB,南山段,14.63,都市：住,持分移轉
RPVSNLLLPHPFFHF57CB,南山段,14.60,都市：住,持分移轉
RPQTNLLLPHPFFHF17CB,南山段,14.63,都市：住,持分移轉
RPOTNLLLPHPFFHF96CB,南山段,14.63,都市：住,持分移轉
RPUSMLOLPHPFFGF57CB,三重段,1.88,都市：商,持分移轉
RPUSMLOLPHPFFGF57CB,三重段,6.21,都市：商,持分移轉
RPTPMLOLPHPFFHF27CB,南山段,18.22,都市：住,持分移轉
RPUTNLLLPHPFFHF57CB,南山段,18.31,都市：住,持分移轉
RPSSMLOLPHPFFGF37CB,三重段,1.92,都市：商,持分移轉
RPSSMLOLPHPFFGF37CB,三重段,6.35,都市：商,持分移轉
RPVSMLOLPHPFFGF67CB,三重段,1.88,都市：商,持分移轉
RPVSMLOLPHPFFGF67CB,三重段,6.21,都市：商,持分移轉
RPTSMLOLPHPFFGF47CB,三重段,1.92,都市：商,持分移轉
RPTSMLOLPHPFFGF47CB,三重段,6.35,都市：商,持分移轉
RPWSMLOLPHPFFGF77CB,三重段,1.92,都市：商,持分移轉
RPWSMLOLPHPFFGF77CB,三重段,6.35,都市：商,持分移轉
RPXSMLOLPHPFFGF87CB,三重段,1.92,都市：商,持分移轉
RPXSMLOLPHPFFGF87CB,三重段,6.35,都市：商,持分移轉
RPOTMLOLPHPFFGF07CB,三重段,1.88,都市：商,持分移轉
RPOTMLOLPHPFFGF07CB,三重段,6.21,都市：商,持分移轉
RPQTMLOLPHPFFGF27CB,三重段,1.88,都市：商,持分移轉
RPQTMLOLPHPFFGF27CB,三重段,6.21,都市：商,持分移轉
RPTTMLOLPHPFFGF57CB,三重段,1.96,都市：商,持分移轉
RPTTMLOLPHPFFGF57CB,三重段,6.49,都市：商,持分移轉
RPPTMLOLPHPFFGF17CB,三重段,1.88,都市：商,持分移轉
RPPTMLOLPHPFFGF17CB,三重段,6.21,都市：商,持分移轉
RPWTMLOLPHPFFGF87CB,三重段,1.96,都市：商,持分移轉
RPWTMLOLPHPFFGF87CB,三重段,6.49,都市：商,持分移轉
RPVTMLOLPHPFFGF77CB,三重段,1.96,都市：商,持分移轉
RPVTMLOLPHPFFGF77CB,三重段,6.49,都市：商,持分移轉
RPQUMLOLPHPFFGF37CB,三重段,1.96,都市：商,持分移轉
RPQUMLOLPHPFFGF37CB,三重段,6.49,都市：商,持分移轉
RPOUMLOLPHPFFGF17CB,三重段,1.96,都市：商,持分移轉
RPOUMLOLPHPFFGF17CB,三重段,6.49,都市：商,持分移轉
RPXTMLOLPHPFFGF97CB,三重段,1.96,都市：商,持分移轉
RPXTMLOLPHPFFGF97CB,三重段,6.49,都市：商,持分移轉
RPPUMLOLPHPFFGF27CB,三重段,1.96,都市：商,持分移轉
RPPUMLOLPHPFFGF27CB,三重段,6.49,都市：商,持分移轉
RPUTMLOLPHPFFGF67CB,三重段,1.92,都市：商,持分移轉
RPUTMLOLPHPFFGF67CB,三重段,6.35,都市：商,持分移轉
RPSUMLOLPHPFFGF57CB,三重段,3.71,都市：商,持分移轉
RPSUMLOLPHPFFGF57CB,三重段,12.28,都市：商,持分移轉
RPTUMLOLPHPFFGF67CB,三重段,3.71,都市：商,持分移轉
RPTUMLOLPHPFFGF67CB,三重段,12.28,都市：商,持分移轉
