編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPSRMLLLPHPFFEF86CC,11,82.63,住家用,鋼筋混凝土造,99年1月5日,十五層,
RPROMLLLPHPFFBF78CC,6,297.89,見其他登記事項,見其他登記事項,103年9月16日,二層,
RPROMLLLPHPFFBF78CC,6,361.30,見其他登記事項,見其他登記事項,103年9月16日,二層,
RPROMLLLPHPFFBF78CC,6,9.04,見其他登記事項,見其他登記事項,103年9月16日,二層,
RPROMLLLPHPFFBF78CC,6,22.16,見其他登記事項,見其他登記事項,103年9月16日,二層,
RPSPMLLLPHPFFGF86CC,12,158.12,商業用,鋼筋混凝土造,97年11月25日,十二層,
RPSPMLLLPHPFFGF86CC,12,60.20,共有部份,鋼筋混凝土造,97年11月25日,十二層,
RPORMLMLPHPFFGF76CC,4,61.91,見其他登記事項,鋼筋混凝土造,105年10月18日,十四層,
RPORMLMLPHPFFGF76CC,4,21.98,見其他登記事項,鋼筋混凝土造,105年10月18日,十四層,
RPORMLMLPHPFFGF76CC,4,4.21,見其他登記事項,鋼筋混凝土造,105年10月18日,十四層,
RPOSMLLLPHPFFEF56CC,21,91.33,住家用,鋼骨鋼筋混凝土造,88年8月11日,三十一層,
RPOSMLLLPHPFFEF56CC,14,31.58,共有部份,鋼筋混凝土造,95年1月27日,八層,
RPOSMLLLPHPFFEF56CC,14,13.81,共有部份,鋼筋混凝土造,95年1月27日,八層,
RPVNMLLLPHPFFBF09CC,25,102.53,住家用,鋼筋混凝土造,84年7月13日,十七層,
RPVNMLLLPHPFFBF09CC,25,15.93,共有部份,鋼筋混凝土造,84年7月13日,十七層,
RPVNMLLLPHPFFBF09CC,25,26.06,共有部份,鋼筋混凝土造,84年7月13日,十七層,
RPXPMLLLPHPFFEF17CC,12,106.25,住家用,鋼筋混凝土造,97年4月30日,十層,
RPXPMLLLPHPFFEF17CC,12,72.55,共有部份,鋼筋混凝土造,97年4月30日,十層,
RPVQMLLLPHPFFDF96CC,21,33.11,住家用,鋼筋混凝土造,88年2月1日,二十三層,
RPVQMLLLPHPFFDF96CC,21,2.69,共有部分,鋼筋混凝土造,88年2月1日,二十三層,
RPVQMLLLPHPFFDF96CC,21,10.33,共有部分,鋼筋混凝土造,88年2月1日,二十三層,
RPOPMLLLPHPFFDF78CC,22,64.90,住家用,鋼筋混凝土造,87年1月23日,五層,
