編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPSRMLLLPHPFFEF86CC,公司田段,14.49,都市：住,全筆移轉
RPROMLLLPHPFFBF78CC,建林段,140.91,都市：商,全筆移轉
RPROMLLLPHPFFBF78CC,建林段,323.83,都市：商,全筆移轉
RPSPMLLLPHPFFGF86CC,富貴段,.00,都市：住,全筆移轉
RPORMLMLPHPFFGF76CC,大安段,.00,都市：住,全筆移轉
RPOSMLLLPHPFFEF56CC,新興段,.00,非都市： ; 非都市編定：,全筆移轉
RPVNMLLLPHPFFBF09CC,丹鳳段,.00,都市：住,全筆移轉
RPXPMLLLPHPFFEF17CC,海天段,.00,都市：住,全筆移轉
RPVQMLLLPHPFFDF96CC,保長段,.00,都市：住,全筆移轉
RPOPMLLLPHPFFDF78CC,中正段,.00,都市：住,全筆移轉
RPPRMLMLPHPFFGF86CC,大安段,.00,都市：住,全筆移轉
RPSRMLMLPHPFFGF17CC,光華段,.00,都市：住,全筆移轉
RPOSMLMLPHPFFGF86CC,大安段,.00,都市：住,全筆移轉
RPPSMLMLPHPFFGF96CC,菜寮段,.00,都市：住,全筆移轉
RPQPMLLLPHPFFDF98CC,同新段,2.70,都市：工,全筆移轉
RPQPMLLLPHPFFDF98CC,同新段,.00,都市：其他,全筆移轉
RPQPMLLLPHPFFDF98CC,同新段,.00,都市：其他,全筆移轉
RPRSMLMLPHPFFGF17CC,興德段,35.23,都市：工,全筆移轉
RPRSMLMLPHPFFGF17CC,興德段,44.63,都市：工,全筆移轉
RPXPMLMLPHPFFEF27CC,公司田段,.00,都市：住,全筆移轉
RPOQMLMLPHPFFEF09CC,新巿段,.00,都市：商,全筆移轉
RPPPMLMLPHPFFIF86CC,大學段一小段,22.70,都市：住,全筆移轉
RPSQMLMLPHPFFHF17CC,永安段,.00,都市：商,全筆移轉
RPSQMLMLPHPFFHF17CC,永安段,.00,都市：商,全筆移轉
