編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPOOMLSKQHPFFBG56DA,33,172.49,住家用,鋼筋混凝土造,75年12月29日,三層,一層 二層 三層 騎樓
RPQNMLTKQHPFFAG66DA,4,212.08,見其他登記事項,鋼筋混凝土造,106年1月3日,三層,一層 二層 三層 見其他登記事項
RPQOMLLKQHPFFBG68DA,4,252.12,見其他登記事項,鋼筋混凝土造,105年11月11日,三層,一層 二層 三層 見其他登記事項
RPSOMLNKQHPFFBG09DA,3,53.84,見其他登記事項,鋼骨鋼筋混凝土造,106年12月21日,二十九層,二十八層
RPSOMLNKQHPFFBG09DA,3,43.76,見其他登記事項,鋼骨鋼筋混凝土造,106年12月21日,二十九層,
RPSNMLKLQHPFFBG78DA,2,82.46,見其他登記事項,鋼筋混凝土造,107年10月5日,五層,三層
RPSNMLKLQHPFFBG78DA,2,40.78,見其他登記事項,鋼筋混凝土造,107年10月5日,五層,
RPQNMLKLQHPFFBG58DA,25,97.12,住家用,鋼筋混凝土造,84年9月21日,五層,五層
RPQNMLKLQHPFFBG58DA,25,13.84,共有部份,鋼筋混凝土造,84年9月21日,五層,
RPQNMLMKQHPFFAG58DA,,183.07,住家用,鋼筋混凝土造,109年5月22日,三層,一層 二層 三層
RPUNMLKLQHPFFBG98DA,40,116.66,住家用,鋼筋混凝土加強磚造,69年2月7日,二層,一層 二層 騎樓
RPWNMLKLQHPFFBG56DA,3,76.07,見其他登記事項,鋼筋混凝土造,106年7月24日,九層,七層
RPWNMLKLQHPFFBG56DA,3,86.31,見其他登記事項,鋼筋混凝土造,106年7月24日,九層,
RPPOMLTKQHPFFBG86EA,30,182.02,住家用,鋼筋混凝土加強磚造,79年5月3日,二層,一層 二層 夾層
RPTOMLTKQHPFFBG27EA,,29.10,住家用,鋼筋混凝土加強磚造,,二層,一層 二層
RPQOMLTKQHPFFBG96EA,30,182.02,住家用,鋼筋混凝土加強磚造,79年5月3日,二層,一層 二層 夾層
RPSNMLTKQHPFFBG96DA,,96.85,見其他登記事項,鋼筋混凝土造,109年6月12日,三層,二層
RPSNMLTKQHPFFBG96DA,,26.37,見其他登記事項,鋼筋混凝土造,109年6月12日,三層,
RPVNMLKLQHPFFBG09DA,27,186.42,住家用,鋼筋混凝土造,82年3月26日,三層,一層 二層 三層
