編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPOQMLLLPHPFFAH68DA,,115.41,住家用,鋼筋混凝土造,109年7月1日,十五層,十一層
RPOQMLLLPHPFFAH68DA,,88.57,見其他登記事項,鋼筋混凝土造,109年7月1日,十五層,
RPTTMLLLPHPFFAH86DA,,94.81,住家用,鋼筋混凝土造,109年7月1日,十三層,六層
RPXNMLLMPHPFFAH76DA,4,334.91,見其他登記事項,鋼筋混凝土造,105年11月10日,五層,一層 二層 三層 四層 五層 見其他登記事項
RPTTMLLLPHPFFAH86DA,,77.91,見其他登記事項,鋼筋混凝土造,109年7月1日,十五層,
RPTTMLTLPHPFFAH67DA,,78.29,住家用,鋼筋混凝土造,109年5月27日,十二層,十二層
RPTTMLTLPHPFFAH67DA,,72.44,見其他登記事項,鋼筋混凝土造,109年5月27日,十二層,
RPTQMLLLPHPFFAH56DA,,115.41,住家用,鋼筋混凝土造,109年7月1日,十五層,十四層
RPTQMLLLPHPFFAH56DA,,88.57,見其他登記事項,鋼筋混凝土造,109年7月1日,十五層,
RPOPMLKMPHPFFAH58DA,,77.88,住家用,鋼筋混凝土造,109年5月27日,十二層,十二層
RPOPMLKMPHPFFAH58DA,,72.13,見其他登記事項,鋼筋混凝土造,109年5月27日,十二層,
RPTOMLRJQHPFFAH86DA,,148.50,見其他登記事項,鋼骨鋼筋混凝土造,109年1月6日,二十六層,四層
RPTOMLRJQHPFFAH86DA,,91.13,見其他登記事項,鋼骨鋼筋混凝土造,109年1月6日,二十七層,
RPTOMLRJQHPFFAH86DA,,39.26,見其他登記事項,鋼骨鋼筋混凝土造,109年1月6日,二十六層,
RPXPMLLLPHPFFAH86DA,,115.41,住家用,鋼筋混凝土造,109年7月1日,十五層,十層
RPXPMLLLPHPFFAH86DA,,88.57,見其他登記事項,鋼筋混凝土造,109年7月1日,十五層,
RPXUMLLLPHPFFAH37DA,,94.81,住家用,鋼筋混凝土造,109年7月1日,十三層,十二層
RPXUMLLLPHPFFAH37DA,,78.43,見其他登記事項,鋼筋混凝土造,109年7月1日,十五層,
RPSTMLOJQHPFFAH96DA,10,1.67,見其他登記事項,鋼筋混凝土造,98年12月20日,四層,一層 二層 三層 四層
