編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPOQMLLLPHPFFAH68DA,中路二段,31.83,都市：其他,持分移轉
RPTTMLLLPHPFFAH86DA,中路二段,26.16,都市：其他,持分移轉
RPXNMLLMPHPFFAH76DA,中路三段,110.74,都市：其他,持分移轉
RPTTMLTLPHPFFAH67DA,寶山段,2.29,都市：其他,持分移轉
RPTTMLTLPHPFFAH67DA,寶山段,24.39,都市：其他,持分移轉
RPTTMLTLPHPFFAH67DA,寶山段,5.12,都市：其他,持分移轉
RPTQMLLLPHPFFAH56DA,中路二段,31.83,都市：其他,持分移轉
RPOPMLKMPHPFFAH58DA,寶山段,2.28,都市：其他,持分移轉
RPOPMLKMPHPFFAH58DA,寶山段,24.28,都市：其他,持分移轉
RPOPMLKMPHPFFAH58DA,寶山段,5.10,都市：其他,持分移轉
RPTOMLRJQHPFFAH86DA,同德段,21.57,都市：其他,持分移轉
RPXPMLLLPHPFFAH86DA,中路二段,31.83,都市：其他,持分移轉
RPTPMLRJQHPFFAH96DA,桃園段公館頭小段,13.00,都市：其他,全筆移轉
RPTPMLRJQHPFFAH96DA,中路段,27.75,都市：其他,持分移轉
RPTPMLRJQHPFFAH96DA,桃園段武陵小段,12.00,都市：其他,全筆移轉
RPTPMLRJQHPFFAH96DA,桃園段長美小段,7.00,都市：其他,全筆移轉
RPTPMLRJQHPFFAH96DA,小檜溪段,31.99,都市：其他,持分移轉
RPXUMLLLPHPFFAH37DA,中路二段,26.17,都市：其他,持分移轉
RPSTMLOJQHPFFAH96DA,大有段,37.39,都市：其他,持分移轉
RPSTMLOJQHPFFAH96DA,大有段,37.39,都市：其他,持分移轉
RPSTMLOJQHPFFAH96DA,大有段,37.39,都市：其他,持分移轉
RPQSMLKKQHPFFAH98DA,富國段,18.98,都市：其他,持分移轉
RPPQMLOKQHPFFAH09DA,同德段,21.57,都市：其他,持分移轉
RPTNMLMKQHPFFAH98DA,龍鳳段,19.47,都市：其他,持分移轉
RPPSMLNKQHPFFAH56DA,延壽段,15.05,都市：其他,持分移轉
RPTNMLMKQHPFFAH98DA,龍鳳段,.00,都市：其他,持分移轉
RPVNMLSKQHPFFAH17DA,中路二段,103.93,都市：其他,全筆移轉
RPPNMLTKQHPFFAH66DA,同安段,12.07,都市：其他,持分移轉
RPTOMLPKPHPFFBH76DA,中壢埔頂段,131.00,都市：其他,全筆移轉
RPXNMLTKQHPFFAH47DA,同安段,4.62,都市：其他,持分移轉
RPXNMLTKQHPFFAH47DA,同安段,9.74,都市：其他,持分移轉
RPXNMLTKQHPFFAH47DA,同安段,8.15,都市：其他,持分移轉
RPORMLTKQHPFFAH96DA,桃園段武陵小段,11.96,都市：其他,持分移轉
RPSRMLTKQHPFFAH37DA,法政段,31.50,都市：其他,持分移轉
RPVOMLNLPHPFFBH86DA,後興段,23.18,都市：其他,持分移轉
RPVNMLTKQHPFFAH27DA,中埔段,7.16,都市：其他,持分移轉
RPUTMLLMPHPFFBH17DA,仁祥段,17.80,都市：其他,持分移轉
RPXQMLTKQHPFFAH77DA,桃園段武陵小段,11.42,都市：其他,持分移轉
RPWQMLKMPHPFFBH96DA,仁祥段,17.80,都市：其他,持分移轉
RPPPMLTKQHPFFAH86DA,慈文段,14.07,都市：其他,持分移轉
RPPPMLTKQHPFFAH86DA,慈文段,.07,都市：其他,持分移轉
RPPPMLTKQHPFFAH86DA,慈文段,.39,都市：其他,持分移轉
RPQUMLLMPHPFFBH86DA,仁祥段,18.15,都市：其他,持分移轉
RPUTMLNJQHPFFBH17DA,仁祥段,13.27,都市：其他,持分移轉
RPWUMLNJQHPFFBH47DA,仁祥段,12.22,都市：其他,持分移轉
RPXNNLNJQHPFFBH96DA,仁祥段,18.15,都市：其他,持分移轉
RPPRNLNJQHPFFBH56DA,仁祥段,21.64,都市：其他,持分移轉
RPWPMLQJQHPFFBH27DA,仁祥段,13.27,都市：其他,持分移轉
RPVPMLQJQHPFFBH17DA,仁祥段,21.64,都市：其他,持分移轉
RPXPMLQJQHPFFBH37DA,仁祥段,13.27,都市：其他,持分移轉
RPWOMLQJQHPFFBH17DA,仁祥段,21.64,都市：其他,持分移轉
RPRPMLQJQHPFFBH76DA,仁祥段,12.57,都市：其他,持分移轉
