編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPUOMLMLPHPFFDH86CB,高洲段,28.50,都市：住,持分移轉
RPSOMLMLPHPFFDH66CB,高洲段,28.78,都市：住,持分移轉
RPPPMLMLPHPFFDH09CB,高洲段,28.50,都市：住,持分移轉
RPTPMLMLPHPFFDH86CB,高洲段,27.66,都市：住,持分移轉
RPOPMLMLPHPFFDH98CB,高洲段,28.50,都市：住,持分移轉
RPXOMLMLPHPFFDH17CB,高洲段,28.50,都市：住,持分移轉
RPVOMLMLPHPFFDH96CB,高洲段,28.50,都市：住,持分移轉
RPRPMLMLPHPFFDH66CB,高洲段,28.50,都市：住,持分移轉
RPQPMLMLPHPFFDH56CB,高洲段,28.50,都市：住,持分移轉
RPSPMLMLPHPFFDH76CB,高洲段,28.50,都市：住,持分移轉
RPUPMLMLPHPFFDH96CB,高洲段,27.66,都市：住,持分移轉
RPWPMLMLPHPFFDH17CB,高洲段,27.66,都市：住,持分移轉
RPXPMLMLPHPFFDH27CB,高洲段,27.66,都市：住,持分移轉
RPOQMLMLPHPFFDH09CB,高洲段,27.66,都市：住,持分移轉
RPPQMLMLPHPFFDH56CB,高洲段,27.66,都市：住,持分移轉
RPUQMLMLPHPFFDH07CB,高洲段,27.66,都市：住,持分移轉
RPSQMLMLPHPFFDH86CB,高洲段,27.66,都市：住,持分移轉
RPQQMLMLPHPFFDH66CB,高洲段,27.66,都市：住,持分移轉
RPTQMLMLPHPFFDH96CB,高洲段,27.66,都市：住,持分移轉
RPRQMLMLPHPFFDH76CB,高洲段,27.66,都市：住,持分移轉
RPVQMLMLPHPFFDH17CB,高洲段,27.66,都市：住,持分移轉
RPWQMLMLPHPFFDH27CB,高洲段,27.66,都市：住,持分移轉
RPXQMLMLPHPFFDH37CB,高洲段,20.68,都市：住,持分移轉
RPPRMLMLPHPFFDH66CB,高洲段,20.68,都市：住,持分移轉
RPORMLMLPHPFFDH56CB,高洲段,20.68,都市：住,持分移轉
RPRRMLMLPHPFFDH86CB,高洲段,20.68,都市：住,持分移轉
RPQRMLMLPHPFFDH76CB,高洲段,20.68,都市：住,持分移轉
RPSRMLMLPHPFFDH96CB,高洲段,20.68,都市：住,持分移轉
RPVRMLMLPHPFFDH27CB,高洲段,20.68,都市：住,持分移轉
RPWRMLMLPHPFFDH37CB,高洲段,20.68,都市：住,持分移轉
RPTRMLMLPHPFFDH07CB,高洲段,20.68,都市：住,持分移轉
RPURMLMLPHPFFDH17CB,高洲段,20.68,都市：住,持分移轉
RPPSMLMLPHPFFDH76CB,高洲段,19.56,都市：住,持分移轉
RPRSMLMLPHPFFDH96CB,高洲段,19.56,都市：住,持分移轉
RPXRMLMLPHPFFDH47CB,高洲段,20.68,都市：住,持分移轉
RPSSMLMLPHPFFDH07CB,高洲段,19.56,都市：住,持分移轉
RPTSMLMLPHPFFDH17CB,高洲段,19.56,都市：住,持分移轉
RPOSMLMLPHPFFDH66CB,高洲段,19.56,都市：住,持分移轉
RPVSMLMLPHPFFDH37CB,高洲段,19.56,都市：住,持分移轉
RPUSMLMLPHPFFDH27CB,高洲段,19.56,都市：住,持分移轉
RPWSMLMLPHPFFDH47CB,高洲段,19.56,都市：住,持分移轉
RPXSMLMLPHPFFDH57CB,高洲段,19.56,都市：住,持分移轉
RPOTMLMLPHPFFDH76CB,高洲段,19.56,都市：住,持分移轉
RPQTMLMLPHPFFDH96CB,高洲段,27.66,都市：住,持分移轉
RPSTMLMLPHPFFDH17CB,高洲段,27.66,都市：住,持分移轉
RPRTMLMLPHPFFDH07CB,高洲段,27.66,都市：住,持分移轉
RPPTMLMLPHPFFDH86CB,高洲段,19.56,都市：住,持分移轉
RPVTMLMLPHPFFDH47CB,高洲段,27.66,都市：住,持分移轉
RPTTMLMLPHPFFDH27CB,高洲段,27.66,都市：住,持分移轉
RPUTMLMLPHPFFDH37CB,高洲段,27.66,都市：住,持分移轉
RPOUMLMLPHPFFDH86CB,高洲段,27.66,都市：住,持分移轉
RPWTMLMLPHPFFDH57CB,高洲段,27.66,都市：住,持分移轉
RPXTMLMLPHPFFDH67CB,高洲段,27.66,都市：住,持分移轉
RPPUMLMLPHPFFDH96CB,高洲段,27.66,都市：住,持分移轉
RPRUMLMLPHPFFDH17CB,高洲段,28.22,都市：住,持分移轉
RPTUMLMLPHPFFDH37CB,高洲段,28.22,都市：住,持分移轉
RPSUMLMLPHPFFDH27CB,高洲段,28.22,都市：住,持分移轉
RPVUMLMLPHPFFDH57CB,高洲段,28.22,都市：住,持分移轉
RPQUMLMLPHPFFDH07CB,高洲段,27.66,都市：住,持分移轉
RPUUMLMLPHPFFDH47CB,高洲段,28.22,都市：住,持分移轉
RPWUMLMLPHPFFDH67CB,高洲段,28.22,都市：住,持分移轉
RPQVMLMLPHPFFDH17CB,高洲段,27.66,都市：住,持分移轉
RPOVMLMLPHPFFDH96CB,高洲段,28.22,都市：住,持分移轉
RPSVMLMLPHPFFDH37CB,高洲段,20.12,都市：住,持分移轉
RPRVMLMLPHPFFDH27CB,高洲段,27.66,都市：住,持分移轉
RPXUMLMLPHPFFDH77CB,高洲段,28.22,都市：住,持分移轉
RPTVMLMLPHPFFDH47CB,高洲段,20.12,都市：住,持分移轉
RPPVMLMLPHPFFDH07CB,高洲段,28.22,都市：住,持分移轉
RPUVMLMLPHPFFDH57CB,高洲段,20.12,都市：住,持分移轉
RPWVMLMLPHPFFDH77CB,高洲段,20.12,都市：住,持分移轉
RPVVMLMLPHPFFDH67CB,高洲段,20.12,都市：住,持分移轉
RPSWMLMLPHPFFDH47CB,高洲段,20.12,都市：住,持分移轉
RPXVMLMLPHPFFDH87CB,高洲段,20.12,都市：住,持分移轉
RPQWMLMLPHPFFDH27CB,高洲段,20.12,都市：住,持分移轉
RPOWMLMLPHPFFDH07CB,高洲段,20.12,都市：住,持分移轉
RPUWMLMLPHPFFDH67CB,高洲段,19.28,都市：住,持分移轉
RPPWMLMLPHPFFDH17CB,高洲段,20.12,都市：住,持分移轉
RPVWMLMLPHPFFDH77CB,高洲段,19.28,都市：住,持分移轉
RPRWMLMLPHPFFDH37CB,高洲段,20.12,都市：住,持分移轉
RPXWMLMLPHPFFDH97CB,高洲段,19.28,都市：住,持分移轉
RPWWMLMLPHPFFDH87CB,高洲段,19.28,都市：住,持分移轉
RPONNLMLPHPFFDH88CB,高洲段,19.28,都市：住,持分移轉
RPSNNLMLPHPFFDH66CB,高洲段,19.28,都市：住,持分移轉
RPQNNLMLPHPFFDH09CB,高洲段,19.28,都市：住,持分移轉
RPPNNLMLPHPFFDH98CB,高洲段,19.28,都市：住,持分移轉
RPTNNLMLPHPFFDH76CB,高洲段,19.28,都市：住,持分移轉
RPUNNLMLPHPFFDH86CB,高洲段,17.04,都市：住,持分移轉
RPRNNLMLPHPFFDH56CB,高洲段,19.28,都市：住,持分移轉
RPXNNLMLPHPFFDH17CB,高洲段,30.46,都市：住,持分移轉
RPVNNLMLPHPFFDH96CB,高洲段,30.46,都市：住,持分移轉
RPWNNLMLPHPFFDH07CB,高洲段,30.46,都市：住,持分移轉
RPOONLMLPHPFFDH98CB,高洲段,30.46,都市：住,持分移轉
