編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPOQNLLLPHPFFAH88CC,22,54.69,住家用,鋼筋混凝土造,87年5月6日,十三層,
RPOQNLLLPHPFFAH88CC,22,9.02,共有部份,鋼筋混凝土造,87年5月6日,十三層,
RPOQNLLLPHPFFAH88CC,22,41.14,共有部份,鋼筋混凝土造,87年5月6日,十三層,
RPTPMLLLPHPFFBH66CC,7,81.35,見其他登記事項,鋼筋混凝土造,102年1月15日,十三層,
RPTPMLLLPHPFFBH66CC,7,.08,見其他登記事項,鋼筋混凝土造,102年1月15日,十三層,
RPTPMLLLPHPFFBH66CC,7,25.02,見其他登記事項,鋼筋混凝土造,102年1月15日,十三層,
RPTPMLLLPHPFFBH66CC,7,42.37,見其他登記事項,鋼筋混凝土造,102年1月15日,十三層,
RPSUMLLLPHPFFBH07CC,1,46.14,見其他登記事項,鋼筋混凝土造,108年6月3日,五層,
RPSUMLLLPHPFFBH07CC,1,10.57,見其他登記事項,鋼筋混凝土造,108年6月3日,五層,
RPQUMLLLPHPFFBH86CC,18,113.98,住家用,鋼筋混凝土造,91年11月14日,十四層,
RPQUMLLLPHPFFBH86CC,18,23.92,共有部分,鋼筋混凝土造,91年11月14日,十四層,
RPQUMLLLPHPFFBH86CC,18,41.45,共有部分,鋼筋混凝土造,91年11月14日,十四層,
RPSPMLLLPHPFFBH56CC,7,81.35,見其他登記事項,鋼筋混凝土造,102年1月15日,十三層,
RPSPMLLLPHPFFBH56CC,7,.08,見其他登記事項,鋼筋混凝土造,102年1月15日,十三層,
RPSPMLLLPHPFFBH56CC,7,25.02,見其他登記事項,鋼筋混凝土造,102年1月15日,十三層,
RPSPMLLLPHPFFBH56CC,7,42.37,見其他登記事項,鋼筋混凝土造,102年1月15日,十三層,
RPPUMLLLPHPFFBH76CC,17,60.09,住家用,鋼筋混凝土造,91年12月30日,十一層,
RPPUMLLLPHPFFBH76CC,17,12.42,共有部分,鋼筋混凝土造,91年12月30日,十一層,
RPPUMLLLPHPFFBH76CC,17,7.03,共有部分,鋼筋混凝土造,91年12月30日,十一層,
RPPUMLLLPHPFFBH76CC,17,4.45,共有部分,鋼筋混凝土造,91年12月30日,十一層,
RPOWMLLLPHPFFBH86CC,27,39.96,住家用,鋼筋混凝土造,82年9月8日,十六層,
