編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPOQNLLLPHPFFAH88CC,福元段,8.37,都市：住,全筆移轉
RPTPMLLLPHPFFBH66CC,普義段,.00,都市：住,全筆移轉
RPSUMLLLPHPFFBH07CC,工業區段二小段,.00,非都市：工業區 ; 非都市編定：丁種建築用地,全筆移轉
RPQUMLLLPHPFFBH86CC,自立段,23.63,都市：住,全筆移轉
RPSPMLLLPHPFFBH56CC,普義段,.00,都市：住,全筆移轉
RPPUMLLLPHPFFBH76CC,中寮段,.00,都市：其他,全筆移轉
RPOWMLLLPHPFFBH86CC,興南段興南小段,.00,都市：商,全筆移轉
RPQWMLLLPHPFFBH07CC,仁美段,.00,都市：住,全筆移轉
RPQWMLLLPHPFFBH07CC,仁美段,.00,都市：住,全筆移轉
RPPNNLLLPHPFFAH68CC,慈文段,.00,都市：住,全筆移轉
RPVQMLLLPHPFFBH96CC,中壢埔頂段,.00,都市：住,全筆移轉
RPQPMLLLPHPFFDH56CC,大金山下段大金山下小段,.00,都市：住,全筆移轉
RPXQMLLLPHPFFEH47CC,南園段,.00,都市：住,全筆移轉
RPXOMLLLPHPFFCH07CC,潛龍段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPRRMLLLPHPFFEH96CC,河底段,.00,都市：住,全筆移轉
RPVPMLLLPHPFFDH07CC,長岡嶺段,.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,全筆移轉
RPTWMLLLPHPFFBH37CC,青芝段,.00,都市：商,全筆移轉
RPRNMLLLPHPFFFH66CC,大智段,.00,都市：住,全筆移轉
RPPPMLLLPHPFFGH76CC,新富段,.00,都市：住,全筆移轉
RPVOMLLLPHPFFGH27CC,金鍊段,18.55,都市：住,全筆移轉
RPQNMLLLPHPFFHH76CC,幸褔段,2.06,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPQNMLLLPHPFFHH76CC,幸褔段,12.51,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPSQMLLLPHPFFEH07DC,坑子口段頭前小段,21.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPSQMLLLPHPFFEH07DC,坑子口段頭前小段,223.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPOOMLLLPHPFFHH66CC,文化段,12.12,都市：商,全筆移轉
RPWQMLLLPHPFFEH47DC,竹圍段崁下小段,138.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPTNMLLLPHPFFHH17DC,興華段,675.00,都市：住,全筆移轉
RPRNMLLLPHPFFHH96DC,東嶺段,104.14,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,全筆移轉
RPSNMLLLPHPFFHH07DC,興華段,675.00,都市：住,全筆移轉
RPSPMLMLPHPFFGH27DC,新勢段,68.86,都市：住,全筆移轉
RPSPMLMLPHPFFGH27DC,新勢段,133.48,都市：住,全筆移轉
RPPQMLMLPHPFFGH96CC,廣德段,.00,都市：住,全筆移轉
RPWOMLMLPHPFFHH57CC,陸光段,.00,都市：其他,全筆移轉
RPQPMLMLPHPFFHH07CC,迴龍段,31.09,都市：住,全筆移轉
RPQPMLMLPHPFFFH86CC,高明段,.00,都市：商,全筆移轉
RPTNMLMLPHPFFHH17CC,興華段,.00,都市：住,全筆移轉
RPUNMLMLPHPFFFH07CC,瑞祥段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPTPMLMLPHPFFFH17CC,廣福段,.00,都市：商,全筆移轉
RPUPMLMLPHPFFFH27CC,新霄裡段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPTWMLMLPHPFFDH67CC,幼獅段,.00,都市：住,全筆移轉
RPVNMLMLPHPFFCH86CC,隆德段,.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,全筆移轉
RPOONLMLPHPFFBH88CC,中工段,.00,都市：住,全筆移轉
RPVRMLMLPHPFFBH17CC,雙嶺段,.00,都市：住,全筆移轉
RPQPNLMLPHPFFBH56CC,中寮段,.00,都市：商,全筆移轉
RPUVMLMLPHPFFDH67CC,民生段,.00,都市：商,全筆移轉
