編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPWNMLKLQHPFFAI76EA,1,275.13,見其他登記事項,見其他登記事項,108年12月25日,四層,一層 二層 三層 四層
RPTNMLTKQHPFFAI27EA,41,546.68,住家用,鋼筋混凝土加強磚造,68年4月10日,二層,一層 二層
RPQNMLSKQHPFFAI76DA,42,105.34,住家用,鋼筋混凝土加強磚造,67年9月18日,二層,一層 二層
RPRNMLTKQHPFFAI07EA,9,266.88,見其他登記事項,見其他登記事項,100年12月13日,五層,一層 二層 三層 四層 五層
RPUNMLTKQHPFFAI37EA,1,129.74,見其他登記事項,見其他登記事項,108年12月30日,三層,一層 二層 三層 見其他登記事項
RPUNMLTKQHPFFAI37EA,1,129.74,見其他登記事項,見其他登記事項,108年12月30日,三層,一層 二層 三層 見其他登記事項
RPUOMLSKQHPFFAI27DA,22,151.59,住家用,鋼筋混凝土造,87年12月17日,三層,一層 二層 三層
RPWNMLTKQHPFFAI57EA,62,31.04,住家用,木造,47年3月20日,一層,一層
RPOOMLTKQHPFFAI76DA,1,183.97,見其他登記事項,見其他登記事項,108年5月23日,三層,一層 二層 三層 見其他登記事項
RPQNMLTKQHPFFAI86DA,3,391.40,見其他登記事項,見其他登記事項,106年9月28日,四層,一層 二層 三層 四層 地下一層
RPQNMLTKQHPFFAI86DA,3,2.63,見其他登記事項,見其他登記事項,106年9月28日,四層,
RPQNMLTKQHPFFAI86DA,3,33.14,見其他登記事項,見其他登記事項,106年9月28日,四層,
RPPOMLTKQHPFFAI86DA,1,197.11,見其他登記事項,見其他登記事項,108年12月13日,三層,一層 二層 三層 見其他登記事項
RPUOMLKLQHPFFAI56DA,44,49.16,住家用,磚造,65年1月21日,一層,一層
RPUNMLKLQHPFFAI09DA,26,42.87,住家用,鋼筋混凝土造,83年12月15日,六層,四層
RPUNMLKLQHPFFAI09DA,26,18.05,共有部份,鋼筋混凝土造,83年12月15日,六層,
RPWOMLTKQHPFFAI57DA,46,72.17,住家用,木造,63年5月21日,二層,一層 二層
RPROMLKLQHPFFAI88DA,28,15.87,共有部份,鋼筋混凝土造,81年11月11日,五層,
RPROMLKLQHPFFAI88DA,28,13.73,共有部份,鋼筋混凝土造,81年11月11日,五層,
RPROMLKLQHPFFAI88DA,28,101.38,住家用,鋼筋混凝土造,81年11月11日,五層,四層
RPROMLKLQHPFFAI88DA,28,17.89,見其他登記事項,鋼筋混凝土造,81年11月11日,五層,地下層
