編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPSNMLKLQHPFFAI98EA,湖子內段湖美小段,3160.77,都市：其他,全筆移轉
RPRNMLKLQHPFFAI88EA,竹圍子段三小段,291.46,都市：其他,持分移轉
RPROMLTKQHPFFAI17EA,湖內段,6.40,都市：其他,持分移轉
RPPOMLTKQHPFFAI96EA,湖內段,6.40,都市：其他,持分移轉
RPSPMLRKQHPFFAI07DA,湖子內段興安小段,165.30,都市：其他,全筆移轉
RPWNMLKLQHPFFAI76EA,湖子內段湖美小段,151.77,都市：其他,全筆移轉
RPTNMLTKQHPFFAI27EA,東川段,473.00,都市：其他,全筆移轉
RPTNMLTKQHPFFAI27EA,東川段,90.00,都市：其他,全筆移轉
RPQNMLSKQHPFFAI76DA,後庄段,90.00,都市：其他,全筆移轉
RPRNMLTKQHPFFAI07EA,山下段,.33,都市：其他,持分移轉
RPRNMLTKQHPFFAI07EA,山下段,84.00,都市：其他,全筆移轉
RPRNMLTKQHPFFAI07EA,山下段,10.58,都市：其他,持分移轉
RPRNMLTKQHPFFAI07EA,山下段,.66,都市：其他,持分移轉
RPUNMLTKQHPFFAI37EA,湖子內段興安小段,64.28,非都市： ; 非都市編定：,持分移轉
RPUNMLTKQHPFFAI37EA,湖子內段興安小段,64.28,非都市： ; 非都市編定：,持分移轉
RPUOMLSKQHPFFAI27DA,鳥岫段,96.00,都市：其他,全筆移轉
RPWNMLTKQHPFFAI57EA,埤子頭段,55.00,都市：其他,全筆移轉
RPWNMLTKQHPFFAI57EA,埤子頭段,10.00,都市：其他,全筆移轉
RPOOMLTKQHPFFAI76DA,陳厝段,89.72,都市：其他,全筆移轉
RPOOMLTKQHPFFAI76DA,陳厝段,9.90,都市：其他,持分移轉
RPOOMLTKQHPFFAI76DA,陳厝段,14.30,非都市： ; 非都市編定：,持分移轉
RPQNMLTKQHPFFAI86DA,車店段,107.00,都市：其他,全筆移轉
RPQNMLTKQHPFFAI86DA,車店段,.74,都市：其他,持分移轉
RPQNMLTKQHPFFAI86DA,車店段,1.11,都市：其他,持分移轉
RPQNMLTKQHPFFAI86DA,車店段,.53,都市：其他,持分移轉
RPQNMLTKQHPFFAI86DA,車店段,34.58,都市：其他,持分移轉
RPPOMLTKQHPFFAI86DA,短竹段,100.00,都市：其他,全筆移轉
RPUOMLKLQHPFFAI56DA,盧厝段,86.00,都市：其他,全筆移轉
RPUNMLKLQHPFFAI09DA,竹圍子段,13.05,都市：其他,持分移轉
