鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
嘉義市,建物,嘉義市嘉義市西區博愛路一段481~510號,0.0,住,,,1090722,土地0建物1車位0,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831231,110.72,3,1,2,有,有,有,8300,75,,0.0,0,,RPQNMLOLPHPFFAI09CC
嘉義市,建物,嘉義市嘉義市西區德安路1~30號,0.0,商,,,1090722,土地0建物1車位0,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830701,131.34,4,2,2,有,無,有,17000,129,,0.0,0,,RPSNMLOLPHPFFAI66CC
嘉義市,房地(土地+建物),嘉義市嘉義市林森西路181~210號,198.0,商,,,1090706,土地1建物1車位0,一層,4,店面(店鋪),見其他登記事項,鋼筋混凝土造,0660822,158.93,0,0,0,無,無,無,50000,315,,0.0,0,承租方因申請營業登記及內部修繕之半年期間租金減半.,RPWNMLOLPHPFFAI07CC
嘉義市,建物,嘉義市嘉義市東區和平路271~300號,0.0,商,,,1090724,土地0建物1車位0,七層,9,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840517,38.88,1,0,1,有,無,有,4500,116,,0.0,0,社會住宅,RPRNMLRLPHPFFAI86CC
嘉義市,土地,竹圍子段181~210地號,22.0,住,,,1090725,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,9000,409,,0.0,0,含增建或未登記建物。;,RPVOMLRLPHPFFAI37CC
嘉義市,建物,嘉義市嘉義市西區蘭州三街61~90號,100.0,住,,,1090720,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0770519,134.96,4,2,2,有,無,有,13500,100,,0.0,0,社會住宅,RPPOMLSLPHPFFAI86CC
嘉義市,建物,嘉義市嘉義市西區博愛路二段151~180號,0.0,其他,,,1090727,土地0建物1車位0,五層,14,套房(1房1廳1衛),住家用,鋼筋混凝土造,0880421,66.84,1,1,1,有,有,有,8100,121,,0.0,0,,RPQOMLSLPHPFFAI96CC
嘉義市,房地(土地+建物),嘉義市嘉義市博東路91~120號,9.65,住,,,1090710,土地1建物1車位0,四層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870319,60.0,2,1,1,有,有,有,8000,133,,0.0,0,,RPSNMLKMPHPFFAI98CC
嘉義市,房地(土地+建物),嘉義市嘉義市博東路151~180號,14.59,住,,,1090710,土地1建物1車位0,十四層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870319,119.97,3,2,2,有,有,有,13000,108,,0.0,0,,RPSNMLLMPHPFFAI09CC
