編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQNMLOLPHPFFAI09CC,26,110.72,住家用,鋼筋混凝土造,83年12月31日,十二層,
RPRNMLRLPHPFFAI86CC,25,38.88,住家用,鋼筋混凝土造,84年5月17日,九層,
RPSNMLKMPHPFFAI98CC,22,60.00,住家用,鋼筋混凝土造,87年3月19日,二十二層,
RPSNMLLMPHPFFAI09CC,22,86.26,住家用,鋼筋混凝土造,87年3月19日,二十二層,
RPSNMLLMPHPFFAI09CC,22,15.62,共有部份,鋼筋混凝土造,87年3月19日,二十二層,
RPSNMLLMPHPFFAI09CC,22,18.09,共有部份,鋼筋混凝土造,87年3月19日,二十二層,
RPWNMLOLPHPFFAI07CC,43,117.48,見其他登記事項,鋼筋混凝土造,66年8月22日,四層,
RPWNMLOLPHPFFAI07CC,43,41.45,見其他登記事項,鋼筋混凝土造,66年8月22日,四層,
RPPOMLSLPHPFFAI86CC,32,134.96,住家用,加強磚造,77年5月19日,二層,
RPSNMLOLPHPFFAI66CC,26,131.34,住家用,鋼筋混凝土造,83年7月1日,十四層,
RPQOMLSLPHPFFAI96CC,21,66.84,住家用,鋼筋混凝土造,88年4月21日,十四層,
