編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPVOMLRLPHPFFAI37CC,竹圍子段,22.00,都市：住,全筆移轉
RPQNMLOLPHPFFAI09CC,埤子頭段,.00,都市：住,全筆移轉
RPRNMLRLPHPFFAI86CC,中山段七小段,.00,都市：商,全筆移轉
RPSNMLKMPHPFFAI98CC,新太平段,9.65,都市：住,全筆移轉
RPSNMLLMPHPFFAI09CC,新太平段,14.59,都市：住,全筆移轉
RPWNMLOLPHPFFAI07CC,榮段三小段,198.00,都市：商,全筆移轉
RPPOMLSLPHPFFAI86CC,車店段車店小段,100.00,都市：住,全筆移轉
RPSNMLOLPHPFFAI66CC,竹圍子段二小段,.00,都市：商,全筆移轉
RPQOMLSLPHPFFAI96CC,竹圍子段,.00,都市：其他,全筆移轉
