編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPPOMLTLPHPFFBJ07DA,貓兒錠段山腳小段,29.35,非都市：特定農業區 ; 非都市編定：甲種建築用地,持分移轉
RPPOMLTLPHPFFBJ07DA,貓兒錠段山腳小段,29.65,非都市：特定農業區 ; 非都市編定：甲種建築用地,持分移轉
RPQPMLRKPHPFFBJ96DA,東海窟段旱坑子小段,661.30,非都市：特定農業區 ; 非都市編定：農牧用地,持分移轉
RPTNMLKMPHPFFBJ56DA,水瀧段,21.35,都市：其他,持分移轉
RPUOMLMLPHPFFBJ86DA,莊敬段,26.56,都市：其他,持分移轉
RPTPMLSLPHPFFBJ47DA,水瀧段,10.67,都市：其他,持分移轉
RPTPMLSLPHPFFBJ47DA,水瀧段,10.67,都市：其他,持分移轉
RPSOMLRLPHPFFBJ17DA,永興段,7.18,都市：其他,持分移轉
RPTPMLOKPHPFFBJ96DA,莊敬段,12.19,都市：其他,持分移轉
RPQOMLKMPHPFFBJ98DA,水瀧段,14.03,都市：其他,持分移轉
RPQOMLKMPHPFFBJ98DA,水瀧段,14.03,都市：其他,持分移轉
RPTNMLSLPHPFFBJ27DA,台元段,5.89,都市：其他,持分移轉
RPTNMLSLPHPFFBJ27DA,台元段,105.26,都市：其他,持分移轉
RPTNMLSLPHPFFBJ27DA,台元段,529.82,都市：其他,全筆移轉
RPWNMLKMPHPFFBJ86DA,水瀧段,21.35,都市：其他,持分移轉
RPROMLKMPHPFFBJ09DA,水瀧段,12.67,都市：其他,持分移轉
RPROMLKMPHPFFBJ09DA,水瀧段,12.67,都市：其他,持分移轉
RPUOMLMKQHPFFBJ86DA,隘興段,22.65,都市：其他,持分移轉
RPUNMLRKQHPFFBJ27DA,永興段,63.67,都市：其他,持分移轉
RPQNMLTKQHPFFBJ07DA,自強段,.27,都市：其他,持分移轉
RPPPMLRKQHPFFBJ96DA,仰德段,61.47,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPPPMLRKQHPFFBJ96DA,仰德段,48.25,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPPPMLRKQHPFFBJ96DA,仰德段,46.27,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPPPMLRKQHPFFBJ96DA,仰德段,53.02,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPRNMLPKQHPFFBJ76DA,中興段,14.33,都市：其他,持分移轉
RPWPMLSKQHPFFBJ77DA,莊敬段,21.75,都市：其他,持分移轉
RPVNMLRKQHPFFBJ37DA,竹北段,80.41,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPPNMLLKPHPFFCJ78DA,梅花段,2000.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,全筆移轉
RPSOMLRKQHPFFCJ27DA,金獅段,672.20,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPTOMLSKQHPFFBJ37DA,自強段,26.84,都市：其他,持分移轉
RPROMLTKQHPFFBJ27DA,豆子埔段,34.08,都市：其他,持分移轉
RPTOMLRKQHPFFCJ37DA,雞油凸段三叉凸小段,231.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,全筆移轉
RPWQMLSKQHPFFBJ87DA,台科段,26.50,都市：其他,持分移轉
RPPOMLKLQHPFFBJ88DA,台科段,15.95,都市：其他,持分移轉
RPPNMLQKQHPFFCJ76DA,東寧段,61.00,都市：其他,全筆移轉
RPRNMLTKQHPFFBJ17DA,自強段,17.46,都市：其他,持分移轉
RPPNMLTKQHPFFCJ07DA,濫子段尖筆窩小段,74.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,全筆移轉
RPTOMLKLQHPFFBJ66DA,縣福段,28.84,都市：其他,持分移轉
RPQNMLTKQHPFFDJ27DA,青埔子段,1390.00,非都市：特定農業區 ; 非都市編定：農牧用地,全筆移轉
RPWOMLRLPHPFFDJ77DA,中興段中興小段,19.01,非都市：工業區 ; 非都市編定：丁種建築用地,持分移轉
RPUQMLPJQHPFFDJ47DA,長威段,88.89,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPUQMLPJQHPFFDJ47DA,長威段,95.14,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPUQMLPJQHPFFDJ47DA,長威段,98.02,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPWOMLRKQHPFFCJ67DA,資源段,4.37,都市：其他,持分移轉
RPWOMLRKQHPFFCJ67DA,資源段,8.79,都市：其他,持分移轉
RPPNMLSKQHPFFCJ96DA,志學段,33.96,都市：其他,持分移轉
RPPNMLSKQHPFFCJ96DA,志學段,.35,都市：其他,持分移轉
RPOOMLRKQHPFFDJ96DA,中義段,151.60,都市：其他,全筆移轉
RPWNMLSKQHPFFDJ77DA,中興段中興小段,31.17,非都市：工業區 ; 非都市編定：丁種建築用地,持分移轉
RPSNMLTKQHPFFDJ47DA,湖南段,132.21,非都市：特定農業區 ; 非都市編定：甲種建築用地,持分移轉
RPTNMLTKQHPFFCJ57EA,赤柯坪段十四寮小段,3002.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,全筆移轉
RPTNMLTKQHPFFCJ57EA,赤柯坪段十四寮小段,766.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,全筆移轉
RPOOMLSKQHPFFCJ96DA,國王段,56.52,非都市：特定農業區 ; 非都市編定：丁種建築用地,持分移轉
RPOOMLSKQHPFFCJ96DA,國王段,2.04,非都市：特定農業區 ; 非都市編定：丁種建築用地,持分移轉
RPOOMLSKQHPFFCJ96DA,國王段,7.31,非都市：特定農業區 ; 非都市編定：甲種建築用地,持分移轉
RPOOMLKLQHPFFCJ98EA,田寮段,193.61,非都市：山坡地保育區 ; 非都市編定：農牧用地,全筆移轉
RPPOMLKLQHPFFCJ09EA,田寮段,274.67,非都市：山坡地保育區 ; 非都市編定：農牧用地,全筆移轉
