鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
苗栗市,房地(土地+建物)+車位,文山里22鄰國華路781~810號,22.88,其他,,,1080116,土地1建物1車位1,二層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1090507,125.53999999999999,2,2,1,有,有,5510000,46088,坡道平面,20.09,650000,,RPROMLPKPHPFFBK86DA,69.63,0.0,8.18,有
苗栗市,房地(土地+建物)+車位,文山里22鄰國華路781~810號,41.92,其他,,,1071001,土地1建物1車位1,十層，夾層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1090507,230.25,4,2,4,有,有,9990000,46042,坡道平面,36.08,1050000,,RPOTMLPKPHPFFBK07DA,129.45,0.0,14.07,有
苗栗市,房地(土地+建物),建功里1鄰建功街10巷1~30號,96.0,其他,,,1090720,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1030813,174.95,5,2,3,有,無,9800000,56016,,0.0,0,,RPSNMLRKQHPFFBK17DA,158.16,1.32,15.47,無
公館鄉,土地,福南段721~750地號,3567.0,,特定農業區,農牧用地,1090705,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,14000000,3925,,0.0,0,農作物;,RPVNMLSKQHPFFBK57DA,0.0,0.0,0.0,無
公館鄉,房地(土地+建物),玉泉村10鄰文公街40巷1~30號,131.0,其他,,,1090603,土地1建物1車位0,一層，二層，三層,,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0761102,185.23,5,2,3,有,無,3037100,16396,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPPNMLTKQHPFFBK07DA,185.23,0.0,0.0,無
通霄鎮,土地,五里牌段五里牌小段811~840地號,2412.0,,特定農業區,農牧用地,1090727,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4000000,1658,,0.0,0,,RPVNMLOKQHPFFCK27DA,0.0,0.0,0.0,無
通霄鎮,土地,通東段1081~1110地號,2.61,其他,,,1090723,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,59214,22687,,0.0,0,包含公共設施保留地用地;,RPWNMLOKQHPFFCK37DA,0.0,0.0,0.0,無
通霄鎮,土地,海濱段781~810地號,398.91,其他,,,1090725,土地10建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4500000,11281,,0.0,0,具重建或重劃、都更等效益;,RPTNMLTKQHPFFCK57DA,0.0,0.0,0.0,無
通霄鎮,土地,通東段1081~1110地號,45.49,其他,,,1090723,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1100786,24198,,0.0,0,包含公共設施保留地用地;,RPSNMLLMQHPFFCK86DA,0.0,0.0,0.0,無
竹南鎮,房地(土地+建物),大埔里8鄰大埔一街390巷1~30號,91.05,其他,,,1090617,土地3建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1050906,215.67,4,2,4,有,無,11000000,51004,,0.0,0,,RPPNMLSKPHPFFDK07DA,190.9,3.4,21.37,無
造橋鄉,房地(土地+建物),談文村5鄰育英街31~60號,14.58,,山坡地保育區,丙種建築用地,1090803,土地1建物1車位0,一層,三層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0930623,20.41,1,1,1,有,有,360000,17638,,0.0,0,陽台外推;,RPRNMLPJQHPFFDK96DA,13.57,2.22,0.0,無
竹南鎮,房地(土地+建物),天文里17鄰龍富街42巷1~30號,72.77,其他,,,1090725,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0970220,186.45,5,2,4,有,無,8380000,44945,,0.0,0,,RPOOMLPJQHPFFDK76DA,177.06,9.39,0.0,無
竹南鎮,房地(土地+建物)+車位,新南里11鄰立華街61~90號,26.74,住,,,1090714,土地1建物1車位1,五層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080311,98.07,2,2,1,有,有,4900000,49964,坡道機械,0.0,0,,RPSNMLSKQHPFFDK47DA,51.79,1.73,6.67,有
竹南鎮,房地(土地+建物)+車位,大埔里1鄰大埔街31~60號,37.0,其他,,,1090730,土地1建物1車位1,四層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060725,151.61,3,2,2,有,有,8030000,58431,坡道平面,34.72,1200000,,RPTNMLSKQHPFFDK57DA,73.9,0.0,8.06,有
造橋鄉,房地(土地+建物),談文村5鄰育英二街1~30號,20.11,,山坡地保育區,丙種建築用地,1090811,土地1建物1車位0,二層,三層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0920331,29.02,1,0,1,有,有,430000,14817,,0.0,0,,RPQNMLTKQHPFFDK37DA,19.25,0.0,2.63,無
銅鑼鄉,土地,新雞隆段421~450地號,2267.5,,山坡地保育區,農牧用地,1090710,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1800000,794,,0.0,0,,RPQNMLKKPHPFFEK09DA,0.0,0.0,0.0,無
三義鄉,土地,雙連潭段631~660地號,10518.3,,山坡地保育區,農牧用地,1090720,土地8建物0車位0,,,其他,,,,0.0,0,0,0,有,無,22000000,2092,,0.0,0,含道路通行及水電申請。,RPRNMLQJQHPFFEK17DA,0.0,0.0,0.0,無
頭份巿,土地,濫坑段91~120地號,22936.0,,山坡地保育區,林業用地,1090728,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,17300000,754,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPVNMLSKQHPFFFK97DA,0.0,0.0,0.0,無
頭份巿,房地(土地+建物),仁愛里11鄰和平路1~30號,7.36,其他,,,1090721,土地1建物1車位0,一層，騎樓,十層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0821021,90.28,1,1,1,有,無,3960000,43864,,0.0,0,,RPQNMLTKQHPFFFK57DA,71.23,14.97,0.0,有
