編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPVNMLSKQHPFFBK57DA,福南段,3567.00,非都市：特定農業區 ; 非都市編定：農牧用地,全筆移轉
RPTNMLTKQHPFFCK57DA,海濱段,86.22,都市：其他,持分移轉
RPTNMLTKQHPFFCK57DA,海濱段,46.47,都市：其他,持分移轉
RPTNMLTKQHPFFCK57DA,海濱段,.03,都市：其他,持分移轉
RPTNMLTKQHPFFCK57DA,海濱段,77.80,都市：其他,持分移轉
RPTNMLTKQHPFFCK57DA,海濱段,9.45,都市：其他,持分移轉
RPTNMLTKQHPFFCK57DA,海濱段,1.38,都市：其他,持分移轉
RPTNMLTKQHPFFCK57DA,海濱段,14.15,都市：其他,持分移轉
RPTNMLTKQHPFFCK57DA,海濱段,.17,都市：其他,持分移轉
RPTNMLTKQHPFFCK57DA,海濱段,45.13,都市：其他,持分移轉
RPTNMLTKQHPFFCK57DA,海濱段,118.11,都市：其他,持分移轉
RPVNMLOKQHPFFCK27DA,五里牌段五里牌小段,1206.00,非都市：特定農業區 ; 非都市編定：農牧用地,持分移轉
RPVNMLOKQHPFFCK27DA,五里牌段五里牌小段,1206.00,非都市：特定農業區 ; 非都市編定：農牧用地,持分移轉
RPWNMLOKQHPFFCK37DA,通東段,.03,都市：其他,持分移轉
RPWNMLOKQHPFFCK37DA,通東段,.71,都市：其他,持分移轉
RPWNMLOKQHPFFCK37DA,通東段,1.87,都市：其他,持分移轉
RPSNMLLMQHPFFCK86DA,通東段,4.90,都市：其他,持分移轉
RPSNMLLMQHPFFCK86DA,通東段,21.60,都市：其他,持分移轉
RPSNMLLMQHPFFCK86DA,通東段,9.30,都市：其他,持分移轉
RPSNMLLMQHPFFCK86DA,通東段,9.34,都市：其他,持分移轉
RPSNMLLMQHPFFCK86DA,通東段,.00,都市：其他,持分移轉
RPSNMLLMQHPFFCK86DA,通東段,.35,都市：其他,持分移轉
RPSNMLRKQHPFFBK17DA,苗栗段,96.00,都市：其他,全筆移轉
RPOTMLPKPHPFFBK07DA,文聖段,41.92,都市：其他,持分移轉
RPROMLPKPHPFFBK86DA,文聖段,22.88,都市：其他,持分移轉
RPPNMLSKPHPFFDK07DA,大同段,23.40,都市：其他,持分移轉
RPPNMLSKPHPFFDK07DA,大同段,59.08,都市：其他,全筆移轉
RPPNMLSKPHPFFDK07DA,大同段,8.57,都市：其他,持分移轉
RPPNMLTKQHPFFBK07DA,麻齊寮段,131.00,都市：其他,全筆移轉
RPQNMLKKPHPFFEK09DA,新雞隆段,359.50,非都市：山坡地保育區 ; 非都市編定：農牧用地,持分移轉
RPQNMLKKPHPFFEK09DA,新雞隆段,1619.50,非都市：山坡地保育區 ; 非都市編定：農牧用地,持分移轉
RPQNMLKKPHPFFEK09DA,新雞隆段,288.50,非都市：山坡地保育區 ; 非都市編定：農牧用地,持分移轉
RPRNMLPJQHPFFDK96DA,淡文湖段,14.58,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPRNMLQJQHPFFEK17DA,雙連潭段,12.74,非都市：山坡地保育區 ; 非都市編定：農牧用地,持分移轉
RPRNMLQJQHPFFEK17DA,雙連潭段,12.74,非都市：山坡地保育區 ; 非都市編定：農牧用地,持分移轉
RPRNMLQJQHPFFEK17DA,雙連潭段,.16,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPRNMLQJQHPFFEK17DA,雙連潭段,.16,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPRNMLQJQHPFFEK17DA,雙連潭段,4.73,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPRNMLQJQHPFFEK17DA,雙連潭段,4.73,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPRNMLQJQHPFFEK17DA,雙連潭段,41.52,非都市：山坡地保育區 ; 非都市編定：農牧用地,持分移轉
RPRNMLQJQHPFFEK17DA,雙連潭段,41.52,非都市：山坡地保育區 ; 非都市編定：農牧用地,持分移轉
RPRNMLQJQHPFFEK17DA,雙連潭段,2650.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,全筆移轉
RPRNMLQJQHPFFEK17DA,雙連潭段,2550.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,全筆移轉
RPRNMLQJQHPFFEK17DA,雙連潭段,2550.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,全筆移轉
RPRNMLQJQHPFFEK17DA,雙連潭段,2650.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,全筆移轉
RPOOMLPJQHPFFDK76DA,龍山段,51.59,都市：其他,全筆移轉
RPOOMLPJQHPFFDK76DA,龍山段,21.18,都市：其他,持分移轉
RPVNMLSKQHPFFFK97DA,濫坑段,800.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,持分移轉
RPVNMLSKQHPFFFK97DA,濫坑段,1663.50,非都市：山坡地保育區 ; 非都市編定：林業用地,持分移轉
RPVNMLSKQHPFFFK97DA,濫坑段,20286.50,非都市：山坡地保育區 ; 非都市編定：林業用地,持分移轉
RPVNMLSKQHPFFFK97DA,濫坑段,186.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,持分移轉
RPQNMLTKQHPFFDK37DA,淡文湖段,20.11,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPSNMLSKQHPFFDK47DA,,26.74,都市：住,持分移轉
RPRNMLKLQHPFFFK86DA,興隆段上埔小段,238.00,都市：其他,全筆移轉
RPTNMLSKQHPFFDK57DA,大同段,37.00,都市：其他,持分移轉
RPQNMLTKQHPFFFK57DA,和平段,7.36,都市：其他,持分移轉
RPWNMLTKQHPFFFK18DA,仁愛段,33.19,都市：其他,持分移轉
RPUNMLTKQHPFFFK97DA,六合段,20.44,都市：其他,持分移轉
RPQNMLPKPHPFFFK07DA,四灣段,1257.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,全筆移轉
RPXNMLTLOHPFFFK18DA,自強段,.03,都市：其他,持分移轉
RPXNMLTLOHPFFFK18DA,自強段,.02,都市：其他,持分移轉
RPXNMLTLOHPFFFK18DA,自強段,.02,都市：其他,持分移轉
RPXNMLTLOHPFFFK18DA,自強段,.02,都市：其他,持分移轉
RPXNMLTLOHPFFFK18DA,自強段,.83,都市：其他,持分移轉
RPXNMLTLOHPFFFK18DA,自強段,.04,都市：其他,持分移轉
RPXNMLTLOHPFFFK18DA,自強段,1.00,都市：其他,持分移轉
RPXNMLTLOHPFFFK18DA,自強段,1.11,都市：其他,持分移轉
RPOOMLRKQHPFFFK27DA,後湖段,23.93,都市：其他,持分移轉
RPOOMLRKQHPFFFK27DA,後湖段,.93,都市：其他,持分移轉
RPRNMLKKQHPFFFK76DA,光華段,15.79,都市：其他,持分移轉
