編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPXNMLTKQHPFFAM97DA,茄苳腳段,62.03,非都市：鄉村區 ; 非都市編定：乙種建築用地,持分移轉
RPXNMLTKQHPFFAM97DA,茄苳腳段,62.03,非都市：鄉村區 ; 非都市編定：乙種建築用地,持分移轉
RPXNMLTKQHPFFAM97DA,茄苳腳段,.03,都市：其他,持分移轉
RPXNMLTKQHPFFAM97DA,茄苳腳段,.03,都市：其他,持分移轉
RPXNMLTKQHPFFAM97DA,茄苳腳段,38.02,都市：其他,持分移轉
RPXNMLTKQHPFFAM97DA,茄苳腳段,38.02,都市：其他,持分移轉
RPXNMLTKQHPFFAM97DA,茄苳腳段,.01,都市：其他,持分移轉
RPXNMLTKQHPFFAM97DA,茄苳腳段,.01,都市：其他,持分移轉
RPXNMLTKQHPFFAM97DA,茄苳腳段,12.00,都市：其他,持分移轉
RPXNMLTKQHPFFAM97DA,茄苳腳段,12.00,都市：其他,持分移轉
RPXNMLTKQHPFFAM97DA,茄苳腳段,16.00,都市：其他,持分移轉
RPXNMLTKQHPFFAM97DA,茄苳腳段,16.00,都市：其他,持分移轉
RPXNMLTKQHPFFAM97DA,茄苳腳段,7.50,都市：其他,持分移轉
RPXNMLTKQHPFFAM97DA,茄苳腳段,7.50,都市：其他,持分移轉
RPXNMLTKQHPFFAM97DA,茄苳腳段,10.50,非都市：特定農業區 ; 非都市編定：農牧用地,持分移轉
RPXNMLTKQHPFFAM97DA,茄苳腳段,10.50,非都市：特定農業區 ; 非都市編定：農牧用地,持分移轉
RPOOMLTKQHPFFAM17DA,包尾段,22.00,都市：其他,持分移轉
RPQNMLSKQHPFFAM17DA,後寮段,1233.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,持分移轉
RPSNMLLKQHPFFAM66DA,牛運堀段,129.00,都市：其他,全筆移轉
RPRNMLMLPHPFFAM66DA,大崗段,83.00,非都市：工業區 ; 非都市編定：丁種建築用地,全筆移轉
