編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPXNMLOKQHPFFAN57DA,富山段,107.32,非都市：山坡地保育區 ; 非都市編定：林業用地,持分移轉
RPTNMLTKQHPFFAN67DA,竹林段,2274.47,都市：其他,全筆移轉
RPPNMLKLQHPFFAN09DA,西門口段,10.86,都市：其他,持分移轉
RPRNMLSKQHPFFDN67DA,惠農段,1117.98,都市：其他,持分移轉
RPRNMLSKQHPFFDN67DA,惠農段,1117.98,都市：其他,持分移轉
RPSNMLKKQHPFFAN66DA,南興段,53.11,都市：其他,持分移轉
RPTNMLSKQHPFFAN57DA,西興段,280.00,非都市：特定農業區 ; 非都市編定：農牧用地,全筆移轉
RPOPMLTKQHPFFAN37DA,香山段,96.62,非都市：特定農業區 ; 非都市編定：甲種建築用地,全筆移轉
RPQOMLRKQHPFFAN27DA,西勢子段過溝子小段,29.00,都市：其他,持分移轉
RPQOMLRKQHPFFAN27DA,西勢子段過溝子小段,29.00,都市：其他,持分移轉
RPXNMLNKPHPFFAN37DA,民權段,1.84,都市：其他,持分移轉
RPUNMLSKQHPFFDN97DA,益民段,55.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,全筆移轉
RPQNMLSKQHPFFBN37DA,伸股段,146.70,都市：其他,全筆移轉
RPTNMLRKQHPFFGN08DA,建平段,2973.58,非都市：一般農業區 ; 非都市編定：農牧用地,全筆移轉
RPQNMLQJQHPFFDN27DA,員林段,22.77,都市：其他,持分移轉
RPVNMLTKQHPFFAN87DA,民族段,70.58,都市：其他,全筆移轉
RPVNMLTKQHPFFAN87DA,民族段,30.97,都市：其他,全筆移轉
RPPNMLKMPHPFFEN86DA,仁美段,90.78,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPPNMLKMPHPFFEN86DA,仁美段,20.81,非都市：鄉村區 ; 非都市編定：乙種建築用地,持分移轉
RPTNMLLKQHPFFGN47DA,儒生段,58.64,都市：其他,全筆移轉
RPTNMLLKQHPFFGN47DA,儒生段,42.44,都市：其他,全筆移轉
RPTNMLLKQHPFFGN47DA,儒生段,6.43,都市：其他,全筆移轉
RPRNMLSKQHPFFFN87DA,中圳段,96.35,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPTNMLTKQHPFFGN28DA,新田段,833.20,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPVNMLSKQHPFFGN38DA,大永段,287.26,非都市：特定農業區 ; 非都市編定：農牧用地,全筆移轉
RPVNMLSKQHPFFGN38DA,大永段,583.09,非都市：特定農業區 ; 非都市編定：農牧用地,全筆移轉
RPTNMLSKQHPFFGN18DA,東城段,21.96,都市：其他,全筆移轉
RPTNMLSKQHPFFGN18DA,東城段,87.49,都市：其他,全筆移轉
RPXNMLTKQHPFFHN78DA,頂庄段,1098.00,非都市：特定農業區 ; 非都市編定：農牧用地,全筆移轉
RPOOMLTKQHPFFHN97DA,中興段,864.00,非都市：特定農業區 ; 非都市編定：農牧用地,全筆移轉
RPQNMLPJQHPFFHN57DA,湖北段,738.37,非都市：特定農業區 ; 非都市編定：甲種建築用地,全筆移轉
RPQNMLPJQHPFFHN57DA,湖北段,74.16,非都市：特定農業區 ; 非都市編定：甲種建築用地,全筆移轉
RPQNMLPJQHPFFHN57DA,湖北段,556.17,非都市：特定農業區 ; 非都市編定：甲種建築用地,全筆移轉
RPQNMLSKQHPFFAN37EA,秀中段,163.32,非都市： ; 非都市編定：,全筆移轉
RPUNMLKKQHPFFGN47DA,儒田段,42.60,都市：其他,持分移轉
RPUNMLKKQHPFFGN47DA,儒田段,177.49,都市：其他,持分移轉
RPUNMLKKQHPFFGN47DA,儒田段,177.49,都市：其他,持分移轉
RPUNMLKKQHPFFGN47DA,儒田段,42.60,都市：其他,持分移轉
RPUNMLKKQHPFFGN47DA,儒田段,71.00,都市：其他,持分移轉
RPUNMLKKQHPFFGN47DA,儒田段,142.00,都市：其他,持分移轉
RPUNMLKKQHPFFGN47DA,儒田段,177.49,都市：其他,持分移轉
RPUNMLKKQHPFFGN47DA,儒田段,142.00,都市：其他,持分移轉
RPUNMLKKQHPFFGN47DA,儒田段,71.00,都市：其他,持分移轉
RPUNMLKKQHPFFGN47DA,儒田段,177.49,都市：其他,持分移轉
RPUNMLKKQHPFFGN47DA,儒田段,71.00,都市：其他,持分移轉
RPUNMLKKQHPFFGN47DA,儒田段,42.60,都市：其他,持分移轉
RPUNMLKKQHPFFGN47DA,儒田段,85.20,都市：其他,持分移轉
RPUNMLKKQHPFFGN47DA,儒田段,33.61,都市：其他,持分移轉
RPUNMLKKQHPFFGN47DA,儒田段,112.02,都市：其他,持分移轉
RPUNMLKKQHPFFGN47DA,儒田段,140.03,都市：其他,持分移轉
RPUNMLKKQHPFFGN47DA,儒田段,67.21,都市：其他,持分移轉
RPUNMLKKQHPFFGN47DA,儒田段,56.01,都市：其他,持分移轉
RPUNMLKKQHPFFGN47DA,儒田段,140.03,都市：其他,持分移轉
RPUNMLKKQHPFFGN47DA,儒田段,56.01,都市：其他,持分移轉
RPUNMLKKQHPFFGN47DA,儒田段,140.03,都市：其他,持分移轉
RPUNMLKKQHPFFGN47DA,儒田段,33.61,都市：其他,持分移轉
RPUNMLKKQHPFFGN47DA,儒田段,33.61,都市：其他,持分移轉
RPUNMLKKQHPFFGN47DA,儒田段,112.02,都市：其他,持分移轉
RPUNMLKKQHPFFGN47DA,儒田段,56.01,都市：其他,持分移轉
RPUNMLKKQHPFFGN47DA,儒田段,140.03,都市：其他,持分移轉
RPUNMLKKQHPFFGN47DA,儒田段,6.50,都市：其他,持分移轉
RPUNMLKKQHPFFGN47DA,儒田段,10.83,都市：其他,持分移轉
RPUNMLKKQHPFFGN47DA,儒田段,27.07,都市：其他,持分移轉
RPUNMLKKQHPFFGN47DA,儒田段,10.83,都市：其他,持分移轉
RPUNMLKKQHPFFGN47DA,儒田段,27.07,都市：其他,持分移轉
RPUNMLKKQHPFFGN47DA,儒田段,12.99,都市：其他,持分移轉
RPUNMLKKQHPFFGN47DA,儒田段,10.83,都市：其他,持分移轉
RPUNMLKKQHPFFGN47DA,儒田段,27.07,都市：其他,持分移轉
RPUNMLKKQHPFFGN47DA,儒田段,21.66,都市：其他,持分移轉
RPUNMLKKQHPFFGN47DA,儒田段,27.07,都市：其他,持分移轉
RPUNMLKKQHPFFGN47DA,儒田段,21.66,都市：其他,持分移轉
RPUNMLKKQHPFFGN47DA,儒田段,6.50,都市：其他,持分移轉
RPUNMLKKQHPFFGN47DA,儒田段,6.50,都市：其他,持分移轉
RPUNMLKKQHPFFGN47DA,儒田段,7.76,都市：其他,持分移轉
RPUNMLKKQHPFFGN47DA,儒田段,15.52,都市：其他,持分移轉
RPUNMLKKQHPFFGN47DA,儒田段,12.93,都市：其他,持分移轉
RPUNMLKKQHPFFGN47DA,儒田段,32.33,都市：其他,持分移轉
RPUNMLKKQHPFFGN47DA,儒田段,7.76,都市：其他,持分移轉
RPUNMLKKQHPFFGN47DA,儒田段,7.76,都市：其他,持分移轉
RPUNMLKKQHPFFGN47DA,儒田段,25.86,都市：其他,持分移轉
RPUNMLKKQHPFFGN47DA,儒田段,12.93,都市：其他,持分移轉
RPUNMLKKQHPFFGN47DA,儒田段,32.33,都市：其他,持分移轉
RPUNMLKKQHPFFGN47DA,儒田段,32.33,都市：其他,持分移轉
RPUNMLKKQHPFFGN47DA,儒田段,25.86,都市：其他,持分移轉
RPUNMLKKQHPFFGN47DA,儒田段,12.93,都市：其他,持分移轉
RPUNMLKKQHPFFGN47DA,儒田段,32.33,都市：其他,持分移轉
RPUNMLKKQHPFFGN47DA,儒田段,2.10,都市：其他,持分移轉
