編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPUNMLNLPHPFFCN47CC,秀安段,1981.00,非都市：特定農業區 ; 非都市編定：農牧用地,全筆移轉
RPWNMLLMPHPFFAN37CC,三民段,118.00,都市：商,全筆移轉
RPXOMLMLPHPFFAN57CC,莿桐段,115.00,都市：工,全筆移轉
RPUNMLSLPHPFFBN87CC,和東段,74.00,都市：住,全筆移轉
RPUOMLLMPHPFFDN67DC,和平段,127.92,都市：商,全筆移轉
RPRNMLLLPHPFFHN47CC,光平段,85.00,都市：商,全筆移轉
RPXNMLNLPHPFFAN57CC,牛稠子段下小段,.00,都市：住,全筆移轉
RPXNMLNLPHPFFAN57CC,牛稠子段下小段,.00,都市：住,全筆移轉
RPXNMLNLPHPFFAN57CC,牛稠子段下小段,.00,都市：住,全筆移轉
