編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPVPMLKMPHPFFAO37DA,,.01,見其他登記事項,鋼筋混凝土造,109年5月12日,二十一層,一層
RPVPMLKMPHPFFAO37DA,,41.01,見其他登記事項,鋼筋混凝土造,109年5月12日,二十一層,四層
RPVPMLKMPHPFFAO37DA,,43.20,共有部分,鋼筋混凝土造,109年5月12日,二十一層,
RPVPMLKMPHPFFAO37DA,,24.13,共有部分,鋼筋混凝土造,109年5月12日,二十一層,
RPTPMLKMPHPFFAO17DA,,.01,見其他登記事項,鋼筋混凝土造,109年5月12日,二十一層,一層
RPTPMLKMPHPFFAO17DA,,40.59,見其他登記事項,鋼筋混凝土造,109年5月12日,二十一層,二十一層
RPTPMLKMPHPFFAO17DA,,43.20,共有部分,鋼筋混凝土造,109年5月12日,二十一層,
RPTPMLKMPHPFFAO17DA,,23.91,共有部分,鋼筋混凝土造,109年5月12日,二十一層,
RPQPMLKMPHPFFAO86DA,,.01,見其他登記事項,鋼筋混凝土造,109年5月12日,二十一層,一層
RPQPMLKMPHPFFAO86DA,,40.59,見其他登記事項,鋼筋混凝土造,109年5月12日,二十一層,十四層
RPQPMLKMPHPFFAO86DA,,43.20,共有部分,鋼筋混凝土造,109年5月12日,二十一層,
RPQPMLKMPHPFFAO86DA,,23.91,共有部分,鋼筋混凝土造,109年5月12日,二十一層,
RPUOMLKMPHPFFAO17DA,,.01,見其他登記事項,鋼筋混凝土造,109年5月12日,二十一層,一層
RPUOMLKMPHPFFAO17DA,,40.59,見其他登記事項,鋼筋混凝土造,109年5月12日,二十一層,三層
RPUOMLKMPHPFFAO17DA,,43.20,共有部分,鋼筋混凝土造,109年5月12日,二十一層,
RPUOMLKMPHPFFAO17DA,,23.91,共有部分,鋼筋混凝土造,109年5月12日,二十一層,
RPXOMLKMPHPFFAO47DA,,.01,見其他登記事項,鋼筋混凝土造,109年5月12日,二十一層,一層
RPXOMLKMPHPFFAO47DA,,40.59,見其他登記事項,鋼筋混凝土造,109年5月12日,二十一層,十二層
RPXOMLKMPHPFFAO47DA,,43.20,共有部分,鋼筋混凝土造,109年5月12日,二十一層,
RPXOMLKMPHPFFAO47DA,,23.91,共有部分,鋼筋混凝土造,109年5月12日,二十一層,
RPVOMLKMPHPFFAO27DA,,.01,見其他登記事項,鋼筋混凝土造,109年5月12日,二十一層,一層
RPVOMLKMPHPFFAO27DA,,40.59,見其他登記事項,鋼筋混凝土造,109年5月12日,二十一層,四層
RPVOMLKMPHPFFAO27DA,,43.20,共有部分,鋼筋混凝土造,109年5月12日,二十一層,
RPVOMLKMPHPFFAO27DA,,23.85,共有部分,鋼筋混凝土造,109年5月12日,二十一層,
RPPPMLKMPHPFFAO76DA,,.01,見其他登記事項,鋼筋混凝土造,109年5月12日,二十一層,一層
RPPPMLKMPHPFFAO76DA,,40.59,見其他登記事項,鋼筋混凝土造,109年5月12日,二十一層,十三層
RPPPMLKMPHPFFAO76DA,,43.20,共有部分,鋼筋混凝土造,109年5月12日,二十一層,
RPPPMLKMPHPFFAO76DA,,23.91,共有部分,鋼筋混凝土造,109年5月12日,二十一層,
RPWOMLKMPHPFFAO37DA,,.01,見其他登記事項,鋼筋混凝土造,109年5月12日,二十一層,一層
RPWOMLKMPHPFFAO37DA,,40.59,見其他登記事項,鋼筋混凝土造,109年5月12日,二十一層,五層
RPWOMLKMPHPFFAO37DA,,43.20,共有部分,鋼筋混凝土造,109年5月12日,二十一層,
RPWOMLKMPHPFFAO37DA,,23.91,共有部分,鋼筋混凝土造,109年5月12日,二十一層,
RPSPMLKMPHPFFAO07DA,,.01,見其他登記事項,鋼筋混凝土造,109年5月12日,二十一層,一層
RPSPMLKMPHPFFAO07DA,,40.59,見其他登記事項,鋼筋混凝土造,109年5月12日,二十一層,二十層
RPSPMLKMPHPFFAO07DA,,43.20,共有部分,鋼筋混凝土造,109年5月12日,二十一層,
RPSPMLKMPHPFFAO07DA,,23.91,共有部分,鋼筋混凝土造,109年5月12日,二十一層,
RPRPMLKMPHPFFAO96DA,,.01,見其他登記事項,鋼筋混凝土造,109年5月12日,二十一層,一層
RPRPMLKMPHPFFAO96DA,,40.59,見其他登記事項,鋼筋混凝土造,109年5月12日,二十一層,十五層
RPRPMLKMPHPFFAO96DA,,43.20,共有部分,鋼筋混凝土造,109年5月12日,二十一層,
RPRPMLKMPHPFFAO96DA,,23.91,共有部分,鋼筋混凝土造,109年5月12日,二十一層,
RPPQMLKMPHPFFAO86DA,,.01,見其他登記事項,鋼筋混凝土造,109年5月12日,二十一層,一層
RPPQMLKMPHPFFAO86DA,,41.01,見其他登記事項,鋼筋混凝土造,109年5月12日,二十一層,十九層
RPPQMLKMPHPFFAO86DA,,43.20,共有部分,鋼筋混凝土造,109年5月12日,二十一層,
RPPQMLKMPHPFFAO86DA,,24.13,共有部分,鋼筋混凝土造,109年5月12日,二十一層,
RPXPMLKMPHPFFAO57DA,,.01,見其他登記事項,鋼筋混凝土造,109年5月12日,二十一層,一層
RPXPMLKMPHPFFAO57DA,,41.01,見其他登記事項,鋼筋混凝土造,109年5月12日,二十一層,六層
RPXPMLKMPHPFFAO57DA,,43.20,共有部分,鋼筋混凝土造,109年5月12日,二十一層,
RPXPMLKMPHPFFAO57DA,,24.13,共有部分,鋼筋混凝土造,109年5月12日,二十一層,
RPOQMLKMPHPFFAO76DA,,.01,見其他登記事項,鋼筋混凝土造,109年5月12日,二十一層,一層
RPOQMLKMPHPFFAO76DA,,41.01,見其他登記事項,鋼筋混凝土造,109年5月12日,二十一層,十層
RPOQMLKMPHPFFAO76DA,,43.20,共有部分,鋼筋混凝土造,109年5月12日,二十一層,
RPOQMLKMPHPFFAO76DA,,24.13,共有部分,鋼筋混凝土造,109年5月12日,二十一層,
RPWPMLKMPHPFFAO47DA,,.01,見其他登記事項,鋼筋混凝土造,109年5月12日,二十一層,一層
RPWPMLKMPHPFFAO47DA,,41.01,見其他登記事項,鋼筋混凝土造,109年5月12日,二十一層,五層
RPWPMLKMPHPFFAO47DA,,43.20,共有部分,鋼筋混凝土造,109年5月12日,二十一層,
RPWPMLKMPHPFFAO47DA,,24.13,共有部分,鋼筋混凝土造,109年5月12日,二十一層,
RPQQMLKMPHPFFAO96DA,,.01,見其他登記事項,鋼筋混凝土造,109年5月12日,二十一層,一層
RPQQMLKMPHPFFAO96DA,,41.01,見其他登記事項,鋼筋混凝土造,109年5月12日,二十一層,二十層
RPQQMLKMPHPFFAO96DA,,43.20,共有部分,鋼筋混凝土造,109年5月12日,二十一層,
RPQQMLKMPHPFFAO96DA,,24.13,共有部分,鋼筋混凝土造,109年5月12日,二十一層,
RPSQMLKMPHPFFAO17DA,,.01,見其他登記事項,鋼筋混凝土造,109年5月12日,二十一層,一層
RPSQMLKMPHPFFAO17DA,,41.01,見其他登記事項,鋼筋混凝土造,109年5月12日,二十一層,四層
RPSQMLKMPHPFFAO17DA,,43.20,共有部分,鋼筋混凝土造,109年5月12日,二十一層,
RPSQMLKMPHPFFAO17DA,,24.13,共有部分,鋼筋混凝土造,109年5月12日,二十一層,
RPRQMLKMPHPFFAO07DA,,.01,見其他登記事項,鋼筋混凝土造,109年5月12日,二十一層,一層
RPRQMLKMPHPFFAO07DA,,41.01,見其他登記事項,鋼筋混凝土造,109年5月12日,二十一層,三層
RPRQMLKMPHPFFAO07DA,,43.20,共有部分,鋼筋混凝土造,109年5月12日,二十一層,
RPRQMLKMPHPFFAO07DA,,24.18,共有部分,鋼筋混凝土造,109年5月12日,二十一層,
RPVQMLKMPHPFFAO47DA,,.01,見其他登記事項,鋼筋混凝土造,109年5月12日,二十一層,一層
RPVQMLKMPHPFFAO47DA,,41.01,見其他登記事項,鋼筋混凝土造,109年5月12日,二十一層,九層
RPVQMLKMPHPFFAO47DA,,43.20,共有部分,鋼筋混凝土造,109年5月12日,二十一層,
RPVQMLKMPHPFFAO47DA,,24.13,共有部分,鋼筋混凝土造,109年5月12日,二十一層,
RPWQMLKMPHPFFAO57DA,,.01,見其他登記事項,鋼筋混凝土造,109年5月12日,二十一層,一層
RPWQMLKMPHPFFAO57DA,,41.01,見其他登記事項,鋼筋混凝土造,109年5月12日,二十一層,十層
RPWQMLKMPHPFFAO57DA,,43.20,共有部分,鋼筋混凝土造,109年5月12日,二十一層,
RPWQMLKMPHPFFAO57DA,,24.13,共有部分,鋼筋混凝土造,109年5月12日,二十一層,
RPTQMLKMPHPFFAO27DA,,.01,見其他登記事項,鋼筋混凝土造,109年5月12日,二十一層,一層
RPTQMLKMPHPFFAO27DA,,41.01,見其他登記事項,鋼筋混凝土造,109年5月12日,二十一層,六層
RPTQMLKMPHPFFAO27DA,,43.20,共有部分,鋼筋混凝土造,109年5月12日,二十一層,
RPTQMLKMPHPFFAO27DA,,24.13,共有部分,鋼筋混凝土造,109年5月12日,二十一層,
RPQRMLKMPHPFFAO07DA,,41.01,見其他登記事項,鋼筋混凝土造,109年5月12日,二十一層,二十一層
RPQRMLKMPHPFFAO07DA,,24.13,共有部分,鋼筋混凝土造,109年5月12日,二十一層,
RPPRMLKMPHPFFAO96DA,,.01,見其他登記事項,鋼筋混凝土造,109年5月12日,二十一層,一層
RPPRMLKMPHPFFAO96DA,,41.01,見其他登記事項,鋼筋混凝土造,109年5月12日,二十一層,二十層
RPPRMLKMPHPFFAO96DA,,43.20,共有部分,鋼筋混凝土造,109年5月12日,二十一層,
RPPRMLKMPHPFFAO96DA,,24.13,共有部分,鋼筋混凝土造,109年5月12日,二十一層,
RPRRMLKMPHPFFAO17DA,,.01,見其他登記事項,鋼筋混凝土造,109年5月12日,二十一層,一層
RPRRMLKMPHPFFAO17DA,,40.50,見其他登記事項,鋼筋混凝土造,109年5月12日,二十一層,四層
RPRRMLKMPHPFFAO17DA,,43.20,共有部分,鋼筋混凝土造,109年5月12日,二十一層,
RPRRMLKMPHPFFAO17DA,,23.85,共有部分,鋼筋混凝土造,109年5月12日,二十一層,
RPXQMLKMPHPFFAO67DA,,.01,見其他登記事項,鋼筋混凝土造,109年5月12日,二十一層,一層
RPXQMLKMPHPFFAO67DA,,41.01,見其他登記事項,鋼筋混凝土造,109年5月12日,二十一層,十三層
RPXQMLKMPHPFFAO67DA,,43.20,共有部分,鋼筋混凝土造,109年5月12日,二十一層,
RPXQMLKMPHPFFAO67DA,,24.13,共有部分,鋼筋混凝土造,109年5月12日,二十一層,
RPSRMLKMPHPFFAO27DA,,.01,見其他登記事項,鋼筋混凝土造,109年5月12日,二十一層,一層
RPSRMLKMPHPFFAO27DA,,40.50,見其他登記事項,鋼筋混凝土造,109年5月12日,二十一層,五層
RPSRMLKMPHPFFAO27DA,,43.20,共有部分,鋼筋混凝土造,109年5月12日,二十一層,
RPSRMLKMPHPFFAO27DA,,23.85,共有部分,鋼筋混凝土造,109年5月12日,二十一層,
RPTRMLKMPHPFFAO37DA,,.01,見其他登記事項,鋼筋混凝土造,109年5月12日,二十一層,一層
RPTRMLKMPHPFFAO37DA,,40.50,見其他登記事項,鋼筋混凝土造,109年5月12日,二十一層,七層
RPTRMLKMPHPFFAO37DA,,43.20,共有部分,鋼筋混凝土造,109年5月12日,二十一層,
RPTRMLKMPHPFFAO37DA,,23.85,共有部分,鋼筋混凝土造,109年5月12日,二十一層,
RPURMLKMPHPFFAO47DA,,.01,見其他登記事項,鋼筋混凝土造,109年5月12日,二十一層,一層
RPURMLKMPHPFFAO47DA,,40.50,見其他登記事項,鋼筋混凝土造,109年5月12日,二十一層,八層
RPURMLKMPHPFFAO47DA,,43.20,共有部分,鋼筋混凝土造,109年5月12日,二十一層,
RPURMLKMPHPFFAO47DA,,23.85,共有部分,鋼筋混凝土造,109年5月12日,二十一層,
RPOVMLKKPHPFFAO07DA,28,78.41,住家用,鋼筋混凝土造,81年6月3日,五層,五層
RPOVMLKKPHPFFAO07DA,28,19.55,共有部分,鋼筋混凝土造,81年6月3日,五層,
RPPRMLQJQHPFFAO37DA,,51.01,見其他登記事項,鋼筋混凝土造,109年6月9日,十四層,十層
RPPRMLQJQHPFFAO37DA,,11.89,共有部分,鋼筋混凝土造,109年6月9日,十四層,
RPPRMLQJQHPFFAO37DA,,7.10,共有部分,鋼筋混凝土造,109年6月9日,十四層,
RPPRMLOKQHPFFAO27DA,2,25.24,共有部分,鋼筋混凝土造,107年4月3日,十四層,
RPPQMLQJQHPFFAO27DA,1,62.45,見其他登記事項,鋼筋混凝土造,108年10月22日,十層,八層
RPPQMLQJQHPFFAO27DA,1,12.81,共有部分,鋼筋混凝土造,108年10月22日,十層,
RPPQMLQJQHPFFAO27DA,1,46.93,共有部分,鋼筋混凝土造,108年10月22日,十層,
RPPTMLOJQHPFFAO37DA,,.01,見其他登記事項,鋼筋混凝土造,109年5月12日,二十一層,一層
RPPTMLOJQHPFFAO37DA,,40.59,見其他登記事項,鋼筋混凝土造,109年5月12日,二十一層,十八層
RPPTMLOJQHPFFAO37DA,,43.20,共有部分,鋼筋混凝土造,109年5月12日,二十一層,
RPPTMLOJQHPFFAO37DA,,23.91,共有部分,鋼筋混凝土造,109年5月12日,二十一層,
RPTUMLKKQHPFFAO57DA,11,.02,見其他登記事項,鋼筋混凝土造,98年6月1日,十五層,一層
RPTUMLKKQHPFFAO57DA,11,.00,見其他登記事項,鋼筋混凝土造,98年6月1日,十五層,
RPTUMLKKQHPFFAO57DA,11,19.96,見其他登記事項,鋼筋混凝土造,98年6月1日,十五層,
RPSQMLOKQHPFFAO47DA,6,22.61,見其他登記事項,鋼筋混凝土造,103年10月20日,十一層,十層
RPSQMLOKQHPFFAO47DA,6,28.28,共有部分,鋼筋混凝土造,103年10月20日,十一層,
RPPNMLQKQHPFFAO07DA,26,97.65,住家用,鋼筋混凝土造,83年10月17日,五層,三層
RPPNMLQKQHPFFAO07DA,,41.28,共有部分,鋼筋混凝土造,0年0月0日,五層,
RPTRMLOKQHPFFAO67DA,22,3.30,住商用,鋼筋混凝土造,88年1月21日,十四層,一層
RPTRMLOKQHPFFAO67DA,22,81.25,住家用,鋼筋混凝土造,88年1月21日,十四層,十四層
RPTRMLOKQHPFFAO67DA,22,.27,住商用,鋼筋混凝土造,88年1月21日,十四層,一層
RPTRMLOKQHPFFAO67DA,22,.11,見其他登記事項,鋼筋混凝土造,88年1月21日,十四層,地下三層
RPTRMLOKQHPFFAO67DA,22,11.78,共有部分,鋼筋混凝土造,88年1月21日,十四層,
RPTRMLOKQHPFFAO67DA,22,.00,共有部分,鋼筋混凝土造,88年1月21日,十四層,
RPTRMLOKQHPFFAO67DA,22,.00,共有部分,鋼筋混凝土造,88年1月21日,十四層,
