編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPVPMLKMPHPFFAO37DA,光武段,9.81,都市：其他,持分移轉
RPTPMLKMPHPFFAO17DA,光武段,9.71,都市：其他,持分移轉
RPQPMLKMPHPFFAO86DA,光武段,9.71,都市：其他,持分移轉
RPUOMLKMPHPFFAO17DA,光武段,9.71,都市：其他,持分移轉
RPXOMLKMPHPFFAO47DA,光武段,9.71,都市：其他,持分移轉
RPVOMLKMPHPFFAO27DA,光武段,9.71,都市：其他,持分移轉
RPPPMLKMPHPFFAO76DA,光武段,9.71,都市：其他,持分移轉
RPWOMLKMPHPFFAO37DA,光武段,9.71,都市：其他,持分移轉
RPSPMLKMPHPFFAO07DA,光武段,9.71,都市：其他,持分移轉
RPRPMLKMPHPFFAO96DA,光武段,9.71,都市：其他,持分移轉
RPPQMLKMPHPFFAO86DA,光武段,9.81,都市：其他,持分移轉
RPXPMLKMPHPFFAO57DA,光武段,9.81,都市：其他,持分移轉
RPOQMLKMPHPFFAO76DA,光武段,9.81,都市：其他,持分移轉
RPWPMLKMPHPFFAO47DA,光武段,9.81,都市：其他,持分移轉
RPQQMLKMPHPFFAO96DA,光武段,9.81,都市：其他,持分移轉
RPSQMLKMPHPFFAO17DA,光武段,9.81,都市：其他,持分移轉
RPRQMLKMPHPFFAO07DA,光武段,9.81,都市：其他,持分移轉
RPVQMLKMPHPFFAO47DA,光武段,9.81,都市：其他,持分移轉
RPWQMLKMPHPFFAO57DA,光武段,9.81,都市：其他,持分移轉
RPTQMLKMPHPFFAO27DA,光武段,9.81,都市：其他,持分移轉
RPQRMLKMPHPFFAO07DA,光武段,9.71,都市：其他,持分移轉
RPPRMLKMPHPFFAO96DA,光武段,9.81,都市：其他,持分移轉
RPRRMLKMPHPFFAO17DA,光武段,9.71,都市：其他,持分移轉
RPXQMLKMPHPFFAO67DA,光武段,9.81,都市：其他,持分移轉
RPSRMLKMPHPFFAO27DA,光武段,9.71,都市：其他,持分移轉
RPTRMLKMPHPFFAO37DA,光武段,9.71,都市：其他,持分移轉
RPURMLKMPHPFFAO47DA,光武段,9.71,都市：其他,持分移轉
RPOVMLKKPHPFFAO07DA,新興段一小段,21.71,都市：其他,持分移轉
RPOVMLKKPHPFFAO07DA,新興段一小段,3.25,都市：其他,持分移轉
RPXOMLOKQHPFFAO77DA,中寮段,30.84,都市：其他,持分移轉
RPXOMLOKQHPFFAO77DA,中寮段,17.46,都市：其他,持分移轉
RPPOMLOKQHPFFAO96DA,民主段一小段,94.24,都市：其他,持分移轉
RPPRMLQJQHPFFAO37DA,南華段,12.70,都市：其他,持分移轉
RPPRMLOKQHPFFAO27DA,自由段,4.67,都市：其他,持分移轉
RPPQMLQJQHPFFAO27DA,金雅段,24.06,非都市：鄉村區 ; 非都市編定：乙種建築用地,持分移轉
RPPTMLOJQHPFFAO37DA,光武段,9.71,都市：其他,持分移轉
RPTUMLKKQHPFFAO57DA,長春段,.68,都市：其他,持分移轉
RPTUMLKKQHPFFAO57DA,長春段,.00,都市：其他,持分移轉
RPTUMLKKQHPFFAO57DA,長春段,.00,都市：其他,持分移轉
RPSQMLOKQHPFFAO47DA,東明段,8.12,都市：其他,持分移轉
RPPNMLQKQHPFFAO07DA,光華段,29.70,都市：其他,持分移轉
RPTRMLOKQHPFFAO67DA,東橋段,.80,都市：其他,持分移轉
RPTRMLOKQHPFFAO67DA,東橋段,12.51,都市：其他,持分移轉
RPTRMLOKQHPFFAO67DA,東橋段,2.06,都市：其他,持分移轉
RPVNMLRKQHPFFAO77DA,南華段,13.35,都市：其他,持分移轉
RPWOMLSKQHPFFAO08DA,西門段一小段,17.96,都市：其他,持分移轉
RPROMLSKQHPFFAO57DA,醫專段,25.59,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,全筆移轉
RPROMLSKQHPFFAO57DA,醫專段,36.81,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,全筆移轉
RPSQMLSKQHPFFAO87DA,金雅段,113.17,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPVOMLRKQHPFFAO87DA,復中段,19.97,都市：其他,持分移轉
RPQNMLTKQHPFFAO57EA,武陵段,48.26,都市：其他,持分移轉
RPWQMLSKQHPFFAO38EA,成德段,.33,都市：其他,全筆移轉
RPVPMLSKQHPFFAO18EA,崙子段,.67,都市：其他,持分移轉
RPVPMLSKQHPFFAO18EA,崙子段,1.50,都市：其他,持分移轉
RPVPMLSKQHPFFAO18EA,崙子段,2.17,都市：其他,持分移轉
RPVPMLSKQHPFFAO18EA,崙子段,.83,都市：其他,持分移轉
RPVPMLSKQHPFFAO18EA,崙子段,1.67,都市：其他,持分移轉
RPVPMLSKQHPFFAO18EA,崙子段,1.83,都市：其他,持分移轉
RPVPMLSKQHPFFAO18EA,崙子段,1.83,都市：其他,持分移轉
RPVPMLSKQHPFFAO18EA,崙子段,1.50,都市：其他,持分移轉
RPVPMLSKQHPFFAO18EA,崙子段,1.50,都市：其他,持分移轉
RPOPMLQLQHPFFAO27DA,民主段一小段,12.34,都市：其他,持分移轉
RPOPMLQLQHPFFAO27DA,民主段一小段,1.92,都市：其他,持分移轉
RPSNMLSKQHPFFAO67EA,仙水段,17.05,都市：其他,持分移轉
RPTNMLSKQHPFFAO77EA,復中段,3.61,都市：其他,持分移轉
RPTNMLSKQHPFFAO77EA,復中段,4.96,都市：其他,持分移轉
RPTOMLOKQHPFFAO37DA,自由段,19.78,都市：其他,持分移轉
RPTOMLOKQHPFFAO37DA,自由段,2.05,都市：其他,持分移轉
RPSPMLSKQHPFFAO77DA,國道段,17.82,都市：其他,持分移轉
RPPQMLSKQHPFFAO57DA,虎山段,78.32,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPROMLRJQHPFFAO37DA,武陵段,46.75,都市：其他,持分移轉
RPXSMLRLPHPFFAO48DA,長春段,32.53,都市：其他,持分移轉
RPUOMLLLPHPFFAO17DA,竹蓮段,23.51,都市：其他,持分移轉
RPOQMLSKQHPFFAO47DA,國道段,94.27,都市：其他,全筆移轉
RPOQMLSKQHPFFAO47DA,國道段,1525.00,都市：其他,全筆移轉
RPOQMLSKQHPFFAO47DA,國道段,65.15,都市：其他,全筆移轉
RPOQMLSKQHPFFAO47DA,國道段,169.72,都市：其他,全筆移轉
RPOQMLSKQHPFFAO47DA,國道段,77.54,都市：其他,全筆移轉
