鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
新竹市,建物,新竹市新竹市警光路31~60號,0.0,住,,,1090703,土地0建物1車位0,四層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1070705,58.379999999999995,2,1,1,有,無,有,12000,206,,0.0,0,租金含管理費。,RPTOMLNLPHPFFAO37CC
新竹市,建物,新竹市新竹市凌雲街1~30號,0.0,住,,,1090704,土地0建物1車位1,十三層,13,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0980331,182.17000000000002,3,2,2,有,有,有,15000,82,坡道平面,0.0,0,車位面積無法分算。,RPOQNLNLPHPFFAO17CC
新竹市,房地(土地+建物),新竹市新竹市內湖里中華路六段號,144.61,,山坡地保育區,丙種建築用地,1090710,土地1建物1車位0,全,1,透天厝,,加強磚造,,70.04,4,2,1,有,無,有,9000,128,,0.0,0,,RPQPMLOLPHPFFAO27CC
新竹市,建物,新竹市新竹市光復路一段623巷1~30號,0.0,住,,,1090707,土地0建物0車位0,二層,3,套房(1房1廳1衛),住商用,鋼筋混凝土造,0760619,11.88,1,0,1,有,無,有,4500,379,,0.0,0,部分承租。租金含水費。,RPQSMLOLPHPFFAO57CC
新竹市,建物,新竹市新竹市建中一路1~30號,0.0,其他,,,1090710,土地0建物1車位0,三層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0870410,130.97,3,2,2,有,有,有,15000,115,,0.0,0,,RPPOMLSLPHPFFAO47CC
新竹市,建物,新竹市新竹市建功一路51巷1~30號,0.0,住,,,1090712,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730523,75.9,3,2,2,有,無,有,11500,152,,0.0,0,,RPVRMLSLPHPFFAO38CC
新竹市,建物,新竹市新竹市經國路二段91~120號,0.0,住,,,1090727,土地0建物1車位0,七層,12,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0860715,28.6,1,0,1,有,有,有,5500,192,,0.0,0,,RPWTMLSLPHPFFAO68CC
新竹市,建物,新竹市新竹市天府路一段511~540號,0.0,住,,,1090727,土地0建物1車位0,三層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0970520,126.28999999999999,3,2,2,有,有,有,16000,127,,0.0,0,,RPPUMLSLPHPFFAO08CC
新竹市,建物,新竹市新竹市西大路582巷15弄1~30號,0.0,商,,,1090728,土地0建物1車位0,二層,6,套房(1房1廳1衛),住家用,鋼筋混凝土造,0851105,34.62,1,0,1,有,有,有,10000,289,,0.0,0,,RPOPMLTLPHPFFAO57CC
新竹市,建物,新竹市新竹市天府路二段61~90號,0.0,商,,,1090713,土地0建物1車位1,五層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0921220,130.45,3,2,2,有,無,有,12000,92,其他,0.0,0,租金含管理費。車位面積無法分算。,RPXPMLTLPHPFFAO48CC
新竹市,建物,新竹市新竹市東華路1~30號,0.0,住,,,1090728,土地0建物1車位1,二層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1030829,141.32999999999998,2,2,1,有,有,有,19700,153,坡道平面,35.44,3500,,RPWQMLTLPHPFFAO48CC
新竹市,建物,新竹市新竹市中山路211~240號,0.0,商,,,1090716,土地0建物1車位0,十層,10,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0960606,38.269999999999996,1,1,1,有,有,有,11000,287,,0.0,0,含增建或未登記建物。;,RPQONLKMPHPFFAO96CC
新竹市,建物,新竹市新竹市北區武陵路179巷1~30號,0.0,住,,,1090722,土地0建物1車位0,二層,20,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0890501,108.35,2,2,1,有,有,有,14000,129,,0.0,0,,RPXQNLKMPHPFFAO87CC
新竹市,建物,新竹市新竹市東區自由路1~30號,0.0,住,,,1090724,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0900328,144.2,2,2,1,有,有,有,16200,112,,0.0,0,,RPXTNLKMPHPFFAO18CC
