編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPVRMLSLPHPFFAO38CC,光復段,.00,都市：住,全筆移轉
RPTOMLNLPHPFFAO37CC,成德段,.00,都市：住,全筆移轉
RPQSMLOLPHPFFAO57CC,仙水段,.00,都市：住,全筆移轉
RPOPMLTLPHPFFAO57CC,民富段,.00,都市：商,全筆移轉
RPOQNLNLPHPFFAO17CC,崙子段,.00,都市：住,全筆移轉
RPPUMLSLPHPFFAO08CC,西濱段,.00,都市：住,全筆移轉
RPXPMLTLPHPFFAO48CC,南華段,.00,都市：商,全筆移轉
RPPOMLSLPHPFFAO47CC,東明段,.00,都市：其他,全筆移轉
RPQPMLOLPHPFFAO27CC,麗園段,144.61,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,全筆移轉
RPWTMLSLPHPFFAO68CC,北門段,.00,都市：商,全筆移轉
RPWTMLSLPHPFFAO68CC,北門段,.00,都市：住,全筆移轉
RPWQMLTLPHPFFAO48CC,信義段,.00,都市：住,全筆移轉
RPQONLKMPHPFFAO96CC,西門段三小段,.00,都市：商,全筆移轉
RPXQNLKMPHPFFAO87CC,武陵段,.00,都市：住,全筆移轉
RPXTNLKMPHPFFAO18CC,中華段,.00,都市：住,全筆移轉
