鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
斗六市,土地,石牛溪段,76.88,,河川區,水利用地,1090721,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,107641,1400,,0.0,0,,RPROMLOKQHPFFAP27DA,0.0,0.0,0.0,無
斗六市,土地,石牛溪段,53.41,,河川區,農牧用地,1090721,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,80120,1500,,0.0,0,,SPROMLOKQHPFFAP37DA,0.0,0.0,0.0,無
斗六市,土地,石牛溪段,13.57,,河川區,水利用地,1090721,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,20360,1500,,0.0,0,,TPROMLOKQHPFFAP47DA,0.0,0.0,0.0,無
斗六市,土地,石牛溪段1081~1110地號,230.66,,河川區,水利用地,1090721,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,322924,1400,,0.0,0,,RPSOMLOKQHPFFAP37DA,0.0,0.0,0.0,無
斗六市,土地,石牛溪段1081~1110地號,160.24,,河川區,農牧用地,1090721,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,240360,1500,,0.0,0,,SPSOMLOKQHPFFAP47DA,0.0,0.0,0.0,無
斗六市,土地,石牛溪段1081~1110地號,40.72,,河川區,水利用地,1090721,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,61080,1500,,0.0,0,,TPSOMLOKQHPFFAP57DA,0.0,0.0,0.0,無
斗六市,土地,石牛溪段1141~1170地號,864.5,,河川區,農牧用地,1090721,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1296750,1500,,0.0,0,,RPTOMLOKQHPFFAP47DA,0.0,0.0,0.0,無
斗六市,土地,石牛溪段,199.49,,河川區,水利用地,1090721,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,299230,1500,,0.0,0,,SPTOMLOKQHPFFAP57DA,0.0,0.0,0.0,無
斗六市,土地,石牛溪段1141~1170地號,199.49,,河川區,水利用地,1090721,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,299230,1500,,0.0,0,協議價購;,RPUOMLOKQHPFFAP57DA,0.0,0.0,0.0,無
斗六市,土地,石牛溪段1141~1170地號,829.46,,河川區,農牧用地,1090721,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1244190,1500,,0.0,0,,RPVOMLOKQHPFFAP67DA,0.0,0.0,0.0,無
斗六市,土地,石牛溪段1141~1170地號,137.87,,河川區,農牧用地,1090721,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,206805,1500,,0.0,0,,SPVOMLOKQHPFFAP77DA,0.0,0.0,0.0,無
斗六市,土地,石牛溪段1141~1170地號,1493.51,,河川區,農牧用地,1090721,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2090919,1400,,0.0,0,,RPWOMLOKQHPFFAP77DA,0.0,0.0,0.0,無
