編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
TPROMLOKQHPFFAP47DA,石牛溪段,13.57,非都市：河川區 ; 非都市編定：水利用地,持分移轉
SPROMLOKQHPFFAP37DA,石牛溪段,53.41,非都市：河川區 ; 非都市編定：農牧用地,持分移轉
RPROMLOKQHPFFAP27DA,石牛溪段,76.88,非都市：河川區 ; 非都市編定：水利用地,持分移轉
SPSOMLOKQHPFFAP47DA,石牛溪段,160.24,非都市：河川區 ; 非都市編定：農牧用地,持分移轉
TPSOMLOKQHPFFAP57DA,石牛溪段,40.72,非都市：河川區 ; 非都市編定：水利用地,持分移轉
RPVOMLOKQHPFFAP67DA,石牛溪段,829.46,非都市：河川區 ; 非都市編定：農牧用地,全筆移轉
RPUOMLOKQHPFFAP57DA,石牛溪段,199.49,非都市：河川區 ; 非都市編定：水利用地,持分移轉
RPTOMLOKQHPFFAP47DA,石牛溪段,864.50,非都市：河川區 ; 非都市編定：農牧用地,持分移轉
RPSOMLOKQHPFFAP37DA,石牛溪段,230.66,非都市：河川區 ; 非都市編定：水利用地,持分移轉
SPVOMLOKQHPFFAP77DA,石牛溪段,137.87,非都市：河川區 ; 非都市編定：農牧用地,全筆移轉
RPWOMLOKQHPFFAP77DA,石牛溪段,1493.51,非都市：河川區 ; 非都市編定：農牧用地,持分移轉
SPWOMLOKQHPFFAP87DA,石牛溪段,2987.03,非都市：河川區 ; 非都市編定：農牧用地,持分移轉
RPOPMLOJQHPFFAP96DA,芎蕉段,176.72,非都市：特定農業區 ; 非都市編定：農牧用地,全筆移轉
RPOPMLOJQHPFFAP96DA,芎蕉段,176.72,非都市：特定農業區 ; 非都市編定：農牧用地,全筆移轉
SPTOMLOKQHPFFAP57DA,石牛溪段,199.49,非都市：河川區 ; 非都市編定：水利用地,持分移轉
RPVOMLTKQHPFFAP18DA,八德段,29.12,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPPPMLMKQHPFFBP07DA,石龜溪段,2193.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,全筆移轉
RPSOMLKLPHPFFCP17DA,新庄子段新庄子小段,1275.00,非都市：特定農業區 ; 非都市編定：農牧用地,持分移轉
RPQNMLTKQHPFFBP67DA,埔羌崙段,2310.00,非都市：特定農業區 ; 非都市編定：農牧用地,全筆移轉
RPSOMLRKPHPFFAP57DA,饒平段,120.65,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPSOMLRKPHPFFAP57DA,饒平段,25.41,非都市：鄉村區 ; 非都市編定：乙種建築用地,持分移轉
RPTNMLRKQHPFFAP67DA,光明段,99.00,非都市：工業區 ; 非都市編定：丁種建築用地,全筆移轉
RPRNMLTKQHPFFCP87DA,興西段,531.01,都市：其他,全筆移轉
RPRNMLTKQHPFFCP87DA,興西段,531.98,都市：其他,全筆移轉
RPRNMLTKQHPFFCP87DA,興西段,532.02,都市：其他,全筆移轉
RPPNMLKLQHPFFAP66DA,大潭段社口小段,12.30,都市：其他,持分移轉
RPQNMLKLQHPFFAP76DA,明德段,200.23,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPQNMLKLQHPFFAP76DA,明德段,42.88,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPTNMLKLQHPFFAP07DA,大潭段社口小段,5.79,都市：其他,持分移轉
RPRNMLQKQHPFFDP67DA,博愛段,146.70,都市：其他,全筆移轉
RPRNMLQKQHPFFDP67DA,博愛段,113.97,都市：其他,全筆移轉
RPUNMLSKQHPFFCP08DA,埔西段,83.48,都市：其他,全筆移轉
RPQNMLQKQHPFFDP57DA,博愛段,39.91,都市：其他,全筆移轉
RPUNMLRKQHPFFDP08DA,高北段,1736.84,都市：其他,全筆移轉
RPTNMLRKQHPFFDP97DA,高北段,177.72,都市：其他,全筆移轉
RPUNMLTKQHPFFCP18DA,阿勸段,132.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPTNMLTKQHPFFCP08DA,廣福段,90.11,都市：其他,全筆移轉
RPTNMLPKQHPFFDP77DA,弘道段,1.88,非都市：鄉村區 ; 非都市編定：水利用地,持分移轉
RPTNMLPKQHPFFDP77DA,弘道段,1.88,非都市：鄉村區 ; 非都市編定：水利用地,持分移轉
RPTNMLPKQHPFFDP77DA,弘道段,16.85,非都市：鄉村區 ; 非都市編定：乙種建築用地,持分移轉
RPTNMLPKQHPFFDP77DA,弘道段,16.85,非都市：鄉村區 ; 非都市編定：乙種建築用地,持分移轉
RPTNMLPKQHPFFDP77DA,弘道段,29.60,非都市：鄉村區 ; 非都市編定：乙種建築用地,持分移轉
RPTNMLPKQHPFFDP77DA,弘道段,29.60,非都市：鄉村區 ; 非都市編定：乙種建築用地,持分移轉
RPUNMLPKQHPFFDP87DA,弘道段,3.77,非都市：鄉村區 ; 非都市編定：水利用地,持分移轉
RPUNMLPKQHPFFDP87DA,弘道段,33.69,非都市：鄉村區 ; 非都市編定：乙種建築用地,持分移轉
RPUNMLPKQHPFFDP87DA,弘道段,65.34,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPSNMLPKQHPFFDP67DA,弘道段,3.77,非都市：鄉村區 ; 非都市編定：水利用地,持分移轉
RPSNMLPKQHPFFDP67DA,弘道段,33.69,非都市：鄉村區 ; 非都市編定：乙種建築用地,持分移轉
RPSNMLPKQHPFFDP67DA,弘道段,59.03,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPWNMLQJQHPFFDP08DA,大學段,2245.90,都市：其他,全筆移轉
RPUNMLQJQHPFFDP87DA,大學段,2692.88,都市：其他,全筆移轉
RPVNMLQJQHPFFDP97DA,大學段,2245.90,都市：其他,全筆移轉
RPQNMLTKQHPFFDP87DA,龍林段,130.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPUNMLKLQHPFFEP57DA,復興段,2213.10,非都市：特定農業區 ; 非都市編定：農牧用地,全筆移轉
RPRNMLSKQHPFFAP67EA,林頭段,241.00,都市：其他,全筆移轉
RPSOMLTKQHPFFAP97EA,麻園庄段,2757.26,非都市：一般農業區 ; 非都市編定：農牧用地,全筆移轉
RPSOMLTKQHPFFAP97EA,麻園庄段,880.49,非都市：一般農業區 ; 非都市編定：農牧用地,全筆移轉
RPSOMLTKQHPFFAP97EA,麻園庄段,2064.12,非都市：一般農業區 ; 非都市編定：農牧用地,全筆移轉
RPTNMLKLQHPFFCP37EA,新社段,4327.00,非都市：特定農業區 ; 非都市編定：農牧用地,全筆移轉
RPQNMLKLQHPFFBP96EA,埤麻段,325.43,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
