鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
東石鄉,土地,港墘段港墘小段61~90地號,252.46,,鄉村區,乙種建築用地,1090807,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2660000,10536,,0.0,0,,RPQNMLOKQHPFFBQ27DA,0.0,0.0,0.0,無
布袋鎮,土地,貴舍段301~330地號,277.39,,一般農業區,農牧用地,1090803,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,177530,640,,0.0,0,協議價購;,RPRNMLOKQHPFFBQ37DA,0.0,0.0,0.0,無
布袋鎮,土地,貴舍段91~120地號,135.0,,一般農業區,農牧用地,1090803,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,85050,630,,0.0,0,協議價購;,RPSNMLOKQHPFFBQ47DA,0.0,0.0,0.0,無
布袋鎮,土地,貴舍段91~120地號,20.65,,一般農業區,農牧用地,1090803,土地0建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13010,630,,0.0,0,,RPUNMLOKQHPFFBQ67DA,0.0,0.0,0.0,無
布袋鎮,土地,貴舍段301~330地號,216.25,,一般農業區,農牧用地,1090803,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,138400,640,,0.0,0,,SPUNMLOKQHPFFBQ77DA,0.0,0.0,0.0,無
布袋鎮,土地,貴舍段241~270地號,255.0,,一般農業區,養殖用地,1090803,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,153000,600,,0.0,0,,RPVNMLOKQHPFFBQ77DA,0.0,0.0,0.0,無
布袋鎮,土地,貴舍段241~270地號,134.0,,一般農業區,養殖用地,1090803,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,84420,630,,0.0,0,,SPVNMLOKQHPFFBQ87DA,0.0,0.0,0.0,無
布袋鎮,土地,貴舍段241~270地號,331.0,,一般農業區,養殖用地,1090803,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,208530,630,,0.0,0,,RPWNMLOKQHPFFBQ87DA,0.0,0.0,0.0,無
布袋鎮,土地,貴舍段241~270地號,99.0,,一般農業區,養殖用地,1090803,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,55800,564,,0.0,0,,SPWNMLOKQHPFFBQ97DA,0.0,0.0,0.0,無
布袋鎮,土地,貴舍段271~300地號,22.5,,一般農業區,水利用地,1090803,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13500,600,,0.0,0,協議價購;,RPOOMLOKQHPFFBQ17DA,0.0,0.0,0.0,無
布袋鎮,土地,貴舍段271~300地號,83.5,其他,一般農業區,農牧用地,1090803,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,52605,630,,0.0,0,協議價購;,RPPOMLOKQHPFFBQ27DA,0.0,0.0,0.0,無
布袋鎮,土地,貴舍段271~300地號,83.5,,一般農業區,農牧用地,1090803,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,52605,630,,0.0,0,協議價購;,RPQOMLOKQHPFFBQ37DA,0.0,0.0,0.0,無
布袋鎮,土地,貴舍段271~300地號,46.0,,一般農業區,農牧用地,1090803,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,28980,630,,0.0,0,協議價購;,RPROMLOKQHPFFBQ47DA,0.0,0.0,0.0,無
布袋鎮,土地,貴舍段271~300地號,123.97,,一般農業區,養殖用地,1090803,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,78101,630,,0.0,0,協議價購;,RPSOMLOKQHPFFBQ57DA,0.0,0.0,0.0,無
布袋鎮,土地,貴舍段271~300地號,26.33,,一般農業區,養殖用地,1090803,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,16590,630,,0.0,0,,RPTOMLOKQHPFFBQ67DA,0.0,0.0,0.0,無
布袋鎮,土地,貴舍段421~450地號,406.67,,一般農業區,農牧用地,1090803,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,244000,600,,0.0,0,,SPTOMLOKQHPFFBQ77DA,0.0,0.0,0.0,無
布袋鎮,土地,貴舍段421~450地號,173.83,,一般農業區,農牧用地,1090803,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,116468,670,,0.0,0,,TPTOMLOKQHPFFBQ87DA,0.0,0.0,0.0,無
布袋鎮,土地,貴舍段271~300地號,125.49,,一般農業區,農牧用地,1090803,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,79058,630,,0.0,0,協議價購;,RPVOMLOKQHPFFBQ87DA,0.0,0.0,0.0,無
布袋鎮,土地,貴舍段271~300地號,113.66,,一般農業區,農牧用地,1090803,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,71606,630,,0.0,0,協議價購;,RPWOMLOKQHPFFBQ97DA,0.0,0.0,0.0,無
布袋鎮,土地,貴舍段271~300地號,105.31,,一般農業區,農牧用地,1090803,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,66342,630,,0.0,0,協議價購;,RPOPMLOKQHPFFBQ27DA,0.0,0.0,0.0,無
