編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQNMLTKQHPFFCQ87DA,,101.60,住家用,鋼筋混凝土造,109年4月16日,四層,一層 二層 三層 四層
RPQNMLTKQHPFFCQ87DA,,101.60,住家用,鋼筋混凝土造,109年4月16日,四層,一層 二層 三層 四層
RPPNMLTKQHPFFBQ67DA,45,30.67,住商用,鋼筋混凝土加強磚造,64年4月3日,二層,一層 二層 騎樓
RPPNMLTKQHPFFBQ67DA,45,30.67,住商用,鋼筋混凝土加強磚造,64年4月3日,二層,一層 二層 騎樓
RPPNMLTKQHPFFBQ67DA,45,30.67,住商用,鋼筋混凝土加強磚造,64年4月3日,二層,一層 二層 騎樓
RPPOMLSKQHPFFDQ87DA,39,106.29,住家用,鋼筋混凝土加強磚造,70年2月26日,二層,一層 二層 騎樓
RPTNMLTKQHPFFDQ38EA,43,116.45,住家用,鋼筋混凝土加強磚造,66年5月30日,二層,一層 二層 騎樓
RPPNMLLLQHPFFCQ17EA,6,455.10,見其他登記事項,見其他登記事項,103年10月17日,一層,一層 見其他登記事項
RPPOMLTKQHPFFDQ08EA,28,165.82,住家用,鋼筋混凝土造,81年11月26日,三層,一層 二層 三層
RPVNMLOKQHPFFEQ08DA,39,99.32,住家用,鋼筋混凝土加強磚造,70年11月18日,二層,一層 二層
RPRNMLTKQHPFFDQ08DA,,51.29,住家用,磚造,66年11月25日,一層,一層
RPQNMLTKQHPFFDQ97DA,19,144.63,住家用,鋼筋混凝土造,90年3月13日,三層,一層 二層 三層
RPRNMLOKQHPFFDQ57DA,15,7.92,見其他登記事項,鋼筋混凝土造,94年8月15日,五層,
RPRNMLOKQHPFFDQ57DA,15,16.15,見其他登記事項,鋼筋混凝土造,94年8月15日,五層,三層
RPSNMLKLQHPFFDQ37DA,16,7.17,見其他登記事項,鋼筋混凝土造,94年2月4日,五層,
RPSNMLKLQHPFFDQ37DA,16,17.13,見其他登記事項,鋼筋混凝土造,94年2月4日,五層,二層
RPQNMLKLQHPFFDQ17DA,27,146.48,住商用,鋼筋混凝土造,82年11月9日,三層,一層 二層 三層 夾層
RPXOMLNJQHPFFBQ87DA,33,167.38,住家用,鋼筋混凝土加強磚造,77年1月25日,三層,一層 二層 三層
RPXOMLNJQHPFFBQ87DA,33,33.48,住家用,鋼筋混凝土加強磚造,77年1月25日,三層,一層 二層 三層
RPQNMLLLQHPFFDQ37EA,40,173.10,住家用,鋼筋混凝土加強磚造,69年12月16日,三層,一層 二層 三層 騎樓
RPQNMLKLQHPFFEQ27DA,27,52.05,住家用,鋼筋混凝土造,82年4月1日,十八層,十層
RPQNMLKLQHPFFEQ27DA,27,10.16,見其他登記事項,鋼筋混凝土造,82年4月1日,十八層,
