編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPRNMLOKQHPFFBQ37DA,貴舍段,277.39,非都市：一般農業區 ; 非都市編定：農牧用地,全筆移轉
RPSNMLOKQHPFFBQ47DA,貴舍段,135.00,非都市：一般農業區 ; 非都市編定：農牧用地,全筆移轉
RPUNMLOKQHPFFBQ67DA,貴舍段,20.65,非都市：一般農業區 ; 非都市編定：農牧用地,全筆移轉
RPVNMLOKQHPFFBQ77DA,貴舍段,255.00,非都市：一般農業區 ; 非都市編定：養殖用地,全筆移轉
SPUNMLOKQHPFFBQ77DA,貴舍段,216.25,非都市：一般農業區 ; 非都市編定：農牧用地,全筆移轉
RPWNMLOKQHPFFBQ87DA,貴舍段,10.00,非都市：一般農業區 ; 非都市編定：養殖用地,全筆移轉
RPWNMLOKQHPFFBQ87DA,貴舍段,112.00,非都市：一般農業區 ; 非都市編定：養殖用地,全筆移轉
RPWNMLOKQHPFFBQ87DA,貴舍段,108.00,非都市：一般農業區 ; 非都市編定：養殖用地,全筆移轉
RPWNMLOKQHPFFBQ87DA,貴舍段,101.00,非都市：一般農業區 ; 非都市編定：養殖用地,全筆移轉
RPOOMLOKQHPFFBQ17DA,貴舍段,13.50,非都市：一般農業區 ; 非都市編定：水利用地,持分移轉
RPOOMLOKQHPFFBQ17DA,貴舍段,9.00,都市：其他,持分移轉
RPQNMLOKQHPFFBQ27DA,港墘段港墘小段,26.19,非都市：鄉村區 ; 非都市編定：乙種建築用地,持分移轉
RPQNMLOKQHPFFBQ27DA,港墘段港墘小段,26.19,非都市：鄉村區 ; 非都市編定：乙種建築用地,持分移轉
RPQNMLOKQHPFFBQ27DA,港墘段港墘小段,100.04,非都市：鄉村區 ; 非都市編定：乙種建築用地,持分移轉
RPQNMLOKQHPFFBQ27DA,港墘段港墘小段,100.04,非都市：鄉村區 ; 非都市編定：乙種建築用地,持分移轉
SPVNMLOKQHPFFBQ87DA,貴舍段,134.00,非都市：一般農業區 ; 非都市編定：養殖用地,全筆移轉
SPWNMLOKQHPFFBQ97DA,貴舍段,87.00,非都市：一般農業區 ; 非都市編定：養殖用地,全筆移轉
SPWNMLOKQHPFFBQ97DA,貴舍段,12.00,非都市：一般農業區 ; 非都市編定：農牧用地,全筆移轉
RPPOMLOKQHPFFBQ27DA,貴舍段,83.50,都市：其他,持分移轉
RPROMLOKQHPFFBQ47DA,貴舍段,46.00,非都市：一般農業區 ; 非都市編定：農牧用地,全筆移轉
RPSOMLOKQHPFFBQ57DA,貴舍段,123.97,非都市：一般農業區 ; 非都市編定：養殖用地,全筆移轉
RPQOMLOKQHPFFBQ37DA,貴舍段,83.50,非都市：一般農業區 ; 非都市編定：農牧用地,持分移轉
RPTOMLOKQHPFFBQ67DA,貴舍段,10.00,非都市：一般農業區 ; 非都市編定：農牧用地,持分移轉
RPTOMLOKQHPFFBQ67DA,貴舍段,16.33,非都市：一般農業區 ; 非都市編定：養殖用地,持分移轉
RPVOMLOKQHPFFBQ87DA,貴舍段,80.52,非都市：一般農業區 ; 非都市編定：農牧用地,持分移轉
RPVOMLOKQHPFFBQ87DA,貴舍段,44.97,非都市：一般農業區 ; 非都市編定：農牧用地,持分移轉
TPTOMLOKQHPFFBQ87DA,貴舍段,32.50,非都市：一般農業區 ; 非都市編定：農牧用地,持分移轉
TPTOMLOKQHPFFBQ87DA,貴舍段,141.33,非都市：一般農業區 ; 非都市編定：農牧用地,持分移轉
SPTOMLOKQHPFFBQ77DA,貴舍段,161.00,非都市：一般農業區 ; 非都市編定：農牧用地,持分移轉
SPTOMLOKQHPFFBQ77DA,貴舍段,54.33,非都市：一般農業區 ; 非都市編定：農牧用地,持分移轉
SPTOMLOKQHPFFBQ77DA,貴舍段,191.33,非都市：一般農業區 ; 非都市編定：農牧用地,持分移轉
RPOPMLOKQHPFFBQ27DA,貴舍段,105.30,非都市：一般農業區 ; 非都市編定：農牧用地,持分移轉
RPWOMLOKQHPFFBQ97DA,貴舍段,113.66,非都市：一般農業區 ; 非都市編定：農牧用地,全筆移轉
RPTPMLOKQHPFFBQ77DA,貴舍段,57.00,非都市：一般農業區 ; 非都市編定：水利用地,全筆移轉
RPUPMLOKQHPFFBQ87DA,貴舍段,228.64,非都市：一般農業區 ; 非都市編定：養殖用地,全筆移轉
RPUPMLOKQHPFFBQ87DA,貴舍段,106.50,都市：其他,持分移轉
RPVPMLOKQHPFFBQ97DA,貴舍段,106.50,非都市：一般農業區 ; 非都市編定：農牧用地,持分移轉
RPWPMLOKQHPFFBQ08DA,貴舍段,60.85,非都市：一般農業區 ; 非都市編定：養殖用地,全筆移轉
RPQQMLOKQHPFFBQ57DA,貴舍段,62.08,非都市：一般農業區 ; 非都市編定：養殖用地,持分移轉
RPSQMLOKQHPFFBQ77DA,貴舍段,279.00,非都市：一般農業區 ; 非都市編定：農牧用地,全筆移轉
RPXPMLOKQHPFFBQ18DA,貴舍段,173.85,非都市：一般農業區 ; 非都市編定：養殖用地,全筆移轉
RPUQMLOKQHPFFBQ97DA,貴舍段,28.00,非都市：一般農業區 ; 非都市編定：養殖用地,全筆移轉
RPOQMLOKQHPFFBQ37DA,貴舍段,23.10,非都市：一般農業區 ; 非都市編定：農牧用地,全筆移轉
RPOQMLOKQHPFFBQ37DA,貴舍段,16.43,非都市：一般農業區 ; 非都市編定：農牧用地,全筆移轉
RPOQMLOKQHPFFBQ37DA,貴舍段,5.68,非都市：一般農業區 ; 非都市編定：農牧用地,全筆移轉
RPOQMLOKQHPFFBQ37DA,貴舍段,3.43,非都市：一般農業區 ; 非都市編定：農牧用地,持分移轉
RPOQMLOKQHPFFBQ37DA,貴舍段,5.30,非都市：一般農業區 ; 非都市編定：農牧用地,全筆移轉
RPPQMLOKQHPFFBQ47DA,貴舍段,205.07,非都市：一般農業區 ; 非都市編定：養殖用地,全筆移轉
RPPQMLOKQHPFFBQ47DA,貴舍段,234.03,非都市：一般農業區 ; 非都市編定：養殖用地,全筆移轉
RPPQMLOKQHPFFBQ47DA,貴舍段,228.05,非都市：一般農業區 ; 非都市編定：養殖用地,全筆移轉
RPPQMLOKQHPFFBQ47DA,貴舍段,212.29,非都市：一般農業區 ; 非都市編定：養殖用地,全筆移轉
RPPQMLOKQHPFFBQ47DA,貴舍段,202.11,非都市：一般農業區 ; 非都市編定：養殖用地,全筆移轉
RPPQMLOKQHPFFBQ47DA,貴舍段,193.95,非都市：一般農業區 ; 非都市編定：養殖用地,全筆移轉
RPPQMLOKQHPFFBQ47DA,貴舍段,246.66,非都市：一般農業區 ; 非都市編定：養殖用地,全筆移轉
RPRQMLOKQHPFFBQ67DA,貴舍段,14.25,非都市：一般農業區 ; 非都市編定：水利用地,持分移轉
RPRQMLOKQHPFFBQ67DA,貴舍段,.75,非都市：一般農業區 ; 非都市編定：養殖用地,持分移轉
