編號,車位類別,車位價格,車位面積(平方公尺),車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPRNMLTKQHPFFAT18EA,坡道平面,0,,地下一樓
RPRPMLTKQHPFFAT38EA,坡道平面,0,,地下二樓
RPQOMLTKQHPFFCT38EA,一樓平面,0,,一樓
RPROMLTKQHPFFCT48EA,一樓平面,0,,一樓
RPUNMLLLQHPFFAT67DA,坡道平面,0,,地下一樓
RPXOMLLLQHPFFAT18EA,坡道平面,0,,地下一樓
RPVPMLTKQHPFFAT68DA,一樓平面,0,,一樓
RPXPMLTKQHPFFAT88DA,一樓平面,0,,一樓
RPTNMLKLQHPFFAT47DA,一樓平面,0,,一樓
RPRNMLKLQHPFFAT27DA,一樓平面,0,,一樓
RPVNMLKLQHPFFAT67DA,一樓平面,0,,一樓
RPVNMLKLQHPFFAT67DA,一樓平面,0,,一樓
RPRNMLLLQHPFFCT57DA,一樓平面,0,,一樓
RPUNMLLLQHPFFCT87DA,一樓平面,0,,一樓
RPVNMLLLQHPFFCT97DA,一樓平面,0,,一樓
RPTOMLLLQHPFFCT87DA,一樓平面,0,,一樓
RPVOMLLLQHPFFCT08DA,一樓平面,0,,一樓
RPWOMLLLQHPFFCT18DA,一樓平面,0,,一樓
RPXOMLLLQHPFFCT28DA,一樓平面,0,,一樓
RPPPMLLLQHPFFCT57DA,一樓平面,0,,一樓
RPQPMLLLQHPFFCT67DA,一樓平面,0,,一樓
RPRPMLLLQHPFFCT77DA,一樓平面,0,,一樓
RPPNMLOLQHPFFCT67DA,一樓平面,0,,一樓
RPTOMLPLQHPFFAT18EA,坡道平面,0,,地下一樓
RPSOMLPLQHPFFCT28EA,一樓平面,0,,一樓
RPROMLPLQHPFFCT18EA,一樓平面,0,,一樓
RPUOMLLLQHPFFDT08DA,一樓平面,0,,一樓
RPOOMLLLQHPFFDT47DA,一樓平面,0,,一樓
RPPOMLLLQHPFFDT57DA,一樓平面,0,,一樓
RPXNMLLLQHPFFDT28DA,一樓平面,0,,一樓
RPTOMLLLQHPFFDT97DA,一樓平面,0,,一樓
RPTNMLRLQHPFFCT48EA,一樓平面,0,,一樓
