編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPVNMLMKQHPFFAU87DA,10,267.41,住家用,鋼筋混凝土造,99年5月20日,十四層,七層
RPVNMLMKQHPFFAU87DA,10,12.67,停車空間,鋼筋混凝土造,99年5月20日,十四層,
RPVNMLMKQHPFFAU87DA,10,67.53,共有部份,鋼筋混凝土造,99年5月20日,十四層,
RPPNMLRKQHPFFAU77DA,41,107.66,住商用,鋼筋混凝土加強磚造,68年7月2日,二層,一層 二層 騎樓
RPOPMLNKQHPFFAU47DA,25,107.44,住家用,鋼筋混凝土造,84年4月17日,六層,六層
RPOPMLNKQHPFFAU47DA,25,20.36,共有部份,鋼筋混凝土造,84年4月17日,六層,
RPOPMLNKQHPFFAU47DA,25,13.61,共有部份,鋼筋混凝土造,84年4月17日,六層,
RPQNMLKLQHPFFAU27DA,42,41.63,住家用,鋼筋混凝土加強磚造,67年5月22日,一層,一層
RPXOMLSKQHPFFAU78DA,,104.00,住家用,鋼筋混凝土加強磚造,67年0月0日,二層,一層 二層 騎樓
RPPNMLKLQHPFFAU17DA,39,242.55,住商用,鋼筋混凝土造,70年11月9日,四層,一層 二層 三層 四層 防空避難室 騎樓
RPQOMLTKQHPFFAU18DA,4,209.64,住家用,鋼筋混凝土造,105年6月30日,四層,一層 二層 三層 四層 屋頂突出物 騎樓
RPQOMLTKQHPFFAU18DA,4,209.64,住家用,鋼筋混凝土造,105年6月30日,四層,一層 二層 三層 四層 屋頂突出物 騎樓
RPPPMLTKQHPFFAU18DA,24,45.87,住家用,鋼筋混凝土造,85年3月1日,六層,四層
RPPPMLTKQHPFFAU18DA,24,5.74,共有部份,鋼筋混凝土造,85年3月1日,六層,
RPPPMLTKQHPFFAU18DA,24,8.47,共有部份,鋼筋混凝土造,85年3月1日,六層,
RPOOMLOKQHPFFAU47DA,43,120.68,住家用,鋼筋混凝土造,66年3月24日,三層,一層 二層 三層 騎樓
RPTOMLKLQHPFFAU67DA,25,29.85,住家用,鋼筋混凝土造,84年6月8日,七層,七層
RPTOMLKLQHPFFAU67DA,25,6.12,共有部份,鋼筋混凝土造,84年6月8日,七層,
RPTOMLKLQHPFFAU67DA,25,5.80,共有部份,鋼筋混凝土造,84年6月8日,七層,
RPPNMLRJQHPFFBU87EA,,73.32,住家用,見其他登記事項,,2,一層 二層
RPVPMLKLQHPFFAU97DA,42,124.76,住商用,鋼筋混凝土加強磚造,68年1月20日,二層,一層 二層 騎樓
RPWNMLLLQHPFFAU97DA,8,271.77,住家用,鋼筋混凝土造,101年10月18日,四層,一層 二層 三層 四層
RPROMLKLQHPFFAU47DA,26,27.24,住家用,鋼筋混凝土造,83年4月14日,六層,四層
RPROMLKLQHPFFAU47DA,26,8.20,共有部份,鋼筋混凝土造,83年4月14日,六層,
RPSNMLKLQHPFFAU47DA,26,82.50,住家用,鋼筋混凝土造,83年2月7日,六層,六層
RPSNMLKLQHPFFAU47DA,26,30.64,共有部份,鋼筋混凝土造,83年2月7日,六層,
RPVOMLLLQHPFFAU97DA,27,182.54,住家用,鋼筋混凝土造,82年6月9日,三層,一層 二層 三層 屋頂突出物
RPUNMLLLQHPFFAU77DA,35,282.45,住商用,鋼筋混凝土造,74年7月24日,三層,一層 二層 三層 騎樓 地下層
RPSNMLRKQHPFFAU08DA,5,237.62,住家用,鋼筋混凝土造,104年3月24日,四層,一層 二層 三層 四層
RPVOMLRKQHPFFAU48DA,40,116.67,住商用,鋼筋混凝土加強磚造,69年9月1日,二層,一層 二層 騎樓
RPPNMLQKQHPFFAU67DA,,30.89,住家用,鋼筋混凝土造,83年8月11日,八層,五層
RPPNMLQKQHPFFAU67DA,,13.90,共有部份,鋼筋混凝土造,83年8月11日,八層,
RPOOMLTKQHPFFAU97DA,12,111.66,農舍,鋼骨鋼筋混凝土造,97年9月10日,三層,一層 二層 三層
RPOOMLTKQHPFFAU97DA,12,111.66,農舍,鋼骨鋼筋混凝土造,97年9月10日,三層,一層 二層 三層
RPTOMLPJQHPFFAU97DA,25,31.85,住家用,鋼筋混凝土造,84年4月14日,五層,三層
RPTOMLPJQHPFFAU97DA,25,16.30,共有部份,鋼筋混凝土造,84年4月14日,五層,
RPXNMLLLQHPFFAU08DA,34,90.23,住家用,鋼筋混凝土造,75年5月6日,二層,一層 二層
RPWOMLLLQHPFFAU08DA,,55.47,住家用,鋼筋混凝土加強磚造,67年9月0日,一層,一層 陽台
RPSPMLLLQHPFFAU77DA,10,75.15,見其他登記事項,鋼筋混凝土造,100年1月21日,十二層,九層
RPSPMLLLQHPFFAU77DA,10,36.90,共有部份,鋼筋混凝土造,100年1月21日,十二層,
RPOOMLLLQHPFFAU27DA,1,43.05,見其他登記事項,鋼筋混凝土造,108年11月28日,五層,二層
RPOOMLLLQHPFFAU27DA,1,15.14,共有部份,鋼筋混凝土造,108年11月28日,五層,
RPQNMLOLQHPFFAU67DA,37,11.09,共有部份,鋼筋混凝土造,72年9月10日,四層,
RPQNMLOLQHPFFAU67DA,37,89.40,住家用,鋼筋混凝土造,72年9月10日,四層,三層
RPVNMLOLQHPFFAU18DA,26,18.16,住家用,鋼筋混凝土造,83年11月15日,十二層,八層
