編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPSOMLKLQHPFFAU57DA,主商段,115.00,都市：商,全筆移轉
RPVNMLMKQHPFFAU87DA,民意段,12.19,都市：其他,持分移轉
RPVNMLMKQHPFFAU87DA,民意段,18.53,都市：其他,持分移轉
RPVNMLMKQHPFFAU87DA,民意段,16.49,都市：其他,持分移轉
RPVNMLMKQHPFFAU87DA,民意段,10.12,都市：住,持分移轉
RPPNMLRKQHPFFAU77DA,富國段,87.00,都市：住,全筆移轉
RPOPMLNKQHPFFAU47DA,民孝段,35.17,都市：住,持分移轉
RPQNMLKLQHPFFAU27DA,福吉段,63.83,非都市：特定農業區 ; 非都市編定：甲種建築用地,全筆移轉
RPXOMLSKQHPFFAU78DA,功學段,70.79,都市：住,全筆移轉
RPPNMLKLQHPFFAU17DA,福祥段,130.00,都市：其他,全筆移轉
RPPNMLKLQHPFFAU17DA,福祥段,11.00,都市：其他,全筆移轉
RPQOMLTKQHPFFAU18DA,太昌段,69.50,都市：商,持分移轉
RPQOMLTKQHPFFAU18DA,太昌段,69.50,都市：商,持分移轉
RPQOMLTKQHPFFAU18DA,太昌段,.50,都市：商,持分移轉
RPQOMLTKQHPFFAU18DA,太昌段,.50,都市：商,持分移轉
RPPPMLTKQHPFFAU18DA,裕民段,17.65,都市：其他,持分移轉
RPOOMLOKQHPFFAU47DA,仁義段,65.00,都市：住,全筆移轉
RPVOMLKLQHPFFAU87DA,國股段,864.79,都市：住,全筆移轉
RPPNMLQKQHPFFCU87DA,玉昌段,99.00,都市：其他,全筆移轉
RPPNMLSKQHPFFBU08EA,大安段,843.00,非都市： ; 非都市編定：,全筆移轉
RPQNMLKLQHPFFCU47DA,溫泉段,376.00,非都市：一般農業區 ; 非都市編定：農牧用地,全筆移轉
RPPNMLKLQHPFFCU47EA,大庄段,169.25,非都市：特定農業區 ; 非都市編定：交通用地,全筆移轉
