編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPRPMLTLPHPFFAU48CC,嘉南段,.00,都市：商,全筆移轉
RPUOMLLMPHPFFAU97CC,富國段,9.50,都市：住,全筆移轉
RPQNMLNLPHPFFAU57CC,明義段,.71,都市：商,全筆移轉
RPQNMLNLPHPFFAU57CC,明義段,.69,都市：商,全筆移轉
RPQNMLNLPHPFFAU57CC,明義段,2.50,都市：商,全筆移轉
RPQNMLNLPHPFFAU57CC,明義段,.84,都市：商,全筆移轉
RPQNMLNLPHPFFAU57CC,明義段,.21,都市：商,全筆移轉
RPQNMLNLPHPFFAU57CC,明義段,.19,都市：商,全筆移轉
RPQNMLNLPHPFFAU57CC,明義段,.80,都市：商,全筆移轉
RPQNMLNLPHPFFAU57CC,明義段,.81,都市：商,全筆移轉
RPQNMLNLPHPFFAU57CC,明義段,.19,都市：商,全筆移轉
RPQNMLNLPHPFFAU57CC,明義段,.19,都市：商,全筆移轉
RPQNMLNLPHPFFAU57CC,明義段,.83,都市：商,全筆移轉
RPXNMLMLPHPFFAU28DC,富國段,14.80,都市：住,全筆移轉
RPPNMLRLPHPFFAU87CC,樹人段,6.72,都市：住,全筆移轉
RPPNMLRLPHPFFAU87CC,樹人段,7.63,都市：商,全筆移轉
RPPOMLNLPHPFFAU57CC,德安段,8.70,都市：住,全筆移轉
RPQNMLMLPHPFFAU47CC,富國段,7.91,都市：住,全筆移轉
RPUNMLLLPHPFFAU77CC,民生段,39.00,都市：商,全筆移轉
RPUNMLLLPHPFFAU77CC,民生段,1.00,都市：其他,全筆移轉
