鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
台東市,房地(土地+建物),博物館路31~60號,62.82,,,,1090715,土地1建物1車位0,二層,五層,華廈(10層含以下有電梯),見其他登記事項,見其他登記事項,1090303,103.95,3,2,2,有,無,3480000,33478,,0.0,0,幸福住宅,RPTNMLLKQHPFFAV67DA,80.47,7.93,0.0,有
卑南鄉,房地(土地+建物),鎮樂路1~30號,9.98,其他,,,1090725,土地2建物1車位0,二層,六層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0821026,39.62,1,1,1,有,有,1200000,30288,,0.0,0,,RPSNMLNKQHPFFAV77DA,28.0,0.0,0.0,有
台東市,房地(土地+建物),康樂路131巷1~30號,30.98,其他,,,1090727,土地4建物1車位0,五層,五層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0840601,119.81,4,2,2,有,無,2980000,24873,,0.0,0,,RPSNMLRKQHPFFAV18DA,84.23,12.29,0.0,無
東河鄉,房地(土地+建物),竹林路31~60號,476.0,,森林區,丙種建築用地,1090423,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0780331,129.15,6,2,1,有,無,568520,4402,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPUNMLRKPHPFFBV38DA,126.0,3.15,0.0,無
東河鄉,土地,東河段511~540地號,37.4,其他,,,1090723,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,627946,16790,,0.0,0,政府機關標讓售;,RPPNMLRKQHPFFBV97DA,0.0,0.0,0.0,無
池上鄉,土地,慶福段1051~1080地號,130.4,其他,,,1090617,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1400000,10736,,0.0,0,,RPUNMLMKQHPFFCV08DA,0.0,0.0,0.0,無
太麻里鄉,土地,金崙段1741~1770地號,735.0,,風景區,農牧用地,1090731,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2160000,2939,,0.0,0,,RPPNMLSKQHPFFDV38EA,0.0,0.0,0.0,無
太麻里鄉,房地(土地+建物),太麻里街571~600號,386.36,住,,,1090502,土地1建物1車位0,全,一層,透天厝,見其他登記事項,見其他登記事項,0791024,208.39,0,0,0,無,無,8880000,42612,,0.0,0,,RPPNMLNKPHPFFDV67DA,208.39,0.0,0.0,無
太麻里鄉,土地,泰德段31~60地號,462.04,,一般農業區,甲種建築用地,1090802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2100000,4545,,0.0,0,未登記建物;,RPPNMLOJQHPFFDV77DA,0.0,0.0,0.0,無
台東市,土地,常德段1051~1080地號,225.19,其他,,,1090711,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,13322,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPWOMLKLQHPFFAV08DA,0.0,0.0,0.0,無
台東市,房地(土地+建物),長沙街151~180號,55.54,其他,,,1090710,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0821203,117.55,4,2,2,有,有,4200000,35729,,0.0,0,,RPPNMLSKQHPFFAV97DA,91.09,0.0,11.65,無
綠島鄉,房地(土地+建物),南寮181~210號,108.21,其他,,,1090805,土地2建物1車位0,全,二層,透天厝,住家用,見其他登記事項,0920307,124.56,11,1,11,有,無,3200000,25690,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPRNMLSKQHPFFAV18DA,124.56,0.0,0.0,無
台東市,房地(土地+建物),仁昌街91~120號,14.24,其他,,,1090724,土地1建物1車位0,八層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0830516,115.11999999999999,3,2,2,有,有,4200000,36484,,0.0,0,,RPUNMLSKQHPFFAV48DA,84.82,0.0,7.75,有
卑南鄉,土地,利泰段91~120地號,449.21,,鄉村區,乙種建築用地,1090720,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4400000,9795,,0.0,0,,RPTNMLTKQHPFFAV48DA,0.0,0.0,0.0,無
台東市,土地,康樂段781~810地號,10231.0,,特定農業區,農牧用地,1090804,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12000000,1173,,0.0,0,,RPXNMLMKQHPFFAV18DA,0.0,0.0,0.0,無
台東市,房地(土地+建物),博物館路1~30號,62.82,,,,1090715,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),見其他登記事項,見其他登記事項,1090303,103.98,3,2,2,有,無,3280000,31545,,0.0,0,幸福住宅,RPSNMLLKQHPFFAV57DA,80.47,7.96,0.0,有
台東市,土地,台東段2491~2520地號,267.0,其他,,,1090702,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12000000,44944,,0.0,0,,RPQNMLNKPHPFFAV47DA,0.0,0.0,0.0,無
台東市,房地(土地+建物),中華路一段865巷31~60號,57.17,其他,,,1090730,土地2建物1車位0,二層,二層,公寓(5樓含以下無電梯),住家用,見其他登記事項,0610830,73.93,3,2,1,有,無,2100000,28405,,0.0,0,,RPQNMLLMPHPFFAV47DA,73.93,0.0,0.0,無
台東市,建物,建和三街31~60號,0.0,,,,1090729,土地0建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0930413,170.74,4,2,2,有,無,590000,3456,,0.0,0,僅出售房屋，未含土地。親友、員工、共有人或其他特殊關係間之交易;,RPSNMLPJQHPFFAV87DA,155.92,14.82,0.0,無
台東市,土地,豐樂段1381~1410地號,344.0,,特定農業區,農牧用地,1090715,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,341000,991,,0.0,0,地清或未辦繼承標售;,RPQPMLTKQHPFFAV38DA,0.0,0.0,0.0,無
台東市,土地,建和段271~300地號,177.83,,特定農業區,農牧用地,1090713,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,90000,506,,0.0,0,地清或未辦繼承標售;,RPTPMLTKQHPFFAV68DA,0.0,0.0,0.0,無
台東市,土地,豐川段361~390地號,241.27,,特定農業區,農牧用地,1090713,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,241000,999,,0.0,0,地清或未辦繼承標售;,RPVPMLTKQHPFFAV88DA,0.0,0.0,0.0,無
綠島鄉,土地,新中寮段511~540地號,302.18,其他,,,1090721,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1920000,6354,,0.0,0,,RPRNMLKLQHPFFAV47DA,0.0,0.0,0.0,無
台東市,房地(土地+建物),中興路二段121~150號,103.0,其他,,,1090711,土地1建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,0970731,186.01,4,3,4,有,無,12200000,65588,,0.0,0,頂樓加蓋;,RPUNMLKLQHPFFAV77DA,166.5,19.51,0.0,無
台東市,房地(土地+建物),志航路一段412巷18弄1~30號,148.15,,,,1090521,土地1建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1090520,244.93,5,2,6,有,無,12500000,51035,,0.0,0,,RPQOMLKLQHPFFAV47DA,216.93,28.0,0.0,無
綠島鄉,土地,公東段1231~1260地號,510.24,其他,,,1090602,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3500000,6860,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPSOMLKLQHPFFAV67DA,0.0,0.0,0.0,無
台東市,土地,新園段541~570地號,157.0,,鄉村區,乙種建築用地,1090810,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,600000,3822,,0.0,0,,RPTOMLKLQHPFFAV77DA,0.0,0.0,0.0,無
太麻里鄉,土地,大溪段151~180地號,240.05,,鄉村區,乙種建築用地,1090723,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,300000,1250,,0.0,0,,RPPNMLNKQHPFFDV77DA,0.0,0.0,0.0,無
鹿野鄉,房地(土地+建物),瑞景路一段241~270號,130.68,,鄉村區,乙種建築用地,1090715,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0830628,152.78,3,2,2,有,無,3000000,19636,,0.0,0,,RPXNMLTKQHPFFCV09DA,152.78,0.0,0.0,無
鹿野鄉,土地,鹿寮段811~840地號,1393.93,,鄉村區,乙種建築用地,1090722,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,24000000,17218,,0.0,0,,RPQNMLKLQHPFFCV57DA,0.0,0.0,0.0,無
太麻里鄉,房地(土地+建物),龍泉路53巷1~30號,10.39,其他,,,1090806,土地2建物1車位0,四層,八層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0840714,37.81,0,0,0,無,有,600000,15869,,0.0,0,,RPPNMLTKQHPFFDV38DA,27.07,3.8,0.0,有
太麻里鄉,土地,金崙段1831~1860地號,4400.0,,山坡地保育區,農牧用地,1090810,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,550000,125,,0.0,0,,RPPNMLOLQHPFFDV97DA,0.0,0.0,0.0,無
台東市,房地(土地+建物),國泰街1~30號,105.82,,,,1090710,土地1建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1090416,167.92,5,2,6,有,無,9800000,58361,,0.0,0,,RPQNMLLLQHPFFAV47DA,156.26,11.66,0.0,無
卑南鄉,土地,龍過脈段541~570地號,120.56,,山坡地保育區,丙種建築用地,1090807,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,900000,7465,,0.0,0,,RPWNMLLLQHPFFAV08DA,0.0,0.0,0.0,無
台東市,土地,建興段571~600地號,805.5,其他,,,1090601,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1250000,1552,,0.0,0,現作道路使用,RPTNMLKLQHPFFAV67DA,0.0,0.0,0.0,無
台東市,房地(土地+建物),精誠路169巷31~60號,70.0,其他,,,1090728,土地1建物1車位0,全,一層,透天厝,住家用,加強磚造,,58.76,2,1,1,有,無,3000000,51055,,0.0,0,內含未保存登記三層樓建物新台幣24萬元整未登記建物;,RPPNMLKLQHPFFAV27DA,58.76,0.0,0.0,無
台東市,房地(土地+建物),中華路一段31~60號,85.0,其他,,,1090729,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0820710,229.9,4,3,3,有,無,12000000,52197,,0.0,0,土地價金:新台幣玖佰萬元整建物價金:新台幣參佰萬元整,RPRNMLPJQHPFFAV77DA,219.55,10.35,0.0,無
台東市,建物,正氣路31~60號,0.0,,,,1090704,土地0建物1車位0,全,二層,透天厝,住家用,見其他登記事項,0660816,106.0,3,2,3,有,無,500000,4717,,0.0,0,其他增建;,RPXOMLKMPHPFFAV18DA,106.0,0.0,0.0,無
台東市,房地(土地+建物),新生路1~30號,122.0,其他,,,1090727,土地1建物1車位0,全,二層,透天厝,見其他登記事項,鋼筋混凝土造,0830122,181.1,2,1,2,有,無,13000000,71784,,0.0,0,,RPOOMLMKQHPFFAV37DA,177.0,4.1,0.0,無
台東市,房地(土地+建物),新興路1巷61弄31~60號,112.06,其他,,,1090813,土地1建物1車位0,全,四層,透天厝,住家用,見其他登記事項,1050407,245.64,6,2,6,有,無,11500000,46816,,0.0,0,,RPQNMLOKQHPFFAV67DA,223.39,22.25,0.0,無
台東市,房地(土地+建物),漢中街211~240號,101.0,,,,1090720,土地1建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,0990727,226.89,4,1,4,有,無,13800000,60822,,0.0,0,,RPVNMLMLPHPFFAV97DA,191.47,35.42,0.0,無
台東市,房地(土地+建物),中興路三段275巷35弄1~30號,104.02,,,,1080324,土地1建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1090609,206.13,5,2,5,有,無,9500000,46087,,0.0,0,,RPWNMLKMPHPFFAV97DA,197.24,8.89,0.0,無
