鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
馬公市,房地(土地+建物),經國路97巷31~60號,19.48,商,,,1090727,土地1建物1車位0,三層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1090601,86.84,2,2,2,有,無,5980000,68862,,0.0,0,,RPTNMLRKQHPFFAX48DA,53.47,8.78,0.0,有
馬公市,土地,烏崁新段1501~1530地號,52.66,,鄉村區,乙種建築用地,1090820,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,750000,14242,,0.0,0,畸零地或有合併使用效益;,RPSNMLKLQHPFFAX77DA,0.0,0.0,0.0,無
馬公市,房地(土地+建物),西文澳61~90號,34.06,住,,,1090730,土地1建物1車位0,二層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1080522,119.99,3,2,2,有,無,5800000,48337,,0.0,0,,RPXOMLRKQHPFFAX98DA,77.17,12.52,0.0,有
馬公市,房地(土地+建物),西文澳61~90號,34.32,住,,,1090730,土地1建物1車位0,五層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1080522,119.96,3,2,2,有,無,5800000,48349,,0.0,0,,RPOPMLRKQHPFFAX18DA,76.26,13.43,0.0,有
馬公市,房地(土地+建物),西文澳61~90號,23.92,住,,,1090730,土地1建物1車位0,五層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1080522,83.1,2,2,2,有,無,4200000,50542,,0.0,0,,RPPPMLRKQHPFFAX28DA,54.2,7.92,0.0,有
馬公市,房地(土地+建物),西文澳61~90號,20.8,住,,,1090730,土地1建物1車位0,一層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1080522,72.51,2,2,2,有,無,4800000,66198,,0.0,0,,RPQPMLRKQHPFFAX38DA,54.2,0.0,0.0,有
馬公市,房地(土地+建物)+車位,西文澳61~90號,6.5,住,,,1090730,土地1建物1車位1,一層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1080522,47.3,1,1,1,有,無,2200000,46512,一樓平面,0.0,800000,,RPRPMLRKQHPFFAX48DA,16.67,0.0,0.0,有
馬公市,房地(土地+建物),西文澳61~90號,23.92,住,,,1090730,土地1建物1車位0,二層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1080522,83.1,2,2,2,有,無,4100000,49338,,0.0,0,,RPSPMLRKQHPFFAX58DA,54.2,7.92,0.0,有
馬公市,房地(土地+建物),西文澳61~90號,34.32,住,,,1090730,土地1建物1車位0,三層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1080522,119.96,3,2,2,有,無,5700000,47516,,0.0,0,,RPTPMLRKQHPFFAX68DA,77.17,12.52,0.0,有
馬公市,房地(土地+建物),西文澳61~90號,23.92,住,,,1090730,土地1建物1車位0,三層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1080522,83.1,2,2,2,有,無,4250000,51143,,0.0,0,,RPUPMLRKQHPFFAX78DA,54.2,7.92,0.0,有
馬公市,房地(土地+建物),西文澳61~90號,34.32,住,,,1090730,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1080522,119.96,3,2,2,有,無,5900000,49183,,0.0,0,,RPVPMLRKQHPFFAX88DA,77.17,12.52,0.0,有
馬公市,房地(土地+建物),西文澳61~90號,23.92,住,,,1090730,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1080522,83.1,2,2,2,有,無,3900000,46931,,0.0,0,,RPWPMLRKQHPFFAX98DA,54.2,7.92,0.0,有
馬公市,土地,中衛段691~720地號,25.58,農,,,1090810,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,540761,21140,,0.0,0,政府機關標讓售;,RPPNMLOLQHPFFAX87DA,0.0,0.0,0.0,無
馬公市,房地(土地+建物),烏崁31~60號,190.97,,鄉村區,乙種建築用地,1090813,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0821122,137.92,3,1,2,有,無,4600000,33353,,0.0,0,,RPUNMLOLQHPFFAX38DA,134.45,3.47,0.0,無
白沙鄉,土地,赤崁北段271~300地號,546.27,,一般農業區,農牧用地,1090806,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3310000,6059,,0.0,0,,RPXNMLTKQHPFFAX09DA,0.0,0.0,0.0,無
湖西鄉,土地,沙港北段1501~1530地號,27.25,,鄉村區,乙種建築用地,1090807,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,125000,4587,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPSNMLLLQHPFFAX97EA,0.0,0.0,0.0,無
馬公市,土地,南澳段91~120地號,423.99,商,,,1090808,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,30000000,70756,,0.0,0,,RPTNMLKLQHPFFAX87DA,0.0,0.0,0.0,無
馬公市,土地,海堤段271~300地號,121.48,其他,,,1090727,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2040864,16800,,0.0,0,協議價購;,RPPNMLRLPHPFFAX08DA,0.0,0.0,0.0,無
馬公市,土地,海堤段751~780地號,11.34,其他,,,1090813,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,190428,16793,,0.0,0,協議價購每平方公尺16800元協議價購;,RPUNMLMKQHPFFAX08DA,0.0,0.0,0.0,無
馬公市,土地,海堤段751~780地號,11.34,其他,,,1090817,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,190428,16793,,0.0,0,協議價購每平方公尺16800元協議價購;,RPUOMLRKQHPFFAX68DA,0.0,0.0,0.0,無
馬公市,土地,南澳段91~120地號,423.99,商,,,1090808,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,30000000,70756,,0.0,0,,RPUNMLKLQHPFFAX97DA,0.0,0.0,0.0,無
馬公市,房地(土地+建物),頭掛511~540號,197.29,,一般農業區,甲種建築用地,1090729,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1080311,256.56,6,1,6,有,無,9500000,37028,,0.0,0,,RPSNMLPLQHPFFAX28DA,249.45,7.11,0.0,無
西嶼鄉,土地,二崁北段1021~1050地號,2207.45,,一般農業區,農牧用地,1090616,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2011000,911,,0.0,0,地清或未辦繼承標售;,RPVNMLTKQHPFFAX88DA,0.0,0.0,0.0,無
白沙鄉,土地,瓦硐南段241~270地號,1102.17,,一般農業區,農牧用地,1090722,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1310001,1189,,0.0,0,地清或未辦繼承標售;,RPRNMLPLQHPFFAX18DA,0.0,0.0,0.0,無
馬公市,土地,文寮段421~450地號,563.89,,一般農業區,農牧用地,1090729,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5117000,9074,,0.0,0,,RPRNMLKLQHPFFAX67DA,0.0,0.0,0.0,無
湖西鄉,土地,紅羅段691~720地號,493.37,,一般農業區,農牧用地,1090703,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2014000,4082,,0.0,0,,RPPNMLPLQHPFFAX97DA,0.0,0.0,0.0,無
湖西鄉,土地,許家段451~480地號,336.47,,一般農業區,甲種建築用地,1090710,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7630000,22677,,0.0,0,,RPPNMLQLQHPFFAX08DA,0.0,0.0,0.0,無
