編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPOPMLRKQHPFFAX18DA,1,89.69,見其他登記事項,鋼筋混凝土造,108年5月22日,五層,五層
RPOPMLRKQHPFFAX18DA,1,30.27,共用部份,鋼筋混凝土造,108年5月22日,五層,
RPSPMLRKQHPFFAX58DA,1,62.12,見其他登記事項,鋼筋混凝土造,108年5月22日,五層,二層
RPSPMLRKQHPFFAX58DA,1,20.98,共用部份,鋼筋混凝土造,108年5月22日,五層,
RPXOMLRKQHPFFAX98DA,1,44.84,見其他登記事項,鋼筋混凝土造,108年5月22日,五層,二層
RPXOMLRKQHPFFAX98DA,1,44.84,見其他登記事項,鋼筋混凝土造,108年5月22日,五層,二層
RPXOMLRKQHPFFAX98DA,1,15.15,共用部份,鋼筋混凝土造,108年5月22日,五層,
RPXOMLRKQHPFFAX98DA,1,15.15,共用部份,鋼筋混凝土造,108年5月22日,五層,
RPUPMLRKQHPFFAX78DA,1,62.12,見其他登記事項,鋼筋混凝土造,108年5月22日,五層,三層
RPUPMLRKQHPFFAX78DA,1,20.98,共用部份,鋼筋混凝土造,108年5月22日,五層,
RPTNMLRKQHPFFAX48DA,,62.25,見其他登記事項,鋼筋混凝土造,109年6月1日,五層,三層
RPTNMLRKQHPFFAX48DA,,24.59,共用部份,鋼筋混凝土造,109年6月1日,五層,
RPQPMLRKQHPFFAX38DA,1,54.20,見其他登記事項,鋼筋混凝土造,108年5月22日,五層,一層
RPQPMLRKQHPFFAX38DA,1,18.31,共用部份,鋼筋混凝土造,108年5月22日,五層,
RPRPMLRKQHPFFAX48DA,1,16.67,見其他登記事項,鋼筋混凝土造,108年5月22日,五層,一層
RPRPMLRKQHPFFAX48DA,1,30.63,共用部份,鋼筋混凝土造,108年5月22日,五層,
RPVPMLRKQHPFFAX88DA,1,89.69,見其他登記事項,鋼筋混凝土造,108年5月22日,五層,四層
RPVPMLRKQHPFFAX88DA,1,30.27,共用部份,鋼筋混凝土造,108年5月22日,五層,
RPTPMLRKQHPFFAX68DA,1,89.69,見其他登記事項,鋼筋混凝土造,108年5月22日,五層,三層
RPTPMLRKQHPFFAX68DA,1,30.27,共用部份,鋼筋混凝土造,108年5月22日,五層,
RPPPMLRKQHPFFAX28DA,1,62.12,見其他登記事項,鋼筋混凝土造,108年5月22日,五層,五層
RPPPMLRKQHPFFAX28DA,1,20.98,共用部份,鋼筋混凝土造,108年5月22日,五層,
RPWPMLRKQHPFFAX98DA,1,62.12,見其他登記事項,鋼筋混凝土造,108年5月22日,五層,四層
RPWPMLRKQHPFFAX98DA,1,20.98,共用部份,鋼筋混凝土造,108年5月22日,五層,
RPUNMLOLQHPFFAX38DA,27,137.92,住家用,加強磚造,82年11月22日,二層,一層 二層 電梯樓梯間
RPUNMLQLQHPFFAX58DA,44,82.80,住家用,鋼筋混凝土加強磚造,65年6月28日,二層,一層 二層
RPSNMLPLQHPFFAX28DA,1,256.56,住家用,鋼筋混凝土造,108年3月11日,三層,一層 二層 三層
RPQNMLPLQHPFFAX08DA,32,136.57,住家用,鋼筋混凝土加強磚造,77年7月28日,二層,一層 二層 電梯樓梯間
RPUNMLTKQHPFFAX78DA,36,.28,見其他登記事項,鋼筋混凝土造,73年6月29日,五層,一層
RPUNMLTKQHPFFAX78DA,36,76.05,見其他登記事項,鋼筋混凝土造,73年6月29日,五層,一層 二層 電梯樓梯間
RPQNMLNLQHPFFAX87DA,,277.00,住家用,鋼筋混凝土造,109年5月8日,三層,一層 二層 三層 見其他登記事項
